|       | 2 Pak Special: Dungeon Master / Creature Strike      | Otto Versand                 | Atari 2600 | 1992 | NTSC (NA)
|       | 3-D Tic-Tac-Toe                                      | Atari                        | Atari 2600 | 1978 | NTSC (NA)
|       | Activision Decathlon, The                            | Activision                   | Atari 2600 | 1983 | NTSC (NA)
|       | Adventure                                            | Atari                        | Atari 2600 | 1979 | NTSC (NA)
|       | Adventures of Tron                                   | Mattel                       | Atari 2600 | 1982 | NTSC (NA)
|       | Air Raid                                             | Men-A-Vision                 | Atari 2600 | 1982 | NTSC (NA)
|       | Air Raiders                                          | Mattel                       | Atari 2600 | 1982 | NTSC (NA)
|       | Air-Sea Battle                                       | Atari                        | Atari 2600 | 1977 | NTSC (NA)
|       | Airlock                                              | Data Age                     | Atari 2600 | 1982 | NTSC (NA)
|       | Alien                                                | 20th Century Fox Video Games | Atari 2600 | 1982 | NTSC (NA)
|       | Alpha Beam With Ernie                                | Atari                        | Atari 2600 | 1983 | NTSC (NA)
|       | Amidar                                               | Parker Bros.                 | Atari 2600 | 1982 | NTSC (NA)
|       | Armor Ambush                                         | Mattel                       | Atari 2600 | 1982 | NTSC (NA)
|       | Artillery Duel                                       | Xonox                        | Atari 2600 | 1983 | NTSC (NA)
|       | Assault                                              | Bomb                         | Atari 2600 | 1983 | NTSC (NA)
|       | Asteroid Fire                                        | Homevision                   | Atari 2600 | 1983 | NTSC (NA)
|       | Asteroids                                            | Atari                        | Atari 2600 | 1981 | NTSC (NA)
|       | Astroblast                                           | Mattel                       | Atari 2600 | 1982 | NTSC (NA)
|       | Atari Video Cube                                     | Atari                        | Atari 2600 | 1982 | NTSC (NA)
|       | Atlantis                                             | Imagic                       | Atari 2600 | 1982 | NTSC (NA)
|       | Bachelor Party                                       | Mystique                     | Atari 2600 | 1982 | NTSC (NA)
|       | Bachelor Party/Gigolo                                | Playaround                   | Atari 2600 | 1982 | NTSC (NA)
|       | Bachelorette Party/Burning Desire                    | Playaround                   | Atari 2600 | 1982 | NTSC (NA)
|       | Backgammon                                           | Atari                        | Atari 2600 | 1978 | NTSC (NA)
|       | Bank Heist                                           | 20th Century Fox Video Games | Atari 2600 | 1983 | NTSC (NA)
|       | Barnstorming                                         | Activision                   | Atari 2600 | 1982 | NTSC (NA)
|       | Base Attack                                          | Homevision                   | Atari 2600 | 1983 | NTSC (NA)
|       | Basic Math                                           | Atari                        | Atari 2600 | 1977 | NTSC (NA)
|       | BASIC Programming                                    | Atari                        | Atari 2600 | 1978 | NTSC (NA)
|       | Basketball                                           | Atari                        | Atari 2600 | 1978 | NTSC (NA)
|       | Battlezone                                           | Atari                        | Atari 2600 | 1983 | NTSC (NA)
|       | Beamrider                                            | Activision                   | Atari 2600 | 1984 | NTSC (NA)
|       | Beany Bopper                                         | Sirius Software              | Atari 2600 | 1982 | NTSC (NA)
|       | Beat 'Em & Eat 'Em                                   | Mystique                     | Atari 2600 | 1982 | NTSC (NA)
|       | Beat 'Em & Eat 'Em/Lady in Wading                    | Playaround                   | Atari 2600 | 1982 | NTSC (NA)
|       | Berenstain Bears                                     | Coleco                       | Atari 2600 | 1983 | NTSC (NA)
|       | Berenstain Bears: Big Number Hunt                    | Coleco                       | Atari 2600 | 1983 | NTSC (NA)
|       | Berenstain Bears: Great Letter Roundup               | Coleco                       | Atari 2600 | 1983 | NTSC (NA)
|       | Berenstain Bears: Spooky Spelling Bee                | Coleco                       | Atari 2600 | 1983 | NTSC (NA)
|       | Bermuda Triangle                                     | Data Age                     | Atari 2600 | 1982 | NTSC (NA)
|       | Berzerk                                              | Atari                        | Atari 2600 | 1982 | NTSC (NA)
|       | Big Bird's Egg Catch                                 | Atari                        | Atari 2600 | 1983 | NTSC (NA)
|       | Blackjack                                            | Atari                        | Atari 2600 | 1977 | NTSC (NA)
|       | Blue Print                                           | CBS Electronics              | Atari 2600 | 1983 | NTSC (NA)
|       | BMX Airmaster                                        | TNT Games                    | Atari 2600 | 1989 | NTSC (NA)
