|       | Adventure II                              | AtariAge              | Atari 5200 | 2007 | NTSC (NA)
|       | Astro Chase                               | Parker Bros           | Atari 5200 | 1983 | NTSC (NA)
|       | Ballblazer                                | Atari                 | Atari 5200 | 1986 | NTSC (NA)
|       | Beamrider                                 | Activision            | Atari 5200 | 1984 | NTSC (NA)
|       | Berzerk                                   | Atari                 | Atari 5200 | 1983 | NTSC (NA)
|       | Blue Print                                | CBS Electronics       | Atari 5200 | 1983 | NTSC (NA)
|       | Bounty Bob Strikes Back!                  | Big Five Software     | Atari 5200 | 1984 | NTSC (NA)
|       | Buck Rogers: Planet of Zoom               | CBS Electronics       | Atari 5200 | 1983 | NTSC (NA)
|       | Centipede                                 | Atari                 | Atari 5200 | 1982 | NTSC (NA)
|       | Choplifter!                               | Atari                 | Atari 5200 | 1984 | NTSC (NA)
|       | Congo Bongo                               | Sega                  | Atari 5200 | 1984 | NTSC (NA)
|       | Countermeasure                            | Atari                 | Atari 5200 | 1984 | NTSC (NA)
|       | Decathlon                                 | Activision            | Atari 5200 | 1984 | NTSC (NA)
|       | Defender                                  | Atari                 | Atari 5200 | 1983 | NTSC (NA)
|       | Diagnostic Cartridge                      | Atari, Inc.           | Atari 5200 | 1982 | NTSC (NA)
|       | Dig Dug                                   | Atari                 | Atari 5200 | 1983 | NTSC (NA)
|       | Dreadnought Factor, The                   | Atari                 | Atari 5200 | 1983 | NTSC (NA)
|       | Frogger                                   | Parker Bros           | Atari 5200 | 1983 | NTSC (NA)
|       | Frogger II: Threeedeep!                   | Parker Bros           | Atari 5200 | 1984 | NTSC (NA)
|       | Galaxian                                  | Atari                 | Atari 5200 | 1982 | NTSC (NA)
|       | Gorf                                      | CBS Electronics       | Atari 5200 | 1983 | NTSC (NA)
|       | Gremlins                                  | Atari                 | Atari 5200 | 1987 | NTSC (NA)
|       | Gyruss                                    | Parker Bros           | Atari 5200 | 1984 | NTSC (NA)
|       | H.E.R.O.                                  | Activision            | Atari 5200 | 1984 | NTSC (NA)
|       | James Bond 007                            | Parker Bros           | Atari 5200 | 1984 | NTSC (NA)
|       | Joust                                     | Atari                 | Atari 5200 | 1983 | NTSC (NA)
|       | Jungle Hunt                               | Atari                 | Atari 5200 | 1983 | NTSC (NA)
|       | K-Razy Shoot-out                          | CBS Electronics       | Atari 5200 | 1983 | NTSC (NA)
|       | Kaboom!                                   | Activision            | Atari 5200 | 1983 | NTSC (NA)
|       | Kangaroo                                  | Atari                 | Atari 5200 | 1983 | NTSC (NA)
|       | Keystone Kapers                           | Activision            | Atari 5200 | 1984 | NTSC (NA)
|       | Mario Bros.                               | Atari                 | Atari 5200 | 1983 | NTSC (NA)
|       | Megamania                                 | Activision            | Atari 5200 | 1983 | NTSC (NA)
|       | Meteorites                                | Electra               | Atari 5200 | 1984 | NTSC (NA)
|       | Miner 2049er                              | Big Five Software     | Atari 5200 | 1983 | NTSC (NA)
|       | Missile Command                           | Atari                 | Atari 5200 | 1982 | NTSC (NA)
|       | Montezuma's Revenge: Featuring Panama Joe | Parker Bros           | Atari 5200 | 1983 | NTSC (NA)
|       | Moon Patrol                               | Atari                 | Atari 5200 | 1983 | NTSC (NA)
|       | Mountain King                             | CBS Electronics       | Atari 5200 | 1984 | NTSC (NA)
|       | Mr. Do!'s Castle                          | Parker Bros           | Atari 5200 | 1984 | NTSC (NA)
