|       | Aircars                             | ICD, Inc.                  | Atari Jaguar | 1997 | NTSC (NA)
|       | Alien vs. Predator                  | Atari Games (Midway)       | Atari Jaguar | 1994 | NTSC (NA)
|       | Atari Karts                         | Atari Games (Midway)       | Atari Jaguar | 1995 | NTSC (NA)
|       | Attack of the Mutant Penguins       | Atari Games (Midway)       | Atari Jaguar | 1996 | NTSC (NA)
|       | Battlesphere                        | ScatoLogic                 | Atari Jaguar | 2013 | NTSC (NA)
|       | Breakout 2000                       | Telegames, Inc.            | Atari Jaguar | 1996 | NTSC (NA)
|       | Brutal Sports Football              | Atari Games (Midway)       | Atari Jaguar | 1994 | NTSC (NA)
|       | Bubsy in Fractured Furry Tails      | Accolade                   | Atari Jaguar | 1994 | NTSC (NA)
|       | Cannon Fodder                       | Virgin Interactive         | Atari Jaguar | 1995 | NTSC (NA)
|       | Checkered Flag                      | Atari Games (Midway)       | Atari Jaguar | 1994 | NTSC (NA)
|       | Club Drive                          | Atari                      | Atari Jaguar | 1994 | NTSC (NA)
|       | Cybermorph                          | Atari Corporation          | Atari Jaguar | 1993 | NTSC (NA)
|       | Defender 2000                       | Atari Games (Midway)       | Atari Jaguar | 1996 | NTSC (NA)
|       | Doom                                | Atari Games (Midway)       | Atari Jaguar | 1994 | NTSC (NA)
|       | Double Dragon V                     | Tradewest                  | Atari Jaguar | 1995 | NTSC (NA)
|       | Dragon: The Bruce Lee Story         | Atari Games (Midway)       | Atari Jaguar | 1994 | NTSC (NA)
|       | Evolution: Dino Dudes               | Atari                      | Atari Jaguar | 1994 | NTSC (NA)
|       | Fever Pitch Soccer                  | Atari Games (Midway)       | Atari Jaguar | 1995 | NTSC (NA)
|       | Fight For Life                      | Atari Games (Midway)       | Atari Jaguar | 1996 | NTSC (NA)
|       | Flashback                           | U.S. Gold                  | Atari Jaguar | 1995 | NTSC (NA)
|       | Flip Out!                           | Atari Games (Midway)       | Atari Jaguar | 1995 | NTSC (NA)
|       | Hover Strike                        | Atari Games (Midway)       | Atari Jaguar | 1995 | NTSC (NA)
|       | Hyper Force                         | Songbird Productions       | Atari Jaguar | 2000 | NTSC (NA)
|       | I-War                               | Atari Games (Midway)       | Atari Jaguar | 1995 | NTSC (NA)
|       | International Sensible Soccer       | Telegames, Inc.            | Atari Jaguar | 1995 | NTSC (NA)
|       | Iron Soldier                        | Atari Games (Midway)       | Atari Jaguar | 1994 | NTSC (NA)
|       | Iron Soldier 2                      | Telegames, Inc.            | Atari Jaguar | 1997 | NTSC (NA)
|       | Kasumi Ninja                        | Atari Games (Midway)       | Atari Jaguar | 1994 | NTSC (NA)
|       | Missile Command 3D                  | Atari Games (Midway)       | Atari Jaguar | 1995 | NTSC (NA)
|       | NBA Jam Tournament Edition          | Atari Games (Midway)       | Atari Jaguar | 1996 | NTSC (NA)
|       | Pinball Fantasies                   | 21st Century Entertainment | Atari Jaguar | 1995 | NTSC (NA)
|       | Pitfall: The Mayan Adventure        | Atari Games (Midway)       | Atari Jaguar | 1995 | NTSC (NA)
|       | Power Drive Rally                   | Time Warner Interactive    | Atari Jaguar | 1995 | NTSC (NA)
|       | Protector                           | Songbird Productions       | Atari Jaguar | 1999 | NTSC (NA)
