|       | 19: Neunzehn                                                  | Soft Pro              | Famicom Disk System | 1988 | NTSC (JP)
|       | Adian no Tsue                                                 | SunSoft               | Famicom Disk System | 1986 | NTSC (JP)
|       | Ai Senshi Nicol                                               | Konami                | Famicom Disk System | 1987 | NTSC (JP)
|       | Akumajou Dracula                                              | Konami                | Famicom Disk System | 1986 | NTSC (JP)
|       | Akuu Senki Raijin                                             | SquareSoft            | Famicom Disk System | 1988 | NTSC (JP)
|       | All 1 - Famimaga Disk Vol. 3                                  | Tokuma Shoten         | Famicom Disk System | 1991 | NTSC (JP)
|       | All Night Nippon Super Mario Bros.                            | Fuji Television       | Famicom Disk System | 1986 | NTSC (JP)
|       | Apple Town Monogatari: Little Computer People                 | SquareSoft            | Famicom Disk System | 1987 | NTSC (JP)
|       | Armana no Kiseki                                              | Konami                | Famicom Disk System | 1987 | NTSC (JP)
|       | Aspic: Mahebiou no Noroi                                      | Bothtec               | Famicom Disk System | 1988 | NTSC (JP)
|       | Backgammon                                                    | Nintendo              | Famicom Disk System | 1990 | NTSC (JP)
|       | Bakutoushi Patton-Kun                                         | Soft Pro              | Famicom Disk System | 1988 | NTSC (JP)
|       | Baseball                                                      | Nintendo              | Famicom Disk System | 1986 | NTSC (JP)
|       | Big Challenge! Dogfight Spirit                                | Jaleco Entertainment  | Famicom Disk System | 1988 | NTSC (JP)
|       | Big Challenge! Go Go Bowling                                  | Jaleco Entertainment  | Famicom Disk System | 1989 | NTSC (JP)
|       | Big Challenge! Gun Fighter                                    | Jaleco Entertainment  | Famicom Disk System | 1989 | NTSC (JP)
|       | Big Challenge! Judo Senshuken                                 | Jaleco Entertainment  | Famicom Disk System | 1988 | NTSC (JP)
|       | Bio-Miracle Bokutte Upa                                       | Konami                | Famicom Disk System | 1988 | NTSC (JP)
|       | BodyConQuest I: Abakareshi Musume Tachi                       | Hacker International  | Famicom Disk System | 1987 | NTSC (JP)
|       | Bomberman                                                     | Hudson Soft           | Famicom Disk System | 1990 | NTSC (JP)
|       | Breeder                                                       | Soft Pro              | Famicom Disk System | 1986 | NTSC (JP)
|       | Bubble Bobble                                                 | Taito Corporation     | Famicom Disk System | 1987 | NTSC (JP)
|       | BurgerTime                                                    | Data East             | Famicom Disk System | 1988 | NTSC (JP)
|       | Chitei Tairiku Orudoora                                       | SunSoft               | Famicom Disk System | 1987 | NTSC (JP)
|       | Cleopatra no Mahou                                            | SquareSoft            | Famicom Disk System | 1987 | NTSC (JP)
|       | Clocks - Famimaga Disk Vol. 4                                 | Tokuma Shoten         | Famicom Disk System | 1991 | NTSC (JP)
|       | Clu Clu Land                                                  | Nintendo              | Famicom Disk System | 1992 | NTSC (JP)
|       | Cocona World                                                  | Sofel                 | Famicom Disk System | 1987 | NTSC (JP)
|       | Dandy: Zeuon No Fukkatsu                                      | Pony Canyon           | Famicom Disk System | 1988 | NTSC (JP)
|       | Dead Zone                                                     | SunSoft               | Famicom Disk System | 1986 | NTSC (JP)
|       | Deep Dungeon: Madou Senki                                     | SquareSoft            | Famicom Disk System | 1986 | NTSC (JP)
|       | Deep Dungeon: Yuushi no Monshou                               | SquareSoft            | Famicom Disk System | 1987 | NTSC (JP)
|       | Dig Dug                                                       | Namco                 | Famicom Disk System | 1990 | NTSC (JP)
|       | Dig Dug II                                                    | Namco                 | Famicom Disk System | 1990 | NTSC (JP)
|       | Dirty Pair: Project Eden                                      | Bandai                | Famicom Disk System | 1987 | NTSC (JP)
|       | Donkey Kong                                                   | Nintendo              | Famicom Disk System | 1988 | NTSC (JP)
|       | Donkey Kong Jr.                                               | Nintendo              | Famicom Disk System | 1988 | NTSC (JP)
|       | Doremikko                                                     | Konami                | Famicom Disk System | 1987 | NTSC (JP)
|       | Dr. Chaos: Jigoku no Tobira                                   | Pony Canyon           | Famicom Disk System | 1987 | NTSC (JP)
|       | Dracula II: Noroi no Fuuin                                    | Konami                | Famicom Disk System | 1987 | NTSC (JP)
|       | Druid: Kyoufu no Tobira                                       | Jaleco Entertainment  | Famicom Disk System | 1988 | NTSC (JP)
|       | Eggerland                                                     | HAL Labs              | Famicom Disk System | 1987 | NTSC (JP)
