|       | 007: Everything or Nothing                                                                                                                                                             | EA Games                               | Game Boy Advance | 2003 | NTSC (NA)
|       | 007: NightFire                                                                                                                                                                         | Electronic Arts                        | Game Boy Advance | 2003 | NTSC (NA)
|       | 2 Games In 1 Double Pack - Hot Wheels: World Race / Velocity X                                                                                                                         | THQ                                    | Game Boy Advance | 2005 | NTSC (NA)
|       | 2 Games In 1 Double Pack - SpongeBob SquarePants: Battle for Bikini Bottom / Nicktoons: Freeze Frame Frenzy                                                                            | THQ                                    | Game Boy Advance | 2004 | NTSC (NA)
|       | 2 Games In 1 Double Pack - SpongeBob SquarePants: SuperSponge / Revenge of the Flying Dutchman                                                                                         | THQ                                    | Game Boy Advance | 2005 | NTSC (NA)
|       | 2 Games In 1 Double Pack: Finding Nemo / Monsters, Inc.                                                                                                                                | THQ                                    | Game Boy Advance | 2005 | NTSC (NA)
|       | 2 Games In 1 Double Pack: Power Rangers: Time Force / Power Rangers: Ninja Storm                                                                                                       | THQ                                    | Game Boy Advance | 2005 | NTSC (NA)
|       | 2 Games in 1 Double Pack: Scooby-Doo / Scooby-Doo 2: Monsters Unleashed                                                                                                                | THQ                                    | Game Boy Advance | 2006 | NTSC (NA)
|       | 2 Games in 1 Double Pack: Scooby-Doo and the Cyber Chase / Scooby-Doo! Mystery Mayhem                                                                                                  | THQ                                    | Game Boy Advance | 2005 | NTSC (NA)
|       | 2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures                                                                                                    | THQ                                    | Game Boy Advance | 2007 | NTSC (NA)
|       | 2 Games In 1 Double Value!: Monster Trucks / Quad Desert Fury                                                                                                                          | Majesco Games                          | Game Boy Advance | 2005 | NTSC (NA)
|       | 2 In 1 Game Pack: Shrek 2 / Shark Tale                                                                                                                                                 | Activision                             | Game Boy Advance | 2005 | NTSC (NA)
|       | 2 In 1 Game Pack: Spider-Man / Spider-Man 2                                                                                                                                            | Activision                             | Game Boy Advance | 2005 | NTSC (NA)
|       | 2 In 1 Game Pack: Tony Hawk's Underground / Kelly Slater's Pro Surfer                                                                                                                  | Activision                             | Game Boy Advance | 2006 | NTSC (NA)
|       | 2-In-1 Fun Pack: Madagascar: Operation Penguin / Shrek 2                                                                                                                               | Activision                             | Game Boy Advance | 2013 | NTSC (NA)
|       | 4 Games on One Game Pak: GT Advance / GT Advance 2 / GT Advance 3 / MotoGP                                                                                                             | THQ                                    | Game Boy Advance | 2007 | NTSC (NA)
|       | Ace Combat Advance                                                                                                                                                                     | Namco                                  | Game Boy Advance | 2005 | NTSC (NA)
|       | Activision Anthology                                                                                                                                                                   | Aspyr                                  | Game Boy Advance | 2003 | NTSC (NA)
|       | Advance Guardian Heroes                                                                                                                                                                | Ubisoft                                | Game Boy Advance | 2004 | NTSC (NA)
|       | Advance Wars                                                                                                                                                                           | Nintendo                               | Game Boy Advance | 2001 | NTSC (NA)
|       | Advance Wars 2: Black Hole Rising                                                                                                                                                      | Nintendo                               | Game Boy Advance | 2003 | NTSC (NA)
|       | Adventures of Jimmy Neutron Boy Genius vs. Jimmy Negatron, The                                                                                                                         | THQ                                    | Game Boy Advance | 2002 | NTSC (NA)
|       | Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies, The                                                                                                                    | THQ                                    | Game Boy Advance | 2004 | NTSC (NA)
|       | Adventures of Jimmy Neutron Boy Genius: Jet Fusion, The                                                                                                                                | THQ                                    | Game Boy Advance | 2003 | NTSC (NA)
|       | Aero the Acro-bat                                                                                                                                                                      | Metro3D                                | Game Boy Advance | 2002 | NTSC (NA)
|       | Agassi Tennis Generation                                                                                                                                                               | DreamCatcher Interactive               | Game Boy Advance | 2003 | NTSC (NA)
|       | Aggressive Inline                                                                                                                                                                      | Acclaim                                | Game Boy Advance | 2002 | NTSC (NA)
|       | AirForce Delta Storm                                                                                                                                                                   | Konami                                 | Game Boy Advance | 2002 | NTSC (NA)
