|       | *NSYNC: Get to the Show                                  | Infogrames               | Game Boy Color | 2001 | NTSC (NA)
|       | 007: The World is Not Enough                             | Electronic Arts          | Game Boy Color | 2001 | NTSC (NA)
|       | 10 Pin Bowling                                           | Majesco Games            | Game Boy Color | 1999 | NTSC (NA)
|       | 1942                                                     | Capcom                   | Game Boy Color | 2000 | NTSC (NA)
|       | 3-D Ultra Pinball: Thrillride                            | Sierra Entertainment     | Game Boy Color | 2000 | NTSC (NA)
|       | 720 Degrees                                              | Midway                   | Game Boy Color | 1999 | NTSC (NA)
|       | A Bug's Life                                             | THQ                      | Game Boy Color | 1998 | NTSC (NA)
|       | Action Man: Search for Base X                            | THQ                      | Game Boy Color | 2001 | NTSC (NA)
|       | AirForce Delta                                           | Konami                   | Game Boy Color | 2000 | NTSC (NA)
|       | Alice in Wonderland                                      | Nintendo                 | Game Boy Color | 2000 | NTSC (NA)
|       | Aliens: Thanatos Encounter                               | THQ                      | Game Boy Color | 2001 | NTSC (NA)
|       | All-Star Baseball 2000                                   | Acclaim                  | Game Boy Color | 1999 | NTSC (NA)
|       | All-Star Baseball 2001                                   | Acclaim                  | Game Boy Color | 2000 | NTSC (NA)
|       | Alone in the Dark: The New Nightmare                     | Infogrames               | Game Boy Color | 2001 | NTSC (NA)
|       | Animorphs                                                | Ubisoft                  | Game Boy Color | 2000 | NTSC (NA)
|       | Antz                                                     | Infogrames               | Game Boy Color | 1999 | NTSC (NA)
|       | Antz Racing                                              | Electronic Arts          | Game Boy Color | 2001 | NTSC (NA)
|       | Armada F/X Racers                                        | Metro3D                  | Game Boy Color | 2000 | NTSC (NA)
|       | Armorines: Project S.W.A.R.M.                            | Acclaim                  | Game Boy Color | 1999 | NTSC (NA)
|       | Army Men                                                 | 3DO                      | Game Boy Color | 2000 | NTSC (NA)
|       | Army Men 2                                               | 3DO                      | Game Boy Color | 2000 | NTSC (NA)
|       | Army Men: Air Combat                                     | 3DO                      | Game Boy Color | 2000 | NTSC (NA)
|       | Army Men: Sarge's Heroes 2                               | 3DO                      | Game Boy Color | 2000 | NTSC (NA)
|       | Arthur's Absolutely Fun Day!                             | The Learning Company     | Game Boy Color | 2000 | NTSC (NA)
|       | Asteroids                                                | Activision               | Game Boy Color | 1999 | NTSC (NA)
|       | Austin Powers: Oh, Behave!                               | Rockstar Games           | Game Boy Color | 2000 | NTSC (NA)
|       | Austin Powers: Welcome to my Underground Lair!           | Rockstar Games           | Game Boy Color | 2000 | NTSC (NA)
|       | Azure Dreams                                             | Konami                   | Game Boy Color | 2000 | NTSC (NA)
|       | Babe and Friends                                         | Crave                    | Game Boy Color | 1999 | NTSC (NA)
|       | Ballistic                                                | Infogrames               | Game Boy Color | 1999 | NTSC (NA)
|       | Barbie: Fashion Pack Games                               | Mattel                   | Game Boy Color | 2000 | NTSC (NA)
|       | Barbie: Magic Genie Adventure                            | Mattel                   | Game Boy Color | 2000 | NTSC (NA)
|       | Barbie: Ocean Discovery                                  | Mattel                   | Game Boy Color | 1999 | NTSC (NA)
|       | Barbie: Pet Rescue                                       | Mattel                   | Game Boy Color | 2001 | NTSC (NA)
|       | Bass Masters Classic                                     | THQ                      | Game Boy Color | 1999 | NTSC (NA)
|       | Batman Beyond: Return of the Joker                       | Ubisoft                  | Game Boy Color | 2000 | NTSC (NA)
|       | Batman: Chaos in Gotham                                  | Ubisoft                  | Game Boy Color | 2001 | NTSC (NA)
|       | Battleship                                               | Majesco Games            | Game Boy Color | 1999 | NTSC (NA)
|       | BattleTanx                                               | 3DO                      | Game Boy Color | 2000 | NTSC (NA)
|       | Billy Bob's Huntin'-n-Fishin'                            | Midway                   | Game Boy Color | 1999 | NTSC (NA)
|       | Bionic Commando: Elite Forces                            | Nintendo                 | Game Boy Color | 2000 | NTSC (NA)
|       | Black Bass: Lure Fishing                                 | Majesco Games            | Game Boy Color | 1999 | NTSC (NA)
|       | Blade                                                    | Activision               | Game Boy Color | 2000 | NTSC (NA)
|       | Blaster Master: Enemy Below                              | SunSoft                  | Game Boy Color | 2000 | NTSC (NA)
|       | Blue's Clues: Blue's Alphabet Book                       | Mattel                   | Game Boy Color | 2001 | NTSC (NA)
|       | Boarder Zone                                             | Infogrames               | Game Boy Color | 1999 | NTSC (NA)
|       | Bob the Builder: Fix it Fun!                             | THQ                      | Game Boy Color | 2001 | NTSC (NA)
|       | Bomberman Max: Blue Champion                             | Vatical Entertainment    | Game Boy Color | 2000 | NTSC (NA)
|       | Bomberman Max: Red Challenger                            | Vatical Entertainment    | Game Boy Color | 2000 | NTSC (NA)
|       | Bomberman Quest                                          | Electro Brain            | Game Boy Color | 1999 | NTSC (NA)
|       | Buffy the Vampire Slayer                                 | THQ                      | Game Boy Color | 2000 | NTSC (NA)
|       | Bugs Bunny In Crazy Castle 4                             | Kemco                    | Game Boy Color | 2000 | NTSC (NA)
|       | Bugs Bunny: Crazy Castle 3                               | Nintendo                 | Game Boy Color | 1999 | NTSC (NA)
|       | Bust-A-Move 4                                            | Acclaim                  | Game Boy Color | 1999 | NTSC (NA)
|       | Bust-A-Move Millennium                                   | Acclaim                  | Game Boy Color | 2000 | NTSC (NA)
|       | Caesars Palace II                                        | Interplay                | Game Boy Color | 1999 | NTSC (NA)
|       | Cannon Fodder                                            | Codemasters              | Game Boy Color | 2000 | NTSC (NA)
|       | Carmageddon                                              | Titus Software           | Game Boy Color | 2000 | NTSC (NA)
|       | Casper                                                   | Interplay                | Game Boy Color | 2000 | NTSC (NA)
|       | Catwoman                                                 | Kemco                    | Game Boy Color | 1999 | NTSC (NA)
|       | Catz                                                     | Mindscape Inc.           | Game Boy Color | 1999 | NTSC (NA)
|       | Centipede                                                | Majesco Games            | Game Boy Color | 1998 | NTSC (NA)
|       | Championship Motocross 2001 Featuring Ricky Carmichael   | THQ                      | Game Boy Color | 2000 | NTSC (NA)
|       | Chase H.Q.: Secret Police                                | Metro3D                  | Game Boy Color | 2000 | NTSC (NA)
|       | Chessmaster                                              | Mindscape Inc.           | Game Boy Color | 1999 | NTSC (NA)
|       | Chicken Run                                              | THQ                      | Game Boy Color | 2000 | NTSC (NA)
|       | Classic Bubble Bobble                                    | Metro3D                  | Game Boy Color | 1999 | NTSC (NA)
