|       | 4-in-1 Fun Pak                                                 | Interplay                    | Game Boy | 1992 | NTSC (NA)
|       | 4-in-1 Funpak: Volume II                                       | Interplay                    | Game Boy | 1993 | NTSC (NA)
|       | Addams Family, The                                             | Ocean                        | Game Boy | 1992 | NTSC (NA)
|       | Addams Family: Pugsley's Scavenger Hunt, The                   | Ocean                        | Game Boy | 1993 | NTSC (NA)
|       | Adventure Island                                               | Hudson                       | Game Boy | 1992 | NTSC (NA)
|       | Adventure Island II: Aliens in Paradise                        | Hudson                       | Game Boy | 1993 | NTSC (NA)
|       | Adventures of Rocky and Bullwinkle and Friends, The            | THQ                          | Game Boy | 1992 | NTSC (NA)
|       | Adventures of Star Saver, The                                  | Taito Corporation            | Game Boy | 1992 | NTSC (NA)
|       | Aerostar                                                       | Vic Tokai                    | Game Boy | 1991 | NTSC (NA)
|       | Alfred Chicken                                                 | Mindscape Inc.               | Game Boy | 1994 | NTSC (NA)
|       | Alien 3                                                        | LJN Ltd.                     | Game Boy | 1993 | NTSC (NA)
|       | Alien vs. Predator: The Last of His Clan                       | Activision                   | Game Boy | 1993 | NTSC (NA)
|       | All-Star Baseball 99                                           | Acclaim                      | Game Boy | 1998 | NTSC (NA)
|       | Alleyway                                                       | Nintendo                     | Game Boy | 1989 | NTSC (NA)
|       | Altered Space: A 3-D Alien Adventure                           | Sony Imagesoft               | Game Boy | 1991 | NTSC (NA)
|       | Amazing Penguin                                                | Natsume                      | Game Boy | 1990 | NTSC (NA)
|       | Amazing Spider-Man 2, The                                      | LJN Ltd.                     | Game Boy | 1992 | NTSC (NA)
|       | Amazing Spider-Man, The                                        | LJN Ltd.                     | Game Boy | 1990 | NTSC (NA)
|       | Amazing Tater                                                  | ATLUS                        | Game Boy | 1992 | NTSC (NA)
|       | Animaniacs                                                     | Konami                       | Game Boy | 1995 | NTSC (NA)
|       | Arcade Classic No. 1: Asteroids / Missile Command              | Nintendo                     | Game Boy | 1995 | NTSC (NA)
