|       | ABPA Backgammon                                 | Mattel                    | Intellivision | 1979 | NTSC (NA)
|       | Advanced Dungeons & Dragons                     | Mattel                    | Intellivision | 1982 | NTSC (NA)
|       | Advanced Dungeons & Dragons: Treasure of Tarmin | Mattel                    | Intellivision | 1982 | NTSC (NA)
|       | Air Strike                                      | Mattel                    | Intellivision | 1982 | NTSC (NA)
|       | All-Star Major League Baseball                  | Mattel                    | Intellivision | 1986 | NTSC (NA)
|       | Armor Battle                                    | Mattel                    | Intellivision | 1979 | NTSC (NA)
|       | Astrosmash                                      | Mattel                    | Intellivision | 1981 | NTSC (NA)
|       | Atlantis                                        | Imagic                    | Intellivision | 1982 | NTSC (NA)
|       | Auto Racing                                     | Mattel                    | Intellivision | 1979 | NTSC (NA)
|       | B-17 Bomber                                     | Mattel                    | Intellivision | 1982 | NTSC (NA)
|       | Basketball                                      | Sears                     | Intellivision | 1979 | NTSC (NA)
|       | Beamrider                                       | Activision                | Intellivision | 1983 | NTSC (NA)
|       | Beauty & the Beast                              | Imagic                    | Intellivision | 1982 | NTSC (NA)
|       | Blackjack & Poker                               | Mattel                    | Intellivision | 1979 | NTSC (NA)
|       | Blockade Runner                                 | Interphase                | Intellivision | 1984 | NTSC (NA)
|       | Body Slam Super Pro Wrestling                   | Intellivision Productions | Intellivision | 1988 | NTSC (NA)
|       | Bomb Squad                                      | Mattel                    | Intellivision | 1982 | NTSC (NA)
|       | Boxing                                          | Mattel                    | Intellivision | 1980 | NTSC (NA)
|       | Bump 'n' Jump                                   | Mattel                    | Intellivision | 1983 | NTSC (NA)
|       | BurgerTime                                      | Mattel                    | Intellivision | 1982 | NTSC (NA)
|       | Buzz Bombers                                    | Mattel                    | Intellivision | 1983 | NTSC (NA)
|       | Carnival                                        | Coleco                    | Intellivision | 1982 | NTSC (NA)
|       | Centipede                                       | Atari                     | Intellivision | 1983 | NTSC (NA)
|       | Championship Tennis                             | INTV                      | Intellivision | 1986 | NTSC (NA)
|       | Checkers                                        | Mattel                    | Intellivision | 1979 | NTSC (NA)
|       | Chess                                           | Mattel                    | Intellivision | 1984 | NTSC (NA)
|       | Chip Shot Super Pro Golf                        | Intellivision Productions | Intellivision | 1987 | NTSC (NA)
|       | Commando                                        | INTV                      | Intellivision | 1987 | NTSC (NA)
|       | Congo Bongo                                     | Sega                      | Intellivision | 1983 | NTSC (NA)
|       | Defender                                        | Atari                     | Intellivision | 1983 | NTSC (NA)
|       | Demon Attack                                    | Imagic                    | Intellivision | 1982 | NTSC (NA)
|       | Dig Dug                                         | Intellivision Productions | Intellivision | 1987 | NTSC (NA)
|       | Diner                                           | INTV                      | Intellivision | 1987 | NTSC (NA)
|       | Donkey Kong                                     | Coleco                    | Intellivision | 1982 | NTSC (NA)
|       | Donkey Kong Junior                              | Coleco                    | Intellivision | 1983 | NTSC (NA)
|       | Dracula                                         | Imagic                    | Intellivision | 1983 | NTSC (NA)
|       | Dragonfire                                      | Imagic                    | Intellivision | 1983 | NTSC (NA)
|       | Dreadnaught Factor, The                         | Activision                | Intellivision | 1983 | NTSC (NA)
|       | Duncan's Thin Ice                               | Mattel                    | Intellivision | 1983 | NTSC (NA)
|       | Easter Eggs                                     | Mattel                    | Intellivision | 1981 | NTSC (NA)
|       | Electric Company: Math Fun, The                 | Mattel                    | Intellivision | 1979 | NTSC (NA)
|       | Electric Company: Word Fun, The                 | Mattel                    | Intellivision | 1980 | NTSC (NA)
|       | Fathom                                          | Imagic                    | Intellivision | 1983 | NTSC (NA)
|       | Frog Bog                                        | Mattel                    | Intellivision | 1982 | NTSC (NA)
|       | Frogger                                         | Parker Brothers           | Intellivision | 1983 | NTSC (NA)
|       | Go for the Gold                                 | Mattel                    | Intellivision | 1981 | NTSC (NA)
|       | Golf                                            | Sears                     | Intellivision | 1980 | NTSC (NA)
|       | Grid Shock                                      | Mattel                    | Intellivision | 1982 | NTSC (NA)
|       | Happy Trails                                    | Activision                | Intellivision | 1983 | NTSC (NA)
|       | Hard Hat                                        | Mattel                    | Intellivision | 1979 | NTSC (NA)
|       | Hockey                                          | Sears                     | Intellivision | 1979 | NTSC (NA)
|       | Horse Racing                                    | Mattel                    | Intellivision | 1979 | NTSC (NA)
|       | Hover Force                                     | INTV                      | Intellivision | 1986 | NTSC (NA)
|       | Ice Trek                                        | Imagic                    | Intellivision | 1983 | NTSC (NA)
|       | Jetsons' Ways With Words, The                   | Mattel                    | Intellivision | 1983 | NTSC (NA)
|       | King of the Mountain                            | Mattel                    | Intellivision | 1982 | NTSC (NA)
|       | Kool-Aid Man                                    | Mattel                    | Intellivision | 1983 | NTSC (NA)
|       | Lady Bug                                        | Coleco                    | Intellivision | 1983 | NTSC (NA)
|       | Land Battle                                     | Mattel                    | Intellivision | 1982 | NTSC (NA)
|       | Las Vegas Poker & Blackjack                     | Mattel                    | Intellivision | 1979 | NTSC (NA)
|       | Las Vegas Roulette                              | Mattel                    | Intellivision | 1979 | NTSC (NA)
|       | Learning Fun I                                  | INTV                      | Intellivision | 1987 | NTSC (NA)
|       | Learning Fun II                                 | INTV                      | Intellivision | 1987 | NTSC (NA)
|       | Lock 'n' Chase                                  | Mattel                    | Intellivision | 1982 | NTSC (NA)
|       | Loco-Motion                                     | Mattel                    | Intellivision | 1982 | NTSC (NA)
|       | Major League Baseball                           | Mattel                    | Intellivision | 1980 | NTSC (NA)
|       | Masters of the Universe: The Power of He-Man    | Mattel                    | Intellivision | 1983 | NTSC (NA)
|       | Melody Blaster                                  | Mattel                    | Intellivision | 1983 | NTSC (NA)
|       | Microsurgeon                                    | Imagic                    | Intellivision | 1982 | NTSC (NA)
|       | Mind Strike                                     | Mattel                    | Intellivision | 1983 | NTSC (NA)
|       | Mission X                                       | Mattel                    | Intellivision | 1982 | NTSC (NA)
|       | Moto-Cross                                      | Mattel                    | Intellivision | 1983 | NTSC (NA)
|       | Mountain Madness Super Pro Skiing               | Intellivision Productions | Intellivision | 1988 | NTSC (NA)
|       | Mouse Trap                                      | Coleco                    | Intellivision | 1982 | NTSC (NA)
|       | Mr. Basic Meets Bits 'N Bites                   | Mattel                    | Intellivision | 1983 | NTSC (NA)
|       | NASL Soccer                                     | Mattel                    | Intellivision | 1979 | NTSC (NA)
|       | NFL Football                                    | Mattel                    | Intellivision | 1979 | NTSC (NA)
|       | Night Stalker                                   | Mattel                    | Intellivision | 1982 | NTSC (NA)
|       | Nova Blast                                      | Imagic                    | Intellivision | 1983 | NTSC (NA)
|       | Pac-Man                                         | Atari                     | Intellivision | 1983 | NTSC (NA)
|       | PBA Bowling                                     | Mattel                    | Intellivision | 1981 | NTSC (NA)
|       | Pinball                                         | Mattel                    | Intellivision | 1983 | NTSC (NA)
|       | Pitfall!                                        | Activision                | Intellivision | 1982 | NTSC (NA)
|       | Pole Position                                   | INTV                      | Intellivision | 1988 | NTSC (NA)
|       | Popeye                                          | Parker Brothers           | Intellivision | 1983 | NTSC (NA)
|       | Q*bert                                          | Parker Brothers           | Intellivision | 1983 | NTSC (NA)
|       | Reversi                                         | Mattel                    | Intellivision | 1981 | NTSC (NA)
|       | River Raid                                      | Activision                | Intellivision | 1983 | NTSC (NA)
|       | Royal Dealer                                    | Mattel                    | Intellivision | 1982 | NTSC (NA)
|       | SafeCracker                                     | Imagic                    | Intellivision | 1983 | NTSC (NA)
|       | Santa's Helper                                  | Mattel                    | Intellivision | 1983 | NTSC (NA)
|       | Scooby Doo's Maze Chase                         | Mattel                    | Intellivision | 1983 | NTSC (NA)
|       | Sea Battle                                      | Mattel                    | Intellivision | 1980 | NTSC (NA)
|       | Sewer Sam                                       | Interphase                | Intellivision | 1984 | NTSC (NA)
|       | Shark! Shark!                                   | Mattel                    | Intellivision | 1982 | NTSC (NA)
|       | Sharp Shot                                      | Mattel                    | Intellivision | 1982 | NTSC (NA)
|       | Skiing                                          | Sears                     | Intellivision | 1980 | NTSC (NA)
|       | Slam Dunk Super Pro Basketball                  | Intellivision Productions | Intellivision | 1987 | NTSC (NA)
|       | Slap Shot: Super Pro Hockey                     | INTV                      | Intellivision | 1987 | NTSC (NA)
|       | Snafu                                           | Mattel                    | Intellivision | 1981 | NTSC (NA)
|       | Space Armada                                    | Mattel                    | Intellivision | 1981 | NTSC (NA)
|       | Space Battle                                    | Mattel                    | Intellivision | 1979 | NTSC (NA)
|       | Space Hawk                                      | Mattel                    | Intellivision | 1981 | NTSC (NA)
|       | Space Spartans                                  | Mattel                    | Intellivision | 1982 | NTSC (NA)
|       | Spiker! Super Pro Volleyball                    | INTV                      | Intellivision | 1989 | NTSC (NA)
|       | Stadium Mud Buggies                             | INTV                      | Intellivision | 1989 | NTSC (NA)
|       | Stampede                                        | Activision                | Intellivision | 1982 | NTSC (NA)
|       | Star Strike                                     | Mattel                    | Intellivision | 1981 | NTSC (NA)
|       | Star Wars: The Empire Strikes Back              | Parker Brothers           | Intellivision | 1983 | NTSC (NA)
|       | Street                                          | Mattel                    | Intellivision | 1981 | NTSC (NA)
|       | Sub Hunt                                        | Mattel                    | Intellivision | 1982 | NTSC (NA)
|       | Super Cobra                                     | Parker Brothers           | Intellivision | 1983 | NTSC (NA)
|       | Super Pro Decathlon                             | INTV                      | Intellivision | 1988 | NTSC (NA)
|       | Super Pro Football                              | INTV                      | Intellivision | 1986 | NTSC (NA)
|       | Super Soccer                                    | Mattel                    | Intellivision | 1983 | NTSC (NA)
|       | Swords & Serpents                               | Imagic                    | Intellivision | 1982 | NTSC (NA)
|       | Tennis                                          | Mattel                    | Intellivision | 1980 | NTSC (NA)
|       | Thunder Castle                                  | INTV                      | Intellivision | 1986 | NTSC (NA)
|       | Tower of Doom                                   | Intellivision Productions | Intellivision | 1987 | NTSC (NA)
|       | Triple Action                                   | Mattel                    | Intellivision | 1981 | NTSC (NA)
|       | Triple Challenge                                | INTV                      | Intellivision | 1987 | NTSC (NA)
|       | Tron Deadly Discs                               | Mattel                    | Intellivision | 1982 | NTSC (NA)
|       | Tron: Maze-a-Tron                               | Mattel                    | Intellivision | 1982 | NTSC (NA)
|       | Tron: Solar Sailer                              | Mattel                    | Intellivision | 1982 | NTSC (NA)
|       | Tropical Trouble                                | Imagic                    | Intellivision | 1983 | NTSC (NA)
|       | Truckin'                                        | Imagic                    | Intellivision | 1983 | NTSC (NA)
|       | Turbo                                           | Coleco                    | Intellivision | 1983 | NTSC (NA)
|       | Tutankham                                       | Parker Brothers           | Intellivision | 1983 | NTSC (NA)
|       | Utopia                                          | Mattel                    | Intellivision | 1981 | NTSC (NA)
|       | Vectron                                         | Mattel                    | Intellivision | 1982 | NTSC (NA)
|       | Venture                                         | Coleco                    | Intellivision | 1982 | NTSC (NA)
|       | White Water!                                    | Imagic                    | Intellivision | 1983 | NTSC (NA)
|       | World Championship Baseball                     | Mattel                    | Intellivision | 1986 | NTSC (NA)
|       | World Cup Football                              | Nice Ideas                | Intellivision | 1985 | NTSC (NA)
|       | World Series Major League Baseball              | Mattel                    | Intellivision | 1983 | NTSC (NA)
|       | Worm Whomper                                    | Activision                | Intellivision | 1983 | NTSC (NA)
|       | Zaxxon                                          | Coleco                    | Intellivision | 1983 | NTSC (NA)
|       | Carnival    | CBS Electronics | Intellivision | 1983 | PAL
|       | Donkey Kong | CBS Electronics | Intellivision | 1983 | PAL
|       | Zaxxon      | Coleco          | Intellivision | 1983 | PAL
