|       | Ashen                                          | Nokia             | N-Gage | 2004 | NTSC (NA)
|       | Asphalt: Urban GT                              | Nokia             | N-Gage | 2004 | NTSC (NA)
|       | Asphalt: Urban GT 2                            | Nokia             | N-Gage | 2005 | NTSC (NA)
|       | Atari Masterpieces Vol. I                      | Atari SA          | N-Gage | 2005 | NTSC (NA)
|       | Atari Masterpieces Vol. II                     | Atari SA          | N-Gage | 2006 | NTSC (NA)
|       | Bomberman                                      | Nokia             | N-Gage | 2004 | NTSC (NA)
|       | Call of Duty                                   | Activision        | N-Gage | 2004 | NTSC (NA)
|       | Catan                                          | Nokia             | N-Gage | 2005 | NTSC (NA)
|       | Civilization                                   | Atari SA          | N-Gage | 2006 | NTSC (NA)
|       | Colin McRae Rally 2005                         | Nokia             | N-Gage | 2004 | NTSC (NA)
|       | Crash Nitro Kart                               | Nokia             | N-Gage | 2004 | NTSC (NA)
|       | Elder Scrolls Travels: Shadowkey, The          | Nokia             | N-Gage | 2004 | NTSC (NA)
|       | FIFA Soccer 2004                               | EA Sports         | N-Gage | 2004 | NTSC (NA)
|       | FIFA Soccer 2005                               | Nokia             | N-Gage | 2004 | NTSC (NA)
|       | Glimmerati                                     | Nokia             | N-Gage | 2005 | NTSC (NA)
|       | High Seize                                     | Nokia             | N-Gage | 2005 | NTSC (NA)
|       | King of Fighters Extreme, The                  | Nokia             | N-Gage | 2005 | NTSC (NA)
|       | Marcel Desailly Pro Soccer                     | Gameloft          | N-Gage | 2004 | NTSC (NA)
|       | Mile High Pinball                              | Nokia             | N-Gage | 2005 | NTSC (NA)
|       | MLB Slam!                                      | THQ               | N-Gage | 2003 | NTSC (NA)
|       | MotoGP                                         | THQ               | N-Gage | 2003 | NTSC (NA)
|       | NCAA Football 2004                             | EA Sports         | N-Gage | 2003 | NTSC (NA)
|       | One                                            | Nokia             | N-Gage | 2005 | NTSC (NA)
|       | Operation Shadow                               | Nokia             | N-Gage | 2004 | NTSC (NA)
|       | Pandemonium!                                   | Eidos Interactive | N-Gage | 2003 | NTSC (NA)
|       | Pathway to Glory                               | Nokia             | N-Gage | 2004 | NTSC (NA)
|       | Pathway to Glory: Ikusa Islands                | Nokia             | N-Gage | 2005 | NTSC (NA)
|       | Payload                                        | Nokia             | N-Gage | 2005 | NTSC (NA)
|       | Pocket Kingdom: Own the World                  | Nokia             | N-Gage | 2004 | NTSC (NA)
|       | Puyo Pop                                       | Sega              | N-Gage | 2003 | NTSC (NA)
|       | Puzzle Bobble VS                               | Taito Corporation | N-Gage | 2003 | NTSC (NA)
