|       | 3 Count Bout                               | SNK       | Neo Geo AES | 1993 | NTSC (NA)
|       | Aero Fighters 2                            | SNK       | Neo Geo AES | 1994 | NTSC (NA)
|       | Aggressors of Dark Kombat                  | SNK       | Neo Geo AES | 1994 | NTSC (NA)
|       | Alpha Mission II                           | SNK       | Neo Geo AES | 1991 | NTSC (NA)
|       | Andro Dunos                                | SNK       | Neo Geo AES | 1992 | NTSC (NA)
|       | Art of Fighting                            | SNK       | Neo Geo AES | 1992 | NTSC (NA)
|       | Art of Fighting 2                          | SNK       | Neo Geo AES | 1994 | NTSC (NA)
|       | Art of Fighting 3: The Path of the Warrior | SNK       | Neo Geo AES | 1996 | NTSC (NA)
|       | Baseball Stars 2                           | SNK       | Neo Geo AES | 1992 | NTSC (NA)
|       | Baseball Stars Professional                | SNK       | Neo Geo AES | 1991 | NTSC (NA)
|       | Blue's Journey                             | SNK       | Neo Geo AES | 1991 | NTSC (NA)
|       | Burning Fight                              | SNK       | Neo Geo AES | 1991 | NTSC (NA)
|       | Crossed Swords                             | SNK       | Neo Geo AES | 1991 | NTSC (NA)
|       | Cyber-Lip                                  | SNK       | Neo Geo AES | 1991 | NTSC (NA)
|       | Double Dragon                              | SNK       | Neo Geo AES | 1995 | NTSC (NA)
|       | Fatal Fury                                 | SNK       | Neo Geo AES | 1991 | NTSC (NA)
|       | Fatal Fury 2                               | SNK       | Neo Geo AES | 1993 | NTSC (NA)
|       | Fatal Fury 3: Road to the Final Victory    | SNK       | Neo Geo AES | 1995 | NTSC (NA)
|       | Fatal Fury Special                         | SNK       | Neo Geo AES | 1993 | NTSC (NA)
|       | Football Frenzy                            | SNK       | Neo Geo AES | 1992 | NTSC (NA)
|       | Galaxy Fight: Universal Warriors           | SNK       | Neo Geo AES | 1995 | NTSC (NA)
|       | Garou: Mark of the Wolves                  | SNK       | Neo Geo AES | 2000 | NTSC (NA)
|       | Ghost Pilots                               | SNK       | Neo Geo AES | 1991 | NTSC (NA)
