|       | 50 Classic Games 3D                                                       | Maximum Family Games                   | Nintendo 3DS | 2012 | NTSC (NA)
|       | 7th Dragon III Code: VFD                                                  | Sega                                   | Nintendo 3DS | 2016 | NTSC (NA)
|       | Ace Combat: Assault Horizon Legacy                                        | Namco Bandai Games America             | Nintendo 3DS | 2011 | NTSC (NA)
|       | Ace Combat: Assault Horizon Legacy+                                       | Namco Bandai Games                     | Nintendo 3DS | 2015 | NTSC (NA)
|       | Adventure Time: Explore the Dungeon Because I DON'T KNOW!                 | D3Publisher                            | Nintendo 3DS | 2013 | NTSC (NA)
|       | Adventure Time: Finn and Jake Investigations                              | Little Orbit                           | Nintendo 3DS | 2015 | NTSC (NA)
|       | Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!               | D3Publisher                            | Nintendo 3DS | 2012 | NTSC (NA)
|       | Adventure Time: The Secret of the Nameless Kingdom                        | Little Orbit                           | Nintendo 3DS | 2014 | NTSC (NA)
|       | Adventures of Tintin: The Game, The                                       | Ubisoft                                | Nintendo 3DS | 2011 | NTSC (NA)
|       | Alien Chaos 3D                                                            | Giant Media Group                      | Nintendo 3DS | 2012 | NTSC (NA)
|       | Amazing Spider-Man 2, The                                                 | Activision                             | Nintendo 3DS | 2014 | NTSC (NA)
|       | Amazing Spider-Man, The                                                   | Activision                             | Nintendo 3DS | 2012 | NTSC (NA)
|       | American Mensa Academy                                                    | Square Enix                            | Nintendo 3DS | 2012 | NTSC (NA)
|       | Angler's Club: Ultimate Bass Fishing 3D                                   | D3Publisher                            | Nintendo 3DS | 2011 | NTSC (NA)
|       | Angry Birds Star Wars                                                     | Activision                             | Nintendo 3DS | 2013 | NTSC (NA)
|       | Angry Birds Trilogy                                                       | Activision                             | Nintendo 3DS | 2012 | NTSC (NA)
|       | Animal Crossing: Happy Home Designer                                      | Nintendo                               | Nintendo 3DS | 2015 | NTSC (NA)
|       | Animal Crossing: New Leaf                                                 | Nintendo                               | Nintendo 3DS | 2013 | NTSC (NA)
|       | Animal Crossing: New Leaf - Welcome Amiibo                                | Nintendo                               | Nintendo 3DS | 2016 | NTSC (NA)
|       | AR Games                                                                  | Nintendo                               | Nintendo 3DS | 2011 | NTSC (NA)
|       | Are You Smarter Than A 5th Grader?                                        | GameMill Entertainment                 | Nintendo 3DS | 2015 | NTSC (NA)
|       | Art Academy: Lessons for Everyone                                         | Nintendo                               | Nintendo 3DS | 2012 | NTSC (NA)
|       | Asphalt 3D                                                                | Ubisoft                                | Nintendo 3DS | 2011 | NTSC (NA)
|       | Azure Striker Gunvolt: Striker Pack                                       | Yacht Club Games                       | Nintendo 3DS | 2016 | NTSC (NA)
|       | Barbie and Her Sisters: Puppy Rescue                                      | Little Orbit                           | Nintendo 3DS | 2015 | NTSC (NA)
|       | Barbie Dreamhouse Party                                                   | Little Orbit                           | Nintendo 3DS | 2013 | NTSC (NA)
|       | Barbie: Glam and Groom Pups                                               | Little Orbit                           | Nintendo 3DS | 2013 | NTSC (NA)
|       | Batman: Arkham Origins Blackgate                                          | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2013 | NTSC (NA)
|       | Battleship                                                                | Activision                             | Nintendo 3DS | 2012 | NTSC (NA)
|       | Ben 10: Galactic Racing                                                   | D3Publisher                            | Nintendo 3DS | 2011 | NTSC (NA)
|       | Ben 10: Omniverse                                                         | D3Publisher                            | Nintendo 3DS | 2012 | NTSC (NA)
|       | Ben 10: Omniverse 2                                                       | D3Publisher                            | Nintendo 3DS | 2013 | NTSC (NA)
|       | Beyblade: Evolution                                                       | Rising Star Games                      | Nintendo 3DS | 2013 | NTSC (NA)
|       | Bit.Trip Saga                                                             | Aksys Games                            | Nintendo 3DS | 2011 | NTSC (NA)
|       | BlazBlue: Continuum Shift II                                              | Aksys Games                            | Nintendo 3DS | 2011 | NTSC (NA)
|       | Boulder Dash-XL 3D                                                        | Giant Media Group                      | Nintendo 3DS | 2012 | NTSC (NA)
|       | Brain Age: Concentration Training                                         | Nintendo                               | Nintendo 3DS | 2013 | NTSC (NA)
|       | Bratz: Fashion Boutique                                                   | Activision                             | Nintendo 3DS | 2012 | NTSC (NA)
|       | Bravely Default                                                           | Nintendo                               | Nintendo 3DS | 2014 | NTSC (NA)
|       | Bravely Second: End Layer                                                 | Nintendo                               | Nintendo 3DS | 2016 | NTSC (NA)
|       | Brunswick Pro Bowling                                                     | Crave                                  | Nintendo 3DS | 2011 | NTSC (NA)
|       | Bust-A-Move Universe                                                      | Square Enix                            | Nintendo 3DS | 2011 | NTSC (NA)
|       | Captain America: Super Soldier                                            | Sega                                   | Nintendo 3DS | 2011 | NTSC (NA)
|       | Carnival Games: Wild West 3D                                              | 2K Games                               | Nintendo 3DS | 2011 | NTSC (NA)
|       | Cars 2: The Video Game                                                    | Disney Interactive Studios             | Nintendo 3DS | 2011 | NTSC (NA)
|       | Cartoon Network: Battle Crashers                                          | GameMill Entertainment                 | Nintendo 3DS | 2016 | NTSC (NA)
|       | Cartoon Network: Punch Time Explosion                                     | Crave                                  | Nintendo 3DS | 2011 | NTSC (NA)
|       | Castlevania: Lords of Shadow - Mirror of Fate                             | Konami                                 | Nintendo 3DS | 2013 | NTSC (NA)
|       | Cave Story 3D                                                             | NIS America                            | Nintendo 3DS | 2011 | NTSC (NA)
|       | Centipede: Infestation                                                    | Atari                                  | Nintendo 3DS | 2011 | NTSC (NA)
|       | Chevrolet Camaro: Wild Ride                                               | Storm City Games                       | Nintendo 3DS | 2018 | NTSC (NA)
|       | Chibi-Robo! Zip Lash                                                      | Nintendo                               | Nintendo 3DS | 2015 | NTSC (NA)
|       | Classic Games Overload: Card and Puzzle Edition                           | Telegames, Inc.                        | Nintendo 3DS | 2012 | NTSC (NA)
|       | Cloudy With a Chance of Meatballs 2                                       | GameMill Publishing                    | Nintendo 3DS | 2013 | NTSC (NA)
|       | Code Name: S.T.E.A.M.                                                     | Nintendo                               | Nintendo 3DS | 2015 | NTSC (NA)
|       | Code of Princess                                                          | ATLUS                                  | Nintendo 3DS | 2012 | NTSC (NA)
|       | Combat of Giants: Dinosaurs 3D                                            | Ubisoft                                | Nintendo 3DS | 2011 | NTSC (NA)
|       | Conception II: Children of the Seven Stars                                | ATLUS                                  | Nintendo 3DS | 2014 | NTSC (NA)
|       | Cooking Mama 4: Kitchen Magic                                             | Majesco Games                          | Nintendo 3DS | 2011 | NTSC (NA)
|       | Cooking Mama 5: Bon Appetit!                                              | Majesco Games                          | Nintendo 3DS | 2014 | NTSC (NA)
|       | Cooking Mama: Sweet Shop                                                  | Rising Star Games                      | Nintendo 3DS | 2017 | NTSC (NA)
|       | Corpse Party                                                              | Xseed Games                            | Nintendo 3DS | 2016 | NTSC (NA)
|       | Crash City Mayhem                                                         | Majesco Games                          | Nintendo 3DS | 2013 | NTSC (NA)
|       | Croods: Prehistoric Party!, The                                           | D3Publisher                            | Nintendo 3DS | 2013 | NTSC (NA)
|       | Crosswords Plus                                                           | Nintendo                               | Nintendo 3DS | 2012 | NTSC (NA)
|       | CRUSH3D                                                                   | Sega                                   | Nintendo 3DS | 2012 | NTSC (NA)
|       | Cubic Ninja                                                               | Ubisoft                                | Nintendo 3DS | 2011 | NTSC (NA)
|       | Culdcept Revolt                                                           | NIS America                            | Nintendo 3DS | 2017 | NTSC (NA)
|       | Cut the Rope: Triple Treat                                                | Activision                             | Nintendo 3DS | 2014 | NTSC (NA)
|       | Dead or Alive: Dimensions                                                 | Koei                                   | Nintendo 3DS | 2011 | NTSC (NA)
|       | Deca Sports Extreme                                                       | Konami                                 | Nintendo 3DS | 2011 | NTSC (NA)
|       | Deer Drive Legends                                                        | Maximum Family Games                   | Nintendo 3DS | 2012 | NTSC (NA)
|       | Disney 2-Pack - Frozen: Olaf's Quest + Big Hero 6: Battle in the Bay      | GameMill Entertainment                 | Nintendo 3DS | 2016 | NTSC (NA)
|       | Disney Art Academy                                                        | Nintendo                               | Nintendo 3DS | 2016 | NTSC (NA)
|       | Disney Big Hero 6: Battle in the Bay                                      | GameMill Entertainment                 | Nintendo 3DS | 2014 | NTSC (NA)
|       | Disney Epic Mickey: The Power of Illusion                                 | Disney Interactive Studios             | Nintendo 3DS | 2012 | NTSC (NA)
|       | Disney Frozen: Olaf's Quest                                               | GameMill Entertainment                 | Nintendo 3DS | 2013 | NTSC (NA)
|       | Disney Infinity: Toy Box Challenge                                        | Disney Interactive Studios             | Nintendo 3DS | 2013 | NTSC (NA)
|       | Disney Infinity: Toy Box Challenge                                        | Disney Interactive Studios             | Nintendo 3DS | 2013 | NTSC (NA)
|       | Disney Magical World                                                      | Nintendo                               | Nintendo 3DS | 2014 | NTSC (NA)
|       | Disney Magical World 2                                                    | Nintendo                               | Nintendo 3DS | 2016 | NTSC (NA)
|       | Disney Planes                                                             | Disney Interactive Studios             | Nintendo 3DS | 2013 | NTSC (NA)
|       | Disney Planes: Fire & Rescue                                              | Little Orbit                           | Nintendo 3DS | 2014 | NTSC (NA)
|       | Disney Princess: My Fairytale Adventure                                   | Disney Interactive Studios             | Nintendo 3DS | 2012 | NTSC (NA)
|       | Disney Violetta Rhythm & Music                                            | Little Orbit                           | Nintendo 3DS | 2014 | NTSC (NA)
|       | Disney/Pixar Cars 2                                                       | Disney Interactive Studios             | Nintendo 3DS | 2011 | NTSC (NA)
