|       | 007: The World Is Not Enough                     | Electronic Arts         | Nintendo 64 | 2000 | NTSC (NA)
|       | 1080 Snowboarding                                | Nintendo                | Nintendo 64 | 1998 | NTSC (NA)
|       | A Bug's Life                                     | Activision              | Nintendo 64 | 1999 | NTSC (NA)
|       | Aero Fighters Assault                            | Vic Tokai               | Nintendo 64 | 1997 | NTSC (NA)
|       | AeroGauge                                        | ASCII Entertainment     | Nintendo 64 | 1998 | NTSC (NA)
|       | Aidyn Chronicles: The First Mage                 | THQ                     | Nintendo 64 | 2001 | NTSC (NA)
|       | All Star Tennis 99                               | Ubisoft                 | Nintendo 64 | 1999 | NTSC (NA)
|       | All-Star Baseball 2000                           | Acclaim                 | Nintendo 64 | 1999 | NTSC (NA)
|       | All-Star Baseball 2001                           | Acclaim                 | Nintendo 64 | 2000 | NTSC (NA)
|       | All-Star Baseball 99                             | Acclaim                 | Nintendo 64 | 1998 | NTSC (NA)
|       | Armorines: Project S.W.A.R.M.                    | Acclaim                 | Nintendo 64 | 1999 | NTSC (NA)
|       | Army Men: Air Combat                             | 3DO                     | Nintendo 64 | 2000 | NTSC (NA)
|       | Army Men: Sarge's Heroes                         | 3DO                     | Nintendo 64 | 1999 | NTSC (NA)
|       | Army Men: Sarge's Heroes 2                       | 3DO                     | Nintendo 64 | 2000 | NTSC (NA)
|       | Asteroids Hyper 64                               | Crave                   | Nintendo 64 | 1999 | NTSC (NA)
|       | Automobili Lamborghini                           | Titus Software          | Nintendo 64 | 1997 | NTSC (NA)
|       | Banjo-Kazooie                                    | Nintendo                | Nintendo 64 | 1998 | NTSC (NA)
|       | Banjo-Tooie                                      | Nintendo                | Nintendo 64 | 2000 | NTSC (NA)
|       | Bassmasters 2000                                 | THQ                     | Nintendo 64 | 1999 | NTSC (NA)
|       | Batman Beyond: Return of the Joker               | Ubisoft                 | Nintendo 64 | 2000 | NTSC (NA)
|       | BattleTanx                                       | 3DO                     | Nintendo 64 | 1998 | NTSC (NA)
|       | BattleTanx: Global Assault                       | 3DO                     | Nintendo 64 | 1999 | NTSC (NA)
|       | Battlezone: Rise of the Black Dogs               | Crave                   | Nintendo 64 | 2000 | NTSC (NA)
|       | Beetle Adventure Racing!                         | EA Sports               | Nintendo 64 | 1999 | NTSC (NA)
|       | Big Mountain 2000                                | SouthPeak Games         | Nintendo 64 | 2000 | NTSC (NA)
|       | Bio FREAKS                                       | Midway                  | Nintendo 64 | 1998 | NTSC (NA)
|       | Blast Corps                                      | Nintendo                | Nintendo 64 | 1997 | NTSC (NA)
|       | Blues Brothers 2000                              | Titus Software          | Nintendo 64 | 2000 | NTSC (NA)
|       | Body Harvest                                     | Midway                  | Nintendo 64 | 1998 | NTSC (NA)
|       | Bomberman 64                                     | Nintendo                | Nintendo 64 | 1997 | NTSC (NA)
|       | Bomberman 64: The Second Attack!                 | Vatical Entertainment   | Nintendo 64 | 2000 | NTSC (NA)
|       | Bomberman Hero                                   | Nintendo                | Nintendo 64 | 1998 | NTSC (NA)
|       | Bottom of the 9th                                | Konami                  | Nintendo 64 | 1999 | NTSC (NA)
|       | Brunswick Circuit Pro Bowling                    | THQ                     | Nintendo 64 | 1999 | NTSC (NA)
|       | Buck Bumble                                      | Ubisoft                 | Nintendo 64 | 1998 | NTSC (NA)
|       | Bust-A-Move '99                                  | Acclaim                 | Nintendo 64 | 1999 | NTSC (NA)
|       | Bust-A-Move 2 Arcade Edition                     | Acclaim                 | Nintendo 64 | 1998 | NTSC (NA)
|       | California Speed                                 | Midway                  | Nintendo 64 | 1999 | NTSC (NA)
|       | Carmageddon 64                                   | Titus Software          | Nintendo 64 | 1999 | NTSC (NA)
|       | Castlevania                                      | Konami                  | Nintendo 64 | 1998 | NTSC (NA)
|       | Castlevania: Legacy of Darkness                  | Konami                  | Nintendo 64 | 1999 | NTSC (NA)
|       | Chameleon Twist                                  | SunSoft                 | Nintendo 64 | 1997 | NTSC (NA)
|       | Chameleon Twist 2                                | SunSoft                 | Nintendo 64 | 1999 | NTSC (NA)
|       | Charlie Blasts Territory                         | Kemco                   | Nintendo 64 | 1999 | NTSC (NA)
|       | Chopper Attack                                   | Midway                  | Nintendo 64 | 1998 | NTSC (NA)
|       | ClayFighter 63 1/3                               | Interplay               | Nintendo 64 | 1997 | NTSC (NA)
|       | ClayFighter: Sculptor's Cut                      | Interplay               | Nintendo 64 | 1998 | NTSC (NA)
|       | Command & Conquer                                | Nintendo                | Nintendo 64 | 1999 | NTSC (NA)
|       | Conker's Bad Fur Day                             | Rare Ltd.               | Nintendo 64 | 2001 | NTSC (NA)
|       | Cruis'n Exotica                                  | Midway                  | Nintendo 64 | 2000 | NTSC (NA)
|       | Cruis'n USA                                      | Nintendo                | Nintendo 64 | 1996 | NTSC (NA)
|       | Cruis'n World                                    | Nintendo                | Nintendo 64 | 1998 | NTSC (NA)
|       | CyberTiger                                       | Electronic Arts         | Nintendo 64 | 2000 | NTSC (NA)
|       | Dark Rift                                        | Vic Tokai               | Nintendo 64 | 1997 | NTSC (NA)
|       | Deadly Arts                                      | Konami                  | Nintendo 64 | 1998 | NTSC (NA)
|       | Destruction Derby 64                             | THQ                     | Nintendo 64 | 1999 | NTSC (NA)
|       | Diddy Kong Racing                                | Nintendo                | Nintendo 64 | 1997 | NTSC (NA)
|       | Disney's Tarzan                                  | Activision              | Nintendo 64 | 2000 | NTSC (NA)
|       | Donald Duck Goin' Quackers                       | Ubisoft                 | Nintendo 64 | 2000 | NTSC (NA)
|       | Donkey Kong 64                                   | Rare Ltd.               | Nintendo 64 | 1999 | NTSC (NA)
|       | Doom 64                                          | Midway                  | Nintendo 64 | 1997 | NTSC (NA)
|       | Dr. Mario 64                                     | Nintendo                | Nintendo 64 | 2001 | NTSC (NA)
|       | Dual Heroes                                      | Electro Brain           | Nintendo 64 | 1998 | NTSC (NA)
|       | Duck Dodgers Starring Daffy Duck                 | Infogrames              | Nintendo 64 | 2000 | NTSC (NA)
|       | Duke Nukem 64                                    | GT Interactive          | Nintendo 64 | 1997 | NTSC (NA)
|       | Duke Nukem: Zero Hour                            | GT Interactive          | Nintendo 64 | 1999 | NTSC (NA)
|       | Earthworm Jim 3D                                 | Rockstar Games          | Nintendo 64 | 1999 | NTSC (NA)
|       | ECW Hardcore Revolution                          | Acclaim                 | Nintendo 64 | 2000 | NTSC (NA)
|       | Excitebike 64                                    | Nintendo                | Nintendo 64 | 2000 | NTSC (NA)
|       | Extreme-G                                        | Acclaim                 | Nintendo 64 | 1997 | NTSC (NA)
|       | Extreme-G XG2                                    | Acclaim                 | Nintendo 64 | 1998 | NTSC (NA)
|       | F-1 World Grand Prix                             | Video System            | Nintendo 64 | 1998 | NTSC (NA)
|       | F-Zero X                                         | Nintendo                | Nintendo 64 | 1998 | NTSC (NA)
|       | F1 Pole Position 64                              | Ubisoft                 | Nintendo 64 | 1997 | NTSC (NA)
|       | FIFA 99                                          | Electronic Arts         | Nintendo 64 | 1998 | NTSC (NA)
|       | FIFA Soccer 64                                   | EA Sports               | Nintendo 64 | 1997 | NTSC (NA)
|       | FIFA: Road to World Cup 98                       | Electronic Arts         | Nintendo 64 | 1997 | NTSC (NA)
|       | Fighter Destiny 2                                | SouthPeak Games         | Nintendo 64 | 2000 | NTSC (NA)
|       | Fighters Destiny                                 | Ocean                   | Nintendo 64 | 1998 | NTSC (NA)
|       | Fighting Force 64                                | Crave                   | Nintendo 64 | 1999 | NTSC (NA)
|       | Flying Dragon                                    | Natsume                 | Nintendo 64 | 1998 | NTSC (NA)
|       | Forsaken 64                                      | Acclaim                 | Nintendo 64 | 1998 | NTSC (NA)
|       | Fox Sports College Hoops '99                     | Fox Interactive         | Nintendo 64 | 1998 | NTSC (NA)
|       | Gauntlet Legends                                 | Midway                  | Nintendo 64 | 1999 | NTSC (NA)
|       | Gex 3: Deep Cover Gecko                          | Crave                   | Nintendo 64 | 1999 | NTSC (NA)
|       | Gex 64: Enter the Gecko                          | Midway                  | Nintendo 64 | 1998 | NTSC (NA)
|       | Glover                                           | Hasbro Interactive      | Nintendo 64 | 1998 | NTSC (NA)
|       | Goemon's Great Adventure                         | Konami                  | Nintendo 64 | 1999 | NTSC (NA)
|       | Golden Nugget 64                                 | Electronic Arts         | Nintendo 64 | 1998 | NTSC (NA)
|       | GoldenEye 007                                    | Nintendo                | Nintendo 64 | 1997 | NTSC (NA)
|       | GT 64: Championship Edition                      | Ocean                   | Nintendo 64 | 1998 | NTSC (NA)
|       | Harvest Moon 64                                  | Natsume                 | Nintendo 64 | 1999 | NTSC (NA)
|       | Hercules: The Legendary Journeys                 | Titus Software          | Nintendo 64 | 2000 | NTSC (NA)
|       | Hexen                                            | GT Interactive          | Nintendo 64 | 1997 | NTSC (NA)
|       | Hey You, Pikachu!                                | Nintendo                | Nintendo 64 | 2000 | NTSC (NA)
|       | Hot Wheels Turbo Racing                          | Electronic Arts         | Nintendo 64 | 1999 | NTSC (NA)
|       | Hybrid Heaven                                    | Konami                  | Nintendo 64 | 1999 | NTSC (NA)
|       | Hydro Thunder                                    | Midway                  | Nintendo 64 | 2000 | NTSC (NA)
|       | Iggy's Reckin' Balls                             | Acclaim                 | Nintendo 64 | 1998 | NTSC (NA)
|       | In-Fisherman Bass Hunter 64                      | Take-Two Interactive    | Nintendo 64 | 1999 | NTSC (NA)
|       | Indiana Jones and the Infernal Machine           | LucasArts               | Nintendo 64 | 2000 | NTSC (NA)
|       | Indy Racing 2000                                 | Infogrames              | Nintendo 64 | 2000 | NTSC (NA)
|       | International Superstar Soccer '98               | Konami                  | Nintendo 64 | 1998 | NTSC (NA)
|       | International Superstar Soccer 2000              | Konami                  | Nintendo 64 | 2000 | NTSC (NA)
|       | International Superstar Soccer 64                | Konami                  | Nintendo 64 | 1997 | NTSC (NA)
|       | International Track & Field 2000                 | Konami                  | Nintendo 64 | 2000 | NTSC (NA)
|       | Jeopardy!                                        | GameTek                 | Nintendo 64 | 1998 | NTSC (NA)
|       | Jeremy McGrath Supercross 2000                   | Acclaim                 | Nintendo 64 | 2000 | NTSC (NA)
|       | Jet Force Gemini                                 | Rare Ltd.               | Nintendo 64 | 1999 | NTSC (NA)
|       | John Romero's Daikatana                          | Kemco                   | Nintendo 64 | 2000 | NTSC (NA)
|       | Ken Griffey Jr.'s Slugfest                       | Nintendo                | Nintendo 64 | 1999 | NTSC (NA)
|       | Killer Instinct Gold                             | Nintendo                | Nintendo 64 | 1996 | NTSC (NA)
|       | Kirby 64: The Crystal Shards                     | Nintendo                | Nintendo 64 | 2000 | NTSC (NA)
|       | Knife Edge: Nose Gunner                          | Kemco                   | Nintendo 64 | 1998 | NTSC (NA)
|       | Knockout Kings 2000                              | EA Sports               | Nintendo 64 | 1999 | NTSC (NA)
|       | Kobe Bryant in NBA Courtside                     | Nintendo                | Nintendo 64 | 1998 | NTSC (NA)
|       | Legend of Zelda: Majora's Mask, The              | Nintendo                | Nintendo 64 | 2000 | NTSC (NA)
|       | Legend of Zelda: Ocarina of Time, The            | Nintendo                | Nintendo 64 | 1998 | NTSC (NA)
|       | LEGO Racers                                      | Lego Media              | Nintendo 64 | 1999 | NTSC (NA)
|       | Lode Runner 3-D                                  | Infogrames              | Nintendo 64 | 1999 | NTSC (NA)
|       | Mace: The Dark Age                               | Midway                  | Nintendo 64 | 1997 | NTSC (NA)
|       | Madden Football 64                               | EA Sports               | Nintendo 64 | 1997 | NTSC (NA)
|       | Madden NFL 2000                                  | EA Sports               | Nintendo 64 | 1999 | NTSC (NA)
|       | Madden NFL 2001                                  | EA Sports               | Nintendo 64 | 2000 | NTSC (NA)
|       | Madden NFL 2002                                  | EA Sports               | Nintendo 64 | 2001 | NTSC (NA)
|       | Madden NFL 99                                    | EA Sports               | Nintendo 64 | 1998 | NTSC (NA)
|       | Magical Tetris Challenge                         | Capcom                  | Nintendo 64 | 1999 | NTSC (NA)
|       | Major League Baseball Featuring Ken Griffey, Jr. | Nintendo                | Nintendo 64 | 1998 | NTSC (NA)
|       | Mario Golf                                       | Nintendo                | Nintendo 64 | 1999 | NTSC (NA)
|       | Mario Kart 64                                    | Nintendo                | Nintendo 64 | 1997 | NTSC (NA)
|       | Mario Party                                      | Nintendo                | Nintendo 64 | 1999 | NTSC (NA)
|       | Mario Party 2                                    | Nintendo                | Nintendo 64 | 2000 | NTSC (NA)
|       | Mario Party 3                                    | Nintendo                | Nintendo 64 | 2001 | NTSC (NA)
|       | Mario Tennis                                     | Nintendo                | Nintendo 64 | 2000 | NTSC (NA)
|       | Mega Man 64                                      | Capcom                  | Nintendo 64 | 2001 | NTSC (NA)
|       | Mia Hamm Soccer 64                               | SouthPeak Games         | Nintendo 64 | 2000 | NTSC (NA)
|       | Mickey's Speedway USA                            | Nintendo                | Nintendo 64 | 2000 | NTSC (NA)
|       | Micro Machines 64 Turbo                          | Midway                  | Nintendo 64 | 1999 | NTSC (NA)
|       | Midway's Greatest Arcade Hits Volume 1           | Midway                  | Nintendo 64 | 2000 | NTSC (NA)
|       | Mike Piazza's Strike Zone                        | GT Interactive          | Nintendo 64 | 1998 | NTSC (NA)
|       | Milo's Astro Lanes                               | Crave                   | Nintendo 64 | 1998 | NTSC (NA)
|       | Mischief Makers                                  | Nintendo                | Nintendo 64 | 1997 | NTSC (NA)
|       | Mission: Impossible                              | Ocean                   | Nintendo 64 | 1998 | NTSC (NA)
|       | Monaco Grand Prix                                | Ubisoft                 | Nintendo 64 | 1999 | NTSC (NA)
|       | Monopoly                                         | Hasbro Interactive      | Nintendo 64 | 1999 | NTSC (NA)
|       | Monster Truck Madness 64                         | Rockstar Games          | Nintendo 64 | 1999 | NTSC (NA)
|       | Mortal Kombat 4                                  | Midway                  | Nintendo 64 | 1998 | NTSC (NA)
|       | Mortal Kombat Mythologies: Sub-Zero              | Midway                  | Nintendo 64 | 1997 | NTSC (NA)
|       | Mortal Kombat Trilogy                            | Midway                  | Nintendo 64 | 1996 | NTSC (NA)
|       | MRC: Multi-Racing Championship                   | Ocean                   | Nintendo 64 | 1997 | NTSC (NA)
