|       | 1 vs. 100                                                               | DSI Games                              | Nintendo DS | 2008 | NTSC (NA)
|       | 100 All-Time Favorites                                                  | Ubisoft                                | Nintendo DS | 2009 | NTSC (NA)
|       | 100 Classic Books                                                       | Nintendo                               | Nintendo DS | 2010 | NTSC (NA)
|       | 1001 Touch Games                                                        | Maximum Family Games                   | Nintendo DS | 2011 | NTSC (NA)
|       | 101-in-1 Explosive Megamix                                              | ATLUS                                  | Nintendo DS | 2009 | NTSC (NA)
|       | 101-in-1 Sports Megamix                                                 | ATLUS                                  | Nintendo DS | 2010 | NTSC (NA)
|       | 18 Classic Card Games                                                   | Destineer                              | Nintendo DS | 2010 | NTSC (NA)
|       | 50 Classic Games                                                        | Destineer                              | Nintendo DS | 2010 | NTSC (NA)
|       | 50 More Classic Games                                                   | Destineer                              | Nintendo DS | 2011 | NTSC (NA)
|       | 7 Wonders II                                                            | Avanquest Software                     | Nintendo DS | 2010 | NTSC (NA)
|       | 7 Wonders of the Ancient World                                          | MumboJumbo                             | Nintendo DS | 2007 | NTSC (NA)
|       | A Witch's Tale                                                          | NIS America                            | Nintendo DS | 2009 | NTSC (NA)
|       | Ace Attorney Investigations: Miles Edgeworth                            | Capcom                                 | Nintendo DS | 2010 | NTSC (NA)
|       | Advance Wars: Days of Ruin                                              | Nintendo                               | Nintendo DS | 2008 | NTSC (NA)
|       | Advance Wars: Dual Strike                                               | Nintendo                               | Nintendo DS | 2005 | NTSC (NA)
|       | Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!             | D3Publisher                            | Nintendo DS | 2012 | NTSC (NA)
|       | Again: Interactive Crime Novel                                          | Tecmo                                  | Nintendo DS | 2010 | NTSC (NA)
|       | Agatha Christie: The ABC Murders                                        | DreamCatcher Interactive               | Nintendo DS | 2009 | NTSC (NA)
|       | Age of Empires: Mythologies                                             | THQ                                    | Nintendo DS | 2008 | NTSC (NA)
|       | Age of Empires: The Age of Kings                                        | Majesco Games                          | Nintendo DS | 2006 | NTSC (NA)
|       | Air Traffic Chaos                                                       | Majesco Games                          | Nintendo DS | 2008 | NTSC (NA)
|       | Alex Rider: Stormbreaker                                                | THQ                                    | Nintendo DS | 2006 | NTSC (NA)
|       | Alice in Wonderland                                                     | Disney Interactive Studios             | Nintendo DS | 2010 | NTSC (NA)
