|       | 10-Yard Fight                                               | Nintendo                       | Nintendo Entertainment System | 1985 | NTSC (NA)
|       | 1942                                                        | Capcom                         | Nintendo Entertainment System | 1986 | NTSC (NA)
|       | 1943: The Battle of Midway                                  | Capcom                         | Nintendo Entertainment System | 1988 | NTSC (NA)
|       | 3-D WorldRunner                                             | Acclaim                        | Nintendo Entertainment System | 1987 | NTSC (NA)
|       | 6 in 1                                                      | Caltron                        | Nintendo Entertainment System | 1992 | NTSC (NA)
|       | 720 Degrees                                                 | Mindscape Inc.                 | Nintendo Entertainment System | 1989 | NTSC (NA)
|       | 8 Eyes                                                      | Taxan                          | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | A Boy and His Blob: Trouble on Blobolonia                   | Absolute Entertainment         | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Abadox: The Deadly Inner War                                | Milton Bradley                 | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Action 52                                                   | Active Enterprises             | Nintendo Entertainment System | 1991 | NTSC (NA)
|       | Addams Family, The                                          | Ocean                          | Nintendo Entertainment System | 1992 | NTSC (NA)
|       | Addams Family: Pugsley's Scavenger Hunt, The                | Ocean                          | Nintendo Entertainment System | 1993 | NTSC (NA)
|       | Advanced Dungeons & Dragons: DragonStrike                   | Pony Canyon                    | Nintendo Entertainment System | 1992 | NTSC (NA)
|       | Advanced Dungeons & Dragons: Heroes of the Lance            | FCI, Inc.                      | Nintendo Entertainment System | 1991 | NTSC (NA)
|       | Advanced Dungeons & Dragons: Hillsfar                       | FCI, Inc.                      | Nintendo Entertainment System | 1993 | NTSC (NA)
|       | Advanced Dungeons & Dragons: Pool of Radiance               | FCI, Inc.                      | Nintendo Entertainment System | 1992 | NTSC (NA)
|       | Adventure Island                                            | Hudson                         | Nintendo Entertainment System | 1988 | NTSC (NA)
|       | Adventure Island 3                                          | Hudson                         | Nintendo Entertainment System | 1992 | NTSC (NA)
|       | Adventure Island II                                         | Hudson                         | Nintendo Entertainment System | 1991 | NTSC (NA)
|       | Adventures of Bayou Billy, The                              | Konami                         | Nintendo Entertainment System | 1989 | NTSC (NA)
|       | Adventures of Dino Riki                                     | Hudson Soft                    | Nintendo Entertainment System | 1989 | NTSC (NA)
|       | Adventures of Gilligan's Island, The                        | Bandai                         | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Adventures of Lolo                                          | HAL Labs                       | Nintendo Entertainment System | 1989 | NTSC (NA)
|       | Adventures of Lolo 2                                        | Hal                            | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Adventures of Lolo 3                                        | Hal                            | Nintendo Entertainment System | 1991 | NTSC (NA)
|       | Adventures of Rad Gravity, The                              | Activision                     | Nintendo Entertainment System | 1990 | NTSC (NA)
