|       | 007: Everything or Nothing                                          | EA Games                               | Nintendo GameCube | 2004 | NTSC (NA)
|       | 007: NightFire                                                      | Electronic Arts                        | Nintendo GameCube | 2002 | NTSC (NA)
|       | 1080: Avalanche                                                     | Nintendo                               | Nintendo GameCube | 2003 | NTSC (NA)
|       | 18 Wheeler: American Pro Trucker                                    | Acclaim                                | Nintendo GameCube | 2002 | NTSC (NA)
|       | 2002 FIFA World Cup                                                 | EA Sports                              | Nintendo GameCube | 2002 | NTSC (NA)
|       | 4x4 EVO 2                                                           | VU Games                               | Nintendo GameCube | 2002 | NTSC (NA)
|       | Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies, The | THQ                                    | Nintendo GameCube | 2004 | NTSC (NA)
|       | Aggressive Inline                                                   | Acclaim                                | Nintendo GameCube | 2002 | NTSC (NA)
|       | Alien Hominid                                                       | O3 Entertainment                       | Nintendo GameCube | 2004 | NTSC (NA)
|       | All-Star Baseball 2002                                              | Acclaim                                | Nintendo GameCube | 2001 | NTSC (NA)
|       | All-Star Baseball 2003                                              | Acclaim                                | Nintendo GameCube | 2002 | NTSC (NA)
|       | All-Star Baseball 2004                                              | Acclaim                                | Nintendo GameCube | 2003 | NTSC (NA)
|       | Amazing Island                                                      | Sega                                   | Nintendo GameCube | 2004 | NTSC (NA)
|       | American Chopper 2: Full Throttle                                   | Activision Value                       | Nintendo GameCube | 2005 | NTSC (NA)
|       | Animal Crossing                                                     | Nintendo                               | Nintendo GameCube | 2002 | NTSC (NA)
|       | Animaniacs: The Great Edgar Hunt                                    | Ignition Entertainment                 | Nintendo GameCube | 2005 | NTSC (NA)
|       | Ant Bully, The                                                      | Midway                                 | Nintendo GameCube | 2006 | NTSC (NA)
|       | Aquaman: Battle for Atlantis                                        | TDK Mediactive                         | Nintendo GameCube | 2003 | NTSC (NA)
|       | Army Men: Air Combat - The Elite Missions                           | 3DO                                    | Nintendo GameCube | 2003 | NTSC (NA)
|       | Army Men: RTS                                                       | Global Star Software                   | Nintendo GameCube | 2004 | NTSC (NA)
|       | Army Men: Sarge's War                                               | Global Star Software                   | Nintendo GameCube | 2004 | NTSC (NA)
|       | ATV Quad Power Racing 2                                             | Acclaim                                | Nintendo GameCube | 2003 | NTSC (NA)
|       | Auto Modellista                                                     | Capcom                                 | Nintendo GameCube | 2003 | NTSC (NA)
