|       | 007 Legends                                                              | Activision                             | Nintendo Wii U | 2012 | NTSC (NA)
|       | Adventure Time: Explore the Dungeon Because I DON'T KNOW!                | D3Publisher                            | Nintendo Wii U | 2013 | NTSC (NA)
|       | Adventure Time: Finn and Jake Investigations                             | Little Orbit                           | Nintendo Wii U | 2015 | NTSC (NA)
|       | Amazing Spider-Man 2, The                                                | Activision                             | Nintendo Wii U | 2014 | NTSC (NA)
|       | Amazing Spider-Man: Ultimate Edition, The                                | Activision                             | Nintendo Wii U | 2013 | NTSC (NA)
|       | Angry Birds Star Wars                                                    | Activision                             | Nintendo Wii U | 2013 | NTSC (NA)
|       | Angry Birds Trilogy                                                      | Activision                             | Nintendo Wii U | 2013 | NTSC (NA)
|       | Animal Crossing: amiibo Festival                                         | Nintendo                               | Nintendo Wii U | 2015 | NTSC (NA)
|       | Assassin's Creed III                                                     | Ubisoft                                | Nintendo Wii U | 2012 | NTSC (NA)
|       | Assassin's Creed IV: Black Flag                                          | Ubisoft                                | Nintendo Wii U | 2013 | NTSC (NA)
|       | Barbie and Her Sisters: Puppy Rescue                                     | Little Orbit                           | Nintendo Wii U | 2015 | NTSC (NA)
|       | Barbie Dreamhouse Party                                                  | Little Orbit                           | Nintendo Wii U | 2013 | NTSC (NA)
|       | Batman: Arkham City - Armored Edition                                    | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2012 | NTSC (NA)
|       | Batman: Arkham Origins                                                   | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2013 | NTSC (NA)
|       | Bayonetta 2                                                              | Nintendo                               | Nintendo Wii U | 2016 | NTSC (NA)
|       | Ben 10: Omniverse                                                        | D3Publisher                            | Nintendo Wii U | 2012 | NTSC (NA)
|       | Ben 10: Omniverse 2                                                      | D3Publisher                            | Nintendo Wii U | 2013 | NTSC (NA)
|       | Book of Unwritten Tales 2, The                                           | The Adventure Company                  | Nintendo Wii U | 2016 | NTSC (NA)
|       | Brunswick Pro Bowling                                                    | Alliance Digital Media                 | Nintendo Wii U | 2015 | NTSC (NA)
|       | Cabela's Big Game Hunter: Pro Hunts                                      | Activision                             | Nintendo Wii U | 2014 | NTSC (NA)
|       | Cabela's Dangerous Hunts 2013                                            | Activision                             | Nintendo Wii U | 2013 | NTSC (NA)
|       | Call of Duty: Black Ops II                                               | Activision                             | Nintendo Wii U | 2012 | NTSC (NA)
|       | Call of Duty: Ghosts                                                     | Activision                             | Nintendo Wii U | 2013 | NTSC (NA)
|       | Captain Toad: Treasure Tracker                                           | Nintendo                               | Nintendo Wii U | 2014 | NTSC (NA)
|       | Cars 3: Driven to Win                                                    | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2017 | NTSC (NA)
|       | Croods: Prehistoric Party!, The                                          | D3Publisher                            | Nintendo Wii U | 2013 | NTSC (NA)
|       | Darksiders II                                                            | THQ                                    | Nintendo Wii U | 2012 | NTSC (NA)
|       | Darksiders: Warmastered Edition                                          | Nordic Games Publishing                | Nintendo Wii U | 2016 | NTSC (NA)
|       | Deus Ex: Human Revolution - Director's Cut                               | Square Enix                            | Nintendo Wii U | 2013 | NTSC (NA)
|       | Devil's Third                                                            | Nintendo                               | Nintendo Wii U | 2015 | NTSC (NA)
|       | Disney DuckTales Remastered                                              | Capcom                                 | Nintendo Wii U | 2013 | NTSC (NA)
|       | Disney Epic Mickey 2: The Power of Two                                   | Disney Interactive Studios             | Nintendo Wii U | 2012 | NTSC (NA)
|       | Disney Infinity                                                          | Disney Interactive Studios             | Nintendo Wii U | 2013 | NTSC (NA)
|       | Disney Infinity 2.0 Edition                                              | Disney Interactive Studios             | Nintendo Wii U | 2014 | NTSC (NA)
|       | Disney Infinity 3.0 Edition                                              | Disney Interactive Studios             | Nintendo Wii U | 2015 | NTSC (NA)
|       | Disney Planes                                                            | Disney Interactive Studios             | Nintendo Wii U | 2013 | NTSC (NA)
|       | Disney Planes: Fire & Rescue                                             | Little Orbit                           | Nintendo Wii U | 2014 | NTSC (NA)
|       | Donkey Kong Country: Tropical Freeze                                     | Nintendo                               | Nintendo Wii U | 2014 | NTSC (NA)
|       | ESPN Sports Connection                                                   | Ubisoft                                | Nintendo Wii U | 2012 | NTSC (NA)
|       | Family Party: 30 Great Games Obstacle Arcade                             | D3Publisher                            | Nintendo Wii U | 2012 | NTSC (NA)
|       | Fast & Furious: Showdown                                                 | Activision                             | Nintendo Wii U | 2013 | NTSC (NA)
|       | FIFA Soccer 13                                                           | EA Sports                              | Nintendo Wii U | 2012 | NTSC (NA)
|       | Funky Barn                                                               | 505 Games                              | Nintendo Wii U | 2012 | NTSC (NA)
|       | Game & Wario                                                             | Nintendo                               | Nintendo Wii U | 2013 | NTSC (NA)
|       | Game Party Champions                                                     | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2012 | NTSC (NA)
|       | Giana Sisters: Twisted Dreams - Director's Cut                           | Alliance Digital Media                 | Nintendo Wii U | 2015 | NTSC (NA)
|       | Guitar Hero Live                                                         | Activision                             | Nintendo Wii U | 2015 | NTSC (NA)
|       | Hello Kitty Kruisers                                                     | Bergsala-Lightweight                   | Nintendo Wii U | 2014 | NTSC (NA)
|       | Hot Wheels: World's Best Driver                                          | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2013 | NTSC (NA)
|       | How to Train Your Dragon 2                                               | Little Orbit                           | Nintendo Wii U | 2014 | NTSC (NA)
|       | Hyrule Warriors                                                          | Nintendo                               | Nintendo Wii U | 2014 | NTSC (NA)
|       | Injustice: Gods Among Us                                                 | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2013 | NTSC (NA)
|       | Jeopardy!                                                                | THQ                                    | Nintendo Wii U | 2012 | NTSC (NA)
|       | Just Dance 2014                                                          | Ubisoft                                | Nintendo Wii U | 2013 | NTSC (NA)
|       | Just Dance 2015                                                          | Ubisoft                                | Nintendo Wii U | 2014 | NTSC (NA)
|       | Just Dance 2016                                                          | Ubisoft                                | Nintendo Wii U | 2015 | NTSC (NA)
