| | 0 kara no Shogi - Shogi Youchien Ayumi-Gumi R | | PlayStation | | NTSC (JP) | SLPS-02920
| | 100manyen Quiz Hunter | | PlayStation | | NTSC (JP) | SLPS-01730
| | 10101 - Will the Starship | | PlayStation | | NTSC (JP) | SLPS-01054
| | 10th Anniversary PlayStation & PlayStation 2 All-Soft Catalogue Special SaveData Collection [PS1 Disc] | | PlayStation | | NTSC (JP) | SLPM-80643
| | 19 ji 03 pun Ueno Hatsu Yakou Ressha | | PlayStation | | NTSC (JP) | SLPS-01865
| | 19 ji 03 pun Ueno Hatsu Yakou Ressha  [Reprint] | | PlayStation | | NTSC (JP) | SLPS-02881
| | 19 ji 03 pun Ueno Hatsu Yakou Ressha [Trial Version] | | PlayStation | | NTSC (JP) | SLPM-80181
| | 1-on-1 - Single Basketball | | PlayStation | | NTSC (JP) | SLPS-01706
| | 1-on-1 - Single Basketball [Reprint] | | PlayStation | | NTSC (JP) | SLPS-02298
| | 20 Seiki Striker Retsuden - The 20th Century's Strikers | | PlayStation | | NTSC (JP) | SLPS-02348
| | 20 Seiki Striker Retsuden - The 20th Century's Strikers [PSone Books] | | PlayStation | | NTSC (JP) | SLPS-91416
| | 20 Seiki Striker Retsuden - The 20th Century's Strikers [Reprint] | | PlayStation | | NTSC (JP) | SLPS-02857
| | 2999nen Game Kids [PlayStation Comic] | | PlayStation | | NTSC (JP) | SCPS-19004
| | 2999nen no Game Kids [PlayStation Comic] [Trial Version 1] | | PlayStation | | NTSC (JP) | PAPX-90057
| | 2999nen no Game Kids [PlayStation Comic] [Trial Version 2] | | PlayStation | | NTSC (JP) | PCPX-96135
| | 3D Baseball - The Majors | | PlayStation | | NTSC (JP) | SLPS-00693
| | 3D Kakutou Tsukuru | | PlayStation | | NTSC (JP) | SLPS-01434
| | 3D Lemmings | | PlayStation | | NTSC (JP) | SIPS-60002
| | 3D Mission Shooting Finalist [Rev.1 6-7-96] | | PlayStation | | NTSC (JP) | SLPS-00461
| | 3D Mission Shooting Finalist [Rev.2 7-9-96] | | PlayStation | | NTSC (JP) | SLPS-00461
| | 3D Shooting Tsukuru | | PlayStation | | NTSC (JP) | SLPS-00654
| | 3x3 Eyes - Kyuusei Koushu [Disc1of2] | | PlayStation | | NTSC (JP) | SLPS-00071
| | 3x3 Eyes - Kyuusei Koushu [Disc2of2] | | PlayStation | | NTSC (JP) | SLPS-00072
| | 3x3 Eyes - Tenrinou Genmu [Disc1of3] | | PlayStation | | NTSC (JP) | SLPS-01497
| | 3x3 Eyes - Tenrinou Genmu [Disc2of3] | | PlayStation | | NTSC (JP) | SLPS-01498
| | 3x3 Eyes - Tenrinou Genmu [Disc3of3] | | PlayStation | | NTSC (JP) | SLPS-01499
| | 70's Robot Anime - Geppy-X - The Super Boosted Armor [Disc1of4] | | PlayStation | | NTSC (JP) | SLPS-01995
| | 70's Robot Anime - Geppy-X - The Super Boosted Armor [Disc2of4] | | PlayStation | | NTSC (JP) | SLPS-01996
| | 70's Robot Anime - Geppy-X - The Super Boosted Armor [Disc3of4] | | PlayStation | | NTSC (JP) | SLPS-01997
| | 70's Robot Anime - Geppy-X - The Super Boosted Armor [Disc4of4] | | PlayStation | | NTSC (JP) | SLPS-01998
| | 70's Robot Anime - Geppy-X - The Super Boosted Armor [Trial Version] | | PlayStation | | NTSC (JP) | SLPM-80387
| | 98 Koushien | | PlayStation | | NTSC (JP) | SLPS-01204
| | 98 Koushien [Magical 1500 Series] | | PlayStation | | NTSC (JP) | SLPS-03086
| | 98 Koushien [Trial Version] | | PlayStation | | NTSC (JP) | SLPM-80238
| | 99 Koushien | | PlayStation | | NTSC (JP) | SLPS-02110
| | 99 Koushien [Magical 1500 Series] | | PlayStation | | NTSC (JP) | SLPS-03085
| | 99 Koushien [Trial Version] | | PlayStation | | NTSC (JP) | SLPM-80421
| | A Ressha de Ikou Z | | PlayStation | | NTSC (JP) | SLPS-02050
| | A Ressha de Ikou Z [Artdink Best Choice] | | PlayStation | | NTSC (JP) | SLPS-02812
| | A Ressha de Ikou Z [SuperLite 1500 Series] | | PlayStation | | NTSC (JP) | SLPM-87282
| | A. IV Evolution - A Ressha de Ikou 4 | | PlayStation | | NTSC (JP) | SLPS-00004
| | A. IV Evolution [Limited Edition] | | PlayStation | | NTSC (JP) | SLPS-00011
| | A. IV Evolution Global | | PlayStation | | NTSC (JP) | SLPS-00125
| | A. IV Evolution Global [PlayStation the Best] | | PlayStation | | NTSC (JP) | SLPS-91019
| | A. IV Evolution Global [SuperLite 1500 Series] | | PlayStation | | NTSC (JP) | SLPM-87231
| | A5 - A Ressha de Ikou 5 | | PlayStation | | NTSC (JP) | SLPS-01120
| | A5 - A Ressha de Ikou 5 [PlayStation the Best] | | PlayStation | | NTSC (JP) | SLPS-91124
| | A5 - A Ressha de Ikou 5 [SuperLite 1500 Series] | | PlayStation | | NTSC (JP) | SLPM-87238
| | Abalaburn - A Battle Legend of Astterica | | PlayStation | | NTSC (JP) | SLPS-01280
| | Abe '99 [Disc1of2] | | PlayStation | | NTSC (JP) | SLPS-02095
| | Abe '99 [Disc2of2] | | PlayStation | | NTSC (JP) | SLPS-02096
| | Abe a Go Go | | PlayStation | | NTSC (JP) | SLPS-01118
| | Abe a Go Go [Trial Version] | | PlayStation | | NTSC (JP) | SLPM-80175
