| | 007 Racing | | PlayStation | | NTSC (NA) | SLUS-01300
| | 102 Dalmatians - Puppies to the Rescue | | PlayStation | | NTSC (NA) | SLUS-01152
| | 2Xtreme | | PlayStation | | NTSC (NA) | SCUS-94508
| | 3D Baseball | | PlayStation | | NTSC (NA) | SLUS-00066
| | 3Xtreme | | PlayStation | | NTSC (NA) | SCUS-94231
| | 3Xtreme [Demo] | | PlayStation | | NTSC (NA) | SCUS-94365
| | 40 Winks | | PlayStation | | NTSC (NA) | SLUS-00874
| | 989 Sports 2003 Demo Disc | | PlayStation | | NTSC (NA) | SCUS-94677
| | Ace Combat 2 | | PlayStation | | NTSC (NA) | SLUS-00404
| | Ace Combat 3 - Electrosphere | | PlayStation | | NTSC (NA) | SLUS-00972
| | Aces of the Air | | PlayStation | | NTSC (NA) | SLUS-01470
| | Action Bass | | PlayStation | | NTSC (NA) | SLUS-01248
| | Action Man - Operation Extreme | | PlayStation | | NTSC (NA) | SLUS-00887
| | Activision Classics | | PlayStation | | NTSC (NA) | SLUS-00777
| | Adidas Power Soccer | | PlayStation | | NTSC (NA) | SCUS-94502
| | Adidas Power Soccer '98 | | PlayStation | | NTSC (NA) | SLUS-00547
| | Adventure of Phix | | PlayStation | | NTSC (NA) | SLUS-01523
| | Adventures of Lomax | | PlayStation | | NTSC (NA) | SCUS-94906
| | Agile Warrior F-111X | | PlayStation | | NTSC (NA) | SLUS-00023
| | Air Combat | | PlayStation | | NTSC (NA) | SLUS-00001
| | Air Hockey | | PlayStation | | NTSC (NA) | SLUS-01467
| | Akuji - The Heartless | | PlayStation | | NTSC (NA) | SLUS-00715
| | Akuji - The Heartless [Trade Demo] | | PlayStation | | NTSC (NA) | SLUS-80715
| | Alexi Lalas International Soccer | | PlayStation | | NTSC (NA) | SLUS-00872
| | Alien Resurrection | | PlayStation | | NTSC (NA) | SLUS-00633
| | Alien Trilogy | | PlayStation | | NTSC (NA) | SLUS-00007
| | Allied General | | PlayStation | | NTSC (NA) | SLUS-00303
| | All-Star Baseball | | PlayStation | | NTSC (NA) | SLUS-00392
| | All-Star Racing | | PlayStation | | NTSC (NA) | SLUS-01460
| | All-Star Racing 2 | | PlayStation | | NTSC (NA) | SLUS-01510
| | All-Star Slammin' Dodgeball | | PlayStation | | NTSC (NA) | SLUS-01431
| | All-Star Tennis '99 ~~CANCELLED~~ | | PlayStation | | NTSC (NA) | SLUS-00833
| | Alone in the Dark - One Eyed Jack's Revenge | | PlayStation | | NTSC (NA) | SLUS-00239
| | Alone in the Dark - The New Nightmare [Disc1of2] | | PlayStation | | NTSC (NA) | SLUS-01201
| | Alone in the Dark - The New Nightmare [Disc2of2] | | PlayStation | | NTSC (NA) | SLUS-01377
| | Alundra | | PlayStation | | NTSC (NA) | SLUS-00553
| | Alundra 2 - A New Legend Begins | | PlayStation | | NTSC (NA) | SLUS-01017
| | Amazing Virtual Sea Monkeys | | PlayStation | | NTSC (NA) | SLUS-01475
| | American Pool | | PlayStation | | NTSC (NA) | SLUS-01488
| | Andretti Racing | | PlayStation | | NTSC (NA) | SLUS-00264
| | Animaniacs - Ten Pin Alley 2 | | PlayStation | | NTSC (NA) | SLUS-00784
| | Animorphs - Shattered Reality | | PlayStation | | NTSC (NA) | SLUS-01010
| | Ape Escape | | PlayStation | | NTSC (NA) | SCUS-94423
| | Ape Escape [Demo] | | PlayStation | | NTSC (NA) | SCUS-94489
| | Apocalypse | | PlayStation | | NTSC (NA) | SLUS-00373
| | Aquanaut's Holiday | | PlayStation | | NTSC (NA) | SCUS-94603
| | Arc the Lad Collection - Arc the Lad I | | PlayStation | | NTSC (NA) | SLUS-01224
| | Arc the Lad Collection - Arc the Lad II | | PlayStation | | NTSC (NA) | SLUS-01252
| | Arc the Lad Collection - Arc the Lad III [Disc1of2] | | PlayStation | | NTSC (NA) | SLUS-01253
| | Arc the Lad Collection - Arc the Lad III [Disc2of2] | | PlayStation | | NTSC (NA) | SLUS-01254
| | Arc the Lad Collection - Monster Tournament - Battle Arena | | PlayStation | | NTSC (NA) | SLUS-01255
| | Arc the Lad Collection, The Making of | | PlayStation | | NTSC (NA) | SLUS-01256
| | Arcade Party Pack | | PlayStation | | NTSC (NA) | SLUS-00952
| | Arcade's Greatest Hits - The Atari Collection 1 | | PlayStation | | NTSC (NA) | SLUS-00399
| | Arcade's Greatest Hits - The Atari Collection 2 | | PlayStation | | NTSC (NA) | SLUS-00449
| | Arcade's Greatest Hits - The Midway Collection 2 | | PlayStation | | NTSC (NA) | SLUS-00450
| | Arcade's Greatest Hits - Williams | | PlayStation | | NTSC (NA) | SLUS-00201
| | Area 51 | | PlayStation | | NTSC (NA) | SLUS-00164
| | Armored Core | | PlayStation | | NTSC (NA) | SLUS-01323
| | Armored Core - Master of Arena [Disc1of2] | | PlayStation | | NTSC (NA) | SLUS-01030
| | Armored Core - Master of Arena [Disc2of2] | | PlayStation | | NTSC (NA) | SLUS-01081
| | Armored Core - Project Phantasma | | PlayStation | | NTSC (NA) | SLUS-00670
| | Armored Core [SCEA release] | | PlayStation | | NTSC (NA) | SCUS-94182
| | Armorines - Project Swarm | | PlayStation | | NTSC (NA) | SLUS-01022
| | Army Men - Air Attack | | PlayStation | | NTSC (NA) | SLUS-00913
| | Army Men - Air Attack 2 | | PlayStation | | NTSC (NA) | SLUS-01132
| | Army Men - Green Rouge | | PlayStation | | NTSC (NA) | SLUS-01330
| | Army Men - Sarge's Heroes | | PlayStation | | NTSC (NA) | SLUS-00914
| | Army Men - Sarge's Heroes 2 | | PlayStation | | NTSC (NA) | SLUS-01202
| | Army Men - World War | | PlayStation | | NTSC (NA) | SLUS-01079
| | Army Men - World War - Final Front | | PlayStation | | NTSC (NA) | SLUS-01327
| | Army Men - World War - Land, Sea & Air | | PlayStation | | NTSC (NA) | SLUS-01203
| | Army Men - World War - Team Assault | | PlayStation | | NTSC (NA) | SLUS-01435
| | Army Men 3D | | PlayStation | | NTSC (NA) | SLUS-00491
| | Arthur! Ready to Race | | PlayStation | | NTSC (NA) | SLUS-01090
| | Ascii Demo Disc | | PlayStation | | NTSC (NA) | SLUS-90010
