|       | .hack//G.U. vol. 1//Rebirth                                                | Namco Bandai Games America             | PlayStation 2 | 2006 | NTSC (NA)
|       | .hack//G.U. vol. 2//Reminisce                                              | Namco Bandai Games America             | PlayStation 2 | 2007 | NTSC (NA)
|       | .hack//G.U. vol. 3//Redemption                                             | Namco Bandai Games America             | PlayStation 2 | 2007 | NTSC (NA)
|       | .hack//Infection Part 1                                                    | Bandai                                 | PlayStation 2 | 2003 | NTSC (NA)
|       | .hack//Mutation Part 2                                                     | Bandai                                 | PlayStation 2 | 2003 | NTSC (NA)
|       | .hack//Outbreak Part 3                                                     | Bandai                                 | PlayStation 2 | 2003 | NTSC (NA)
|       | .hack//Quarantine Part 4                                                   | Bandai                                 | PlayStation 2 | 2004 | NTSC (NA)
|       | 007: Everything or Nothing                                                 | EA Games                               | PlayStation 2 | 2004 | NTSC (NA)
|       | 007: NightFire                                                             | Electronic Arts                        | PlayStation 2 | 2002 | NTSC (NA)
|       | 18 Wheeler: American Pro Trucker                                           | Acclaim                                | PlayStation 2 | 2001 | NTSC (NA)
|       | 187 Ride or Die                                                            | Ubisoft                                | PlayStation 2 | 2005 | NTSC (NA)
|       | 2002 FIFA World Cup                                                        | EA Sports                              | PlayStation 2 | 2002 | NTSC (NA)
|       | 24: The Game                                                               | 2K Games                               | PlayStation 2 | 2006 | NTSC (NA)
|       | 25 to Life                                                                 | Eidos Interactive                      | PlayStation 2 | 2006 | NTSC (NA)
|       | 4X4 Evolution                                                              | Gathering                              | PlayStation 2 | 2001 | NTSC (NA)
|       | 50 Cent: Bulletproof                                                       | VU Games                               | PlayStation 2 | 2005 | NTSC (NA)
|       | 7 Wonders of the Ancient World                                             | MumboJumbo                             | PlayStation 2 | 2007 | NTSC (NA)
|       | 989 Sports Demo Disc                                                       | SCEA                                   | PlayStation 2 | 2002 | NTSC (NA)
|       | AC/DC LIVE: Rock Band Track Pack                                           | MTV Games                              | PlayStation 2 | 2008 | NTSC (NA)
|       | Ace Combat 04: Shattered Skies                                             | Namco                                  | PlayStation 2 | 2001 | NTSC (NA)
|       | Ace Combat 5: The Unsung War                                               | Namco                                  | PlayStation 2 | 2004 | NTSC (NA)
|       | Ace Combat Zero: The Belkan War                                            | Namco                                  | PlayStation 2 | 2006 | NTSC (NA)
|       | Activision Anthology                                                       | Activision                             | PlayStation 2 | 2002 | NTSC (NA)
|       | Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies, The        | THQ                                    | PlayStation 2 | 2004 | NTSC (NA)
|       | Aeon Flux                                                                  | Majesco Games                          | PlayStation 2 | 2005 | NTSC (NA)
|       | Aero Elite: Combat Academy                                                 | Sega                                   | PlayStation 2 | 2003 | NTSC (NA)
|       | Agassi Tennis Generation                                                   | DreamCatcher Interactive               | PlayStation 2 | 2003 | NTSC (NA)
|       | Aggressive Inline                                                          | Acclaim                                | PlayStation 2 | 2002 | NTSC (NA)
|       | AirBlade                                                                   | Namco                                  | PlayStation 2 | 2002 | NTSC (NA)
|       | Airborne Troops: Countdown to D-Day                                        | Mud Duck Productions                   | PlayStation 2 | 2005 | NTSC (NA)
|       | AirForce Delta Strike                                                      | Konami                                 | PlayStation 2 | 2004 | NTSC (NA)
|       | Alfa Romeo Racing Italiano                                                 | Valcon Games                           | PlayStation 2 | 2006 | NTSC (NA)
|       | Alias                                                                      | Acclaim                                | PlayStation 2 | 2004 | NTSC (NA)
|       | Alien Hominid                                                              | O3 Entertainment                       | PlayStation 2 | 2004 | NTSC (NA)
|       | Aliens in the Attic                                                        | Playlogic                              | PlayStation 2 | 2009 | NTSC (NA)
|       | Aliens Versus Predator: Extinction                                         | EA Games                               | PlayStation 2 | 2003 | NTSC (NA)
|       | All-Star Baseball 2002                                                     | Acclaim                                | PlayStation 2 | 2001 | NTSC (NA)
|       | All-Star Baseball 2003                                                     | Acclaim                                | PlayStation 2 | 2002 | NTSC (NA)
|       | All-Star Baseball 2004                                                     | Acclaim                                | PlayStation 2 | 2003 | NTSC (NA)
|       | All-Star Baseball 2005                                                     | Acclaim                                | PlayStation 2 | 2004 | NTSC (NA)
|       | Alone in the Dark                                                          | Atari                                  | PlayStation 2 | 2008 | NTSC (NA)
|       | Alter Echo                                                                 | THQ                                    | PlayStation 2 | 2003 | NTSC (NA)
|       | Alvin and the Chipmunks                                                    | Brash Entertainment                    | PlayStation 2 | 2007 | NTSC (NA)
|       | American Chopper                                                           | Activision Value                       | PlayStation 2 | 2004 | NTSC (NA)
|       | American Chopper 2: Full Throttle                                          | Activision Value                       | PlayStation 2 | 2005 | NTSC (NA)
|       | American Idol                                                              | Codemasters                            | PlayStation 2 | 2003 | NTSC (NA)
|       | AMF Xtreme Bowling                                                         | Mud Duck Productions                   | PlayStation 2 | 2006 | NTSC (NA)
|       | Amplitude                                                                  | SCEA                                   | PlayStation 2 | 2003 | NTSC (NA)
|       | And 1 Streetball                                                           | Ubisoft                                | PlayStation 2 | 2006 | NTSC (NA)
|       | Ant Bully, The                                                             | Midway                                 | PlayStation 2 | 2006 | NTSC (NA)
|       | Antz Extreme Racing                                                        | Empire Interactive                     | PlayStation 2 | 2002 | NTSC (NA)
|       | Ape Escape 2                                                               | Ubisoft                                | PlayStation 2 | 2003 | NTSC (NA)
|       | Ape Escape 3                                                               | SCEA                                   | PlayStation 2 | 2006 | NTSC (NA)
|       | Ape Escape: Pumped & Primed                                                | Ubisoft                                | PlayStation 2 | 2004 | NTSC (NA)
|       | Aqua Aqua                                                                  | 3DO                                    | PlayStation 2 | 2001 | NTSC (NA)
|       | Aqua Teen Hunger Force Zombie Ninja Pro-Am                                 | Midway                                 | PlayStation 2 | 2007 | NTSC (NA)
|       | Ar tonelico II: Melody of Metafalica                                       | NIS America                            | PlayStation 2 | 2009 | NTSC (NA)
|       | Ar tonelico: Melody of Elemia                                              | NIS America                            | PlayStation 2 | 2007 | NTSC (NA)
|       | Arc the Lad: End of Darkness                                               | Namco                                  | PlayStation 2 | 2005 | NTSC (NA)
|       | Arc the Lad: Twilight of the Spirits                                       | SCEA                                   | PlayStation 2 | 2003 | NTSC (NA)
|       | Arcana Heart                                                               | ATLUS                                  | PlayStation 2 | 2008 | NTSC (NA)
|       | Arctic Thunder                                                             | Midway                                 | PlayStation 2 | 2001 | NTSC (NA)
|       | Are You Smarter Than a 5th Grader? Make the Grade                          | THQ                                    | PlayStation 2 | 2008 | NTSC (NA)
|       | Area 51                                                                    | Midway                                 | PlayStation 2 | 2005 | NTSC (NA)
|       | Arena Football                                                             | EA Sports                              | PlayStation 2 | 2006 | NTSC (NA)
|       | Arena Football: Road to Glory                                              | EA Sports                              | PlayStation 2 | 2007 | NTSC (NA)
