|       | 007 Legends                                                              | Activision                             | PlayStation 3 | 2012 | North America
|       | 007: Quantum of Solace                                                   | Activision                             | PlayStation 3 | 2008 | North America
|       | 2010 FIFA World Cup South Africa                                         | EA Sports                              | PlayStation 3 | 2010 | North America
|       | 2014 FIFA World Cup Brazil                                               | EA Sports                              | PlayStation 3 | 2014 | North America
|       | 2K Essentials Collection: Bioshock / Borderlands / XCOM: Enemy Unknown   | 2K Games                               | PlayStation 3 | 2013 | North America
|       | 2K Power Pack                                                            | 2K Games                               | PlayStation 3 | 2013 | North America
|       | 3D Dot Game Heroes                                                       | ATLUS                                  | PlayStation 3 | 2010 | North America
|       | 4 in 1 Action Pack                                                       | SouthPeak Games                        | PlayStation 3 | 2012 | North America
|       | 50 Cent: Blood on the Sand                                               | THQ                                    | PlayStation 3 | 2009 | North America
|       | AC/DC Live: Rock Band Track Pack                                         | MTV Games                              | PlayStation 3 | 2008 | North America
|       | Ace Combat Assault Horizon                                               | Namco Bandai Games America             | PlayStation 3 | 2011 | North America
|       | Adidas miCoach                                                           | 505 Games                              | PlayStation 3 | 2012 | North America
|       | Adventure Time: Explore the Dungeon Because I DON'T KNOW!                | D3Publisher                            | PlayStation 3 | 2013 | North America
|       | Adventure Time: Explore the Dungeon Because I DON'T KNOW!                | D3Publisher                            | PlayStation 3 | 2013 | North America
|       | Adventure Time: Finn and Jake Investigations                             | Little Orbit                           | PlayStation 3 | 2015 | North America
|       | Adventure Time: The Secret of the Nameless Kingdom                       | Little Orbit                           | PlayStation 3 | 2014 | North America
|       | Adventures of Tintin: The Game, The                                      | Ubisoft                                | PlayStation 3 | 2011 | North America
|       | Aegis of Earth: Protonovus Assault                                       | Aksys Games                            | PlayStation 3 | 2016 | North America
|       | Afrika                                                                   | Natsume                                | PlayStation 3 | 2009 | North America
|       | Afro Samurai                                                             | Namco Bandai Games America             | PlayStation 3 | 2009 | North America
|       | Air Conflicts: Pacific Carriers                                          | Maximum Family Games                   | PlayStation 3 | 2013 | North America
|       | Air Conflicts: Secret Wars                                               | Kalypso                                | PlayStation 3 | 2011 | North America
|       | Air Conflicts: Vietnam                                                   | Kalypso                                | PlayStation 3 | 2013 | North America
|       | Akiba's Trip: Undead & Undressed                                         | Xseed Games                            | PlayStation 3 | 2014 | North America
|       | Alice: Madness Returns                                                   | Electronic Arts                        | PlayStation 3 | 2011 | North America
|       | Alien: Isolation                                                         | Sega                                   | PlayStation 3 | 2014 | North America
|       | Aliens vs. Predator                                                      | Sega                                   | PlayStation 3 | 2010 | North America
|       | Aliens: Colonial Marines                                                 | Sega                                   | PlayStation 3 | 2013 | North America
|       | All-Pro Football 2K8                                                     | 2K Sports                              | PlayStation 3 | 2007 | North America
|       | Alone in the Dark: Inferno                                               | Atari                                  | PlayStation 3 | 2008 | North America
|       | Alpha Protocol                                                           | Sega                                   | PlayStation 3 | 2010 | North America
|       | Amazing Spider-Man 2, The                                                | Activision                             | PlayStation 3 | 2014 | North America
|       | Amazing Spider-Man, The                                                  | Activision                             | PlayStation 3 | 2012 | North America
|       | Anarchy Reigns                                                           | Sega                                   | PlayStation 3 | 2013 | North America
|       | Angry Birds Star Wars                                                    | Activision                             | PlayStation 3 | 2013 | North America
|       | Angry Birds Trilogy                                                      | Activision                             | PlayStation 3 | 2012 | North America
|       | Apache: Air Assault                                                      | Activision                             | PlayStation 3 | 2010 | North America
|       | AquaPazza: AquaPlus Dream Match                                          | ATLUS                                  | PlayStation 3 | 2013 | North America
|       | Ar nosurge: Ode to an Unborn Star                                        | Koei Tecmo Games                       | PlayStation 3 | 2014 | North America
|       | Ar tonelico Qoga: Knell of Ar Ciel                                       | NIS America                            | PlayStation 3 | 2011 | North America
|       | Arcana Heart 3: LOVEMAX!!!!!                                             | Aksys Games                            | PlayStation 3 | 2014 | North America
|       | Arcania: The Complete Tale                                               | Nordic Games Publishing                | PlayStation 3 | 2013 | North America
|       | Arland Atelier Trilogy, The                                              | NIS America                            | PlayStation 3 | 2015 | North America
|       | Armored Core 4                                                           | Sega                                   | PlayStation 3 | 2007 | North America
|       | Armored Core V                                                           | Namco Bandai Games America             | PlayStation 3 | 2012 | North America
|       | Armored Core: For Answer                                                 | Ubisoft                                | PlayStation 3 | 2008 | North America
|       | Armored Core: Verdict Day                                                | Namco Bandai Games America             | PlayStation 3 | 2013 | North America
|       | Army of Two                                                              | EA Games                               | PlayStation 3 | 2008 | North America
|       | Army of Two: The 40th Day                                                | Electronic Arts                        | PlayStation 3 | 2010 | North America
|       | Army of Two: The Devil's Cartel                                          | Electronic Arts                        | PlayStation 3 | 2013 | North America
|       | Assassin's Creed                                                         | Ubisoft                                | PlayStation 3 | 2007 | North America
|       | Assassin's Creed II                                                      | Ubisoft                                | PlayStation 3 | 2009 | North America
