|       | 2 Games in 1! Archer Maclean's Mercury / Mercury Meltdown                          | Ignition Entertainment                 | PlayStation Portable | 2010 | NTSC (NA)
|       | 2010 FIFA World Cup South Africa                                                   | EA Sports                              | PlayStation Portable | 2010 | NTSC (NA)
|       | 300: March to Glory                                                                | Warner Bros. Interactive Entertainment | PlayStation Portable | 2007 | NTSC (NA)
|       | 3rd Birthday, The                                                                  | Square Enix                            | PlayStation Portable | 2011 | NTSC (NA)
|       | 50 Cent: Bulletproof G Unit Edition                                                | Vivendi Games                          | PlayStation Portable | 2006 | NTSC (NA)
|       | 7 Wonders of the Ancient World                                                     | MumboJumbo                             | PlayStation Portable | 2007 | NTSC (NA)
|       | Ace Combat X: Skies of Deception                                                   | Namco Bandai Games America             | PlayStation Portable | 2006 | NTSC (NA)
|       | Ace Combat: Joint Assault                                                          | Namco Bandai Games America             | PlayStation Portable | 2010 | NTSC (NA)
|       | Activision Hits Remixed                                                            | Activision                             | PlayStation Portable | 2006 | NTSC (NA)
|       | Adventures to Go!                                                                  | Natsume                                | PlayStation Portable | 2009 | NTSC (NA)
|       | Aedis Eclipse: Generation of Chaos                                                 | NIS America                            | PlayStation Portable | 2007 | NTSC (NA)
|       | After Burner: Black Falcon                                                         | Sega                                   | PlayStation Portable | 2007 | NTSC (NA)
|       | Air Conflicts: Aces of World War II                                                | Graffiti Entertainment                 | PlayStation Portable | 2009 | NTSC (NA)
|       | Alien Syndrome                                                                     | Sega                                   | PlayStation Portable | 2007 | NTSC (NA)
|       | Aliens vs. Predator: Requiem                                                       | Sierra Entertainment                   | PlayStation Portable | 2007 | NTSC (NA)
|       | Ape Escape Academy                                                                 | SCEA                                   | PlayStation Portable | 2006 | NTSC (NA)
|       | Ape Escape: On the Loose                                                           | SCEA                                   | PlayStation Portable | 2005 | NTSC (NA)
|       | Archer Maclean's Mercury                                                           | Ignition Entertainment                 | PlayStation Portable | 2005 | NTSC (NA)
|       | Armored Core 3 Portable                                                            | From Software                          | PlayStation Portable | 2009 | NTSC (NA)
|       | Armored Core: Formula Front - Extreme Battle                                       | Agetec Inc.                            | PlayStation Portable | 2005 | NTSC (NA)
|       | Armored Core: Last Raven Portable                                                  | From Software                          | PlayStation Portable | 2010 | NTSC (NA)
|       | Armored Core: Silent Line Portable                                                 | From Software                          | PlayStation Portable | 2010 | NTSC (NA)
|       | Army of Two: The 40th Day                                                          | Electronic Arts                        | PlayStation Portable | 2010 | NTSC (NA)
|       | Assassin's Creed: Bloodlines                                                       | Ubisoft                                | PlayStation Portable | 2009 | NTSC (NA)
|       | Astonishia Story                                                                   | Ubisoft                                | PlayStation Portable | 2006 | NTSC (NA)
|       | Astro Boy: The Video Game                                                          | D3Publisher                            | PlayStation Portable | 2009 | NTSC (NA)
|       | Atari Classics Evolved                                                             | Atari                                  | PlayStation Portable | 2007 | NTSC (NA)
|       | ATV Offroad Fury Pro                                                               | SCEA                                   | PlayStation Portable | 2006 | NTSC (NA)
|       | ATV Offroad Fury: Blazin' Trails                                                   | SCEA                                   | PlayStation Portable | 2005 | NTSC (NA)
|       | Avatar: The Last Airbender                                                         | THQ                                    | PlayStation Portable | 2006 | NTSC (NA)
|       | B-Boy                                                                              | Evolved Games                          | PlayStation Portable | 2008 | NTSC (NA)
|       | Bakugan: Defenders of the Core                                                     | Activision                             | PlayStation Portable | 2010 | NTSC (NA)
|       | BattleZone                                                                         | Atari                                  | PlayStation Portable | 2006 | NTSC (NA)
|       | Beaterator                                                                         | Rockstar Games                         | PlayStation Portable | 2009 | NTSC (NA)
|       | Ben 10 Ultimate Alien: Cosmic Destruction                                          | D3Publisher                            | PlayStation Portable | 2010 | NTSC (NA)
|       | Ben 10: Alien Force                                                                | D3Publisher                            | PlayStation Portable | 2008 | NTSC (NA)
|       | Ben 10: Alien Force Vilgax Attacks                                                 | D3Publisher                            | PlayStation Portable | 2009 | NTSC (NA)
|       | Ben 10: Protector of Earth                                                         | D3Publisher                            | PlayStation Portable | 2007 | NTSC (NA)
|       | Beowulf                                                                            | Ubisoft                                | PlayStation Portable | 2007 | NTSC (NA)
|       | Beta Bloc                                                                          | Essential Games                        | PlayStation Portable | 2009 | NTSC (NA)
|       | Bigs 2, The                                                                        | 2K Sports                              | PlayStation Portable | 2009 | NTSC (NA)
