|       | A Rose in the Twilight                                                 | NIS America                            | PlayStation Vita | 2017 | NTSC (NA)
|       | Aegis of Earth: Protonovus Assault                                     | Aksys Games                            | PlayStation Vita | 2016 | NTSC (NA)
|       | Akiba's Beat                                                           | Xseed Games                            | PlayStation Vita | 2017 | NTSC (NA)
|       | Akiba's Trip: Undead & Undressed                                       | Xseed Games                            | PlayStation Vita | 2014 | NTSC (NA)
|       | Amazing Spider-Man, The                                                | Activision                             | PlayStation Vita | 2013 | NTSC (NA)
|       | Angry Birds Star Wars                                                  | Activision                             | PlayStation Vita | 2013 | NTSC (NA)
|       | Aqua Kitty: Milk Mine Defender DX                                      | Limited Run Games                      | PlayStation Vita | 2017 | NTSC (NA)
|       | Ar nosurge Plus: Ode to an Unborn Star                                 | Koei Tecmo Games                       | PlayStation Vita | 2015 | NTSC (NA)
|       | Arcana Heart 3: LOVEMAX!!!!!                                           | Aksys Games                            | PlayStation Vita | 2014 | NTSC (NA)
|       | Army Corps of Hell                                                     | Square Enix                            | PlayStation Vita | 2012 | NTSC (NA)
|       | Asphalt: Injection                                                     | Ubisoft                                | PlayStation Vita | 2012 | NTSC (NA)
|       | Assassin's Creed Chronicles                                            | Ubisoft                                | PlayStation Vita | 2016 | NTSC (NA)
|       | Assassin's Creed III: Liberation                                       | Ubisoft                                | PlayStation Vita | 2012 | NTSC (NA)
|       | Atelier Escha & Logy Plus: Alchemists of the Dusk Sky                  | Koei Tecmo Games                       | PlayStation Vita | 2016 | NTSC (NA)
|       | Atelier Firis: The Alchemist and the Mysterious Journey                | Koei Tecmo Games                       | PlayStation Vita | 2017 | NTSC (NA)
|       | Atelier Shallie Plus: Alchemists of the Dusk Sea                       | Koei Tecmo Games                       | PlayStation Vita | 2017 | NTSC (NA)
|       | Axiom Verge                                                            | Tom Happ                               | PlayStation Vita | 2017 | NTSC (NA)
|       | Bad Apple Wars                                                         | Aksys Games                            | PlayStation Vita | 2017 | NTSC (NA)
|       | Batman: Arkham Origins Blackgate                                       | Warner Bros. Interactive Entertainment | PlayStation Vita | 2013 | NTSC (NA)
|       | Ben 10: Galactic Racing                                                | D3Publisher                            | PlayStation Vita | 2012 | NTSC (NA)
|       | Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien             | Limited Run Games                      | PlayStation Vita | 2017 | NTSC (NA)
|       | BlazBlue: Chrono Phantasma                                             | Aksys Games                            | PlayStation Vita | 2014 | NTSC (NA)
|       | BlazBlue: Chrono Phantasma Extend                                      | Aksys Games                            | PlayStation Vita | 2015 | NTSC (NA)
|       | BlazBlue: Continuum Shift Extend                                       | Aksys Games                            | PlayStation Vita | 2012 | NTSC (NA)
|       | Borderlands 2                                                          | SCEA                                   | PlayStation Vita | 2014 | NTSC (NA)
