|       | After Burner                                           | Sega                    | Sega 32X | 1995 | NTSC (NA)
|       | Amazing Spider-Man: Web of Fire, The                   | Sega                    | Sega 32X | 1996 | NTSC (NA)
|       | BC Racers                                              | Front Street Publishing | Sega 32X | 1995 | NTSC (NA)
|       | Blackthorne                                            | Interplay               | Sega 32X | 1995 | NTSC (NA)
|       | Brutal: Above the Claw                                 | GameTek                 | Sega 32X | 1995 | NTSC (NA)
|       | Corpse Killer                                          | Digital Pictures        | Sega 32X | 1994 | NTSC (NA)
|       | Cosmic Carnage                                         | Sega                    | Sega 32X | 1994 | NTSC (NA)
|       | Doom                                                   | Sega                    | Sega 32X | 1994 | NTSC (NA)
|       | Fahrenheit                                             | Sega                    | Sega 32X | 1995 | NTSC (NA)
|       | Fahrenheit                                             | Sega                    | Sega 32X | 1995 | NTSC (NA)
|       | Golf Magazine: 36 Great Holes Starring Fred Couples    | Sega                    | Sega 32X | 1994 | NTSC (NA)
|       | Knuckles' Chaotix                                      | Sega                    | Sega 32X | 1995 | NTSC (NA)
|       | Kolibri                                                | Sega                    | Sega 32X | 1995 | NTSC (NA)
|       | Metal Head                                             | Sega                    | Sega 32X | 1995 | NTSC (NA)
|       | Mortal Kombat II                                       | Acclaim                 | Sega 32X | 1994 | NTSC (NA)
|       | Motocross Championship                                 | Sega                    | Sega 32X | 1994 | NTSC (NA)
|       | NBA Jam Tournament Edition                             | Acclaim                 | Sega 32X | 1995 | NTSC (NA)
|       | NFL Quarterback Club                                   | Acclaim                 | Sega 32X | 1995 | NTSC (NA)
|       | Night Trap                                             | Sega                    | Sega 32X | 1994 | NTSC (NA)
|       | Pitfall: The Mayan Adventure                           | Activision              | Sega 32X | 1995 | NTSC (NA)
|       | Primal Rage                                            | Sega                    | Sega 32X | 1995 | NTSC (NA)
|       | RBI Baseball '95                                       | Time Warner Interactive | Sega 32X | 1995 | NTSC (NA)
|       | Shadow Squadron                                        | Sega                    | Sega 32X | 1995 | NTSC (NA)
|       | Slam City with Scottie Pippen                          | Digital Pictures        | Sega 32X | 1994 | NTSC (NA)
|       | Space Harrier                                          | Sega                    | Sega 32X | 1994 | NTSC (NA)
|       | Star Trek Starfleet Academy: Starship Bridge Simulator | Interplay               | Sega 32X | 1995 | NTSC (NA)
|       | Star Wars Arcade                                       | Sega                    | Sega 32X | 1994 | NTSC (NA)
|       | Supreme Warrior                                        | Digital Pictures        | Sega 32X | 1994 | NTSC (NA)
|       | T-Mek                                                  | Time Warner Interactive | Sega 32X | 1995 | NTSC (NA)
|       | Tempo                                                  | Sega                    | Sega 32X | 1995 | NTSC (NA)
|       | Toughman Contest                                       | Electronic Arts         | Sega 32X | 1995 | NTSC (NA)
|       | Virtua Fighter                                         | Sega                    | Sega 32X | 1995 | NTSC (NA)
|       | Virtua Racing Deluxe                                   | Sega                    | Sega 32X | 1994 | NTSC (NA)
|       | World Series Baseball '95                              | Sega                    | Sega 32X | 1995 | NTSC (NA)
|       | WWF Raw                                                | Acclaim                 | Sega 32X | 1995 | NTSC (NA)
|       | WWF WrestleMania: The Arcade Game                      | Acclaim                 | Sega 32X | 1995 | NTSC (NA)
