|       | 5 In One Fun Pak                                           | Interplay                   | Game Gear | 1994 | NTSC (NA)
|       | Addams Family, The                                         | Flying Edge                 | Game Gear | 1994 | NTSC (NA)
|       | Adventures of Batman & Robin, The                          | Sega                        | Game Gear | 1995 | NTSC (NA)
|       | Aerial Assault                                             | Sega                        | Game Gear | 1992 | NTSC (NA)
|       | Alien 3                                                    | Arena                       | Game Gear | 1994 | NTSC (NA)
|       | Andre Agassi Tennis                                        | Sega                        | Game Gear | 1994 | NTSC (NA)
|       | Arcade Classics                                            | Sega                        | Game Gear | 1996 | NTSC (NA)
|       | Arch Rivals                                                | Flying Edge                 | Game Gear | 1992 | NTSC (NA)
|       | Arena: Maze of Death                                       | Sega                        | Game Gear | 1996 | NTSC (NA)
|       | Asterix and the Great Rescue                               | Sega                        | Game Gear | 1995 | NTSC (NA)
|       | Ax Battler: A Legend of Golden Axe                         | Sega                        | Game Gear | 1991 | NTSC (NA)
|       | Ayrton Senna's Super Monaco GP II                          | Sega                        | Game Gear | 1992 | NTSC (NA)
|       | Baku Baku                                                  | Sega                        | Game Gear | 1996 | NTSC (NA)
|       | Batman Forever                                             | Acclaim                     | Game Gear | 1995 | NTSC (NA)
|       | Batman Returns                                             | Sega                        | Game Gear | 1992 | NTSC (NA)
|       | Batter Up                                                  | Namco                       | Game Gear | 1991 | NTSC (NA)
|       | Battleship                                                 | Mindscape Inc.              | Game Gear | 1993 | NTSC (NA)
|       | Battletoads                                                | Tradewest                   | Game Gear | 1993 | NTSC (NA)
|       | Beavis and Butt-head                                       | Viacom New Media            | Game Gear | 1994 | NTSC (NA)
|       | Berenstain Bears: Camping Adventure, The                   | Sega                        | Game Gear | 1994 | NTSC (NA)
|       | Bram Stoker's Dracula                                      | Sony Imagesoft              | Game Gear | 1993 | NTSC (NA)
|       | Bubble Bobble                                              | Taito Corporation           | Game Gear | 1994 | NTSC (NA)
|       | Bugs Bunny in Double Trouble                               | Sega                        | Game Gear | 1996 | NTSC (NA)
|       | Bust-A-Move                                                | Taito Corporation           | Game Gear | 1995 | NTSC (NA)
|       | Caesars Palace                                             | Virgin Interactive          | Game Gear | 1993 | NTSC (NA)
