|       | Action Fighter                           | Sega         | Sega Master System | 1986 | NTSC (NA)
|       | Aerial Assault                           | Sega         | Sega Master System | 1990 | NTSC (NA)
|       | After Burner                             | Sega         | Sega Master System | 1988 | NTSC (NA)
|       | Alex Kidd in Miracle World               | Sega         | Sega Master System | 1986 | NTSC (NA)
|       | Alex Kidd in Shinobi World               | Sega         | Sega Master System | 1990 | NTSC (NA)
|       | Alex Kidd: High-Tech World               | Sega         | Sega Master System | 1989 | NTSC (NA)
|       | Alex Kidd: The Lost Stars                | Sega         | Sega Master System | 1988 | NTSC (NA)
|       | ALF                                      | Sega         | Sega Master System | 1989 | NTSC (NA)
|       | Alien Syndrome                           | Sega         | Sega Master System | 1988 | NTSC (NA)
|       | Altered Beast                            | Sega         | Sega Master System | 1989 | NTSC (NA)
|       | Astro Warrior                            | Sega         | Sega Master System | 1986 | NTSC (NA)
|       | Aztec Adventure                          | Sega         | Sega Master System | 1988 | NTSC (NA)
|       | Black Belt                               | Sega         | Sega Master System | 1986 | NTSC (NA)
|       | Blade Eagle 3-D                          | Sega         | Sega Master System | 1988 | NTSC (NA)
|       | Bomber Raid                              | Activision   | Sega Master System | 1988 | NTSC (NA)
|       | California Games                         | Sega         | Sega Master System | 1989 | NTSC (NA)
|       | Captain Silver                           | Sega         | Sega Master System | 1988 | NTSC (NA)
|       | Casino Games                             | Sega         | Sega Master System | 1989 | NTSC (NA)
|       | Castle of Illusion starring Mickey Mouse | Sega         | Sega Master System | 1990 | NTSC (NA)
|       | Choplifter                               | Sega         | Sega Master System | 1986 | NTSC (NA)
|       | Cloud Master                             | Sega         | Sega Master System | 1989 | NTSC (NA)
|       | Columns                                  | Sega         | Sega Master System | 1990 | NTSC (NA)
|       | Cyborg Hunter                            | Activision   | Sega Master System | 1988 | NTSC (NA)
|       | Dead Angle                               | Sega         | Sega Master System | 1989 | NTSC (NA)
|       | Dick Tracy                               | Sega         | Sega Master System | 1990 | NTSC (NA)
|       | Double Dragon                            | Sega         | Sega Master System | 1988 | NTSC (NA)
|       | E-SWAT                                   | Sega         | Sega Master System | 1990 | NTSC (NA)
|       | Enduro Racer                             | Sega         | Sega Master System | 1987 | NTSC (NA)
|       | F-16 Fighting Falcon                     | Sega         | Sega Master System | 1986 | NTSC (NA)
|       | Fantasy Zone                             | Sega         | Sega Master System | 1986 | NTSC (NA)
|       | Fantasy Zone II                          | Sega         | Sega Master System | 1987 | NTSC (NA)
|       | Fantasy Zone: The Maze                   | Sega         | Sega Master System | 1988 | NTSC (NA)
|       | Galaxy Force                             | Activision   | Sega Master System | 1989 | NTSC (NA)
|       | Gangster Town                            | Sega         | Sega Master System | 1987 | NTSC (NA)
|       | Ghost House                              | Sega         | Sega Master System | 1986 | NTSC (NA)
|       | Ghostbusters                             | Sega         | Sega Master System | 1987 | NTSC (NA)
|       | Ghouls 'n Ghosts                         | Sega         | Sega Master System | 1990 | NTSC (NA)
|       | Global Defense                           | Sega         | Sega Master System | 1987 | NTSC (NA)
|       | Golden Axe                               | Sega         | Sega Master System | 1989 | NTSC (NA)
|       | Golden Axe Warrior                       | Sega         | Sega Master System | 1991 | NTSC (NA)
|       | Golvellius: Valley of Doom               | Sega         | Sega Master System | 1988 | NTSC (NA)
|       | Great Baseball                           | Sega         | Sega Master System | 1987 | NTSC (NA)
|       | Great Basketball                         | Sega         | Sega Master System | 1987 | NTSC (NA)
|       | Great Football                           | Sega         | Sega Master System | 1987 | NTSC (NA)
|       | Great Golf                               | Sega         | Sega Master System | 1987 | NTSC (NA)
|       | Great Ice Hockey                         | Sega         | Sega Master System | 1987 | NTSC (NA)
|       | Great Soccer                             | Sega         | Sega Master System | 1987 | NTSC (NA)
|       | Great Volleyball                         | Sega         | Sega Master System | 1987 | NTSC (NA)
|       | Hang On & Safari Hunt                    | Sega         | Sega Master System | 1986 | NTSC (NA)
|       | Hang-On & Astro Warrior                  | Sega         | Sega Master System | 1986 | NTSC (NA)
|       | James 'Buster' Douglas Knockout Boxing   | Sega         | Sega Master System | 1990 | NTSC (NA)
|       | Joe Montana Football                     | Sega         | Sega Master System | 1990 | NTSC (NA)
|       | Kenseiden                                | Sega         | Sega Master System | 1988 | NTSC (NA)
|       | King's Quest: Quest for the Crown        | Parker Bros. | Sega Master System | 1989 | NTSC (NA)
|       | Kung Fu Kid                              | Sega         | Sega Master System | 1987 | NTSC (NA)
|       | Lord of the Sword                        | Sega         | Sega Master System | 1989 | NTSC (NA)
|       | Marksman Shooting & Trap Shooting        | Sega         | Sega Master System | 1986 | NTSC (NA)
|       | Maze Hunter 3-D                          | Sega         | Sega Master System | 1987 | NTSC (NA)
|       | Michael Jackson's Moonwalker             | Sega         | Sega Master System | 1989 | NTSC (NA)
|       | Miracle Warriors: Seal of the Dark Lord  | Sega         | Sega Master System | 1988 | NTSC (NA)
|       | Missile Defense 3-D                      | Sega         | Sega Master System | 1987 | NTSC (NA)
|       | Monopoly                                 | Sega         | Sega Master System | 1988 | NTSC (NA)
|       | Montezuma's Revenge featuring Panama Joe | Parker Bros. | Sega Master System | 1989 | NTSC (NA)
|       | My Hero                                  | Sega         | Sega Master System | 1986 | NTSC (NA)
|       | Ninja, The                               | Sega         | Sega Master System | 1987 | NTSC (NA)
|       | OutRun                                   | Sega         | Sega Master System | 1987 | NTSC (NA)
|       | Paperboy                                 | Sega         | Sega Master System | 1990 | NTSC (NA)
|       | Parlour Games                            | Sega         | Sega Master System | 1988 | NTSC (NA)
|       | Penguin Land                             | Sega         | Sega Master System | 1988 | NTSC (NA)
|       | Phantasy Star                            | Sega         | Sega Master System | 1988 | NTSC (NA)
|       | Poseidon Wars 3-D                        | Sega         | Sega Master System | 1989 | NTSC (NA)
|       | Power Strike                             | Sega         | Sega Master System | 1988 | NTSC (NA)
|       | Pro Wrestling                            | Sega         | Sega Master System | 1986 | NTSC (NA)
|       | Psycho Fox                               | Sega         | Sega Master System | 1989 | NTSC (NA)
|       | Quartet                                  | Sega         | Sega Master System | 1987 | NTSC (NA)
|       | R-Type                                   | Sega         | Sega Master System | 1988 | NTSC (NA)
|       | R.C. Grand Prix                          | Seismic      | Sega Master System | 1989 | NTSC (NA)
|       | Rambo III                                | Sega         | Sega Master System | 1988 | NTSC (NA)
|       | Rambo: First Blood Part II               | Sega         | Sega Master System | 1986 | NTSC (NA)
|       | Rampage                                  | Activision   | Sega Master System | 1988 | NTSC (NA)
|       | Rastan                                   | Sega         | Sega Master System | 1988 | NTSC (NA)
|       | Reggie Jackson Baseball                  | Sega         | Sega Master System | 1988 | NTSC (NA)
|       | Rescue Mission                           | Sega         | Sega Master System | 1988 | NTSC (NA)
|       | Rocky                                    | Sega         | Sega Master System | 1987 | NTSC (NA)
|       | Safari Hunt                              | Sega         | Sega Master System | 1986 | NTSC (NA)
|       | Shanghai                                 | Sega         | Sega Master System | 1988 | NTSC (NA)
|       | Shinobi                                  | Sega         | Sega Master System | 1988 | NTSC (NA)
|       | Shooting Gallery                         | Sega         | Sega Master System | 1987 | NTSC (NA)
|       | Slap Shot                                | Sega         | Sega Master System | 1990 | NTSC (NA)
|       | Snail Maze                               | Sega         | Sega Master System | 1986 | NTSC (NA)
|       | Sonic the Hedgehog                       | Sega         | Sega Master System | 1991 | North America, PAL
|       | Space Harrier                            | Sega         | Sega Master System | 1986 | NTSC (NA)
|       | Space Harrier 3-D                        | Sega         | Sega Master System | 1988 | NTSC (NA)
|       | SpellCaster                              | Sega         | Sega Master System | 1989 | NTSC (NA)
|       | Spider-Man                               | Sega         | Sega Master System | 1991 | NTSC (NA)
|       | Sports Pad Football                      | Sega         | Sega Master System | 1987 | NTSC (NA)
|       | Spy vs. Spy                              | Sega         | Sega Master System | 1988 | NTSC (NA)
|       | Strider                                  | Sega         | Sega Master System | 1991 | NTSC (NA)
|       | Summer Games                             | Sega         | Sega Master System | 1988 | NTSC (NA)
|       | Super Monaco GP                          | Sega         | Sega Master System | 1990 | NTSC (NA)
|       | Super Tennis                             | Sega         | Sega Master System | 1986 | NTSC (NA)
|       | Teddy Boy                                | Sega         | Sega Master System | 1986 | NTSC (NA)
|       | Thunder Blade                            | Sega         | Sega Master System | 1988 | NTSC (NA)
|       | Time Soldiers                            | Sega         | Sega Master System | 1988 | NTSC (NA)
|       | Transbot                                 | Sega         | Sega Master System | 1986 | NTSC (NA)
|       | Vigilante                                | Sega         | Sega Master System | 1988 | NTSC (NA)
|       | Walter Payton Football                   | Sega         | Sega Master System | 1989 | NTSC (NA)
|       | Wanted                                   | Sega         | Sega Master System | 1989 | NTSC (NA)
|       | Where in the World is Carmen Sandiego?   | Parker Bros. | Sega Master System | 1989 | NTSC (NA)
|       | Wonder Boy                               | Sega         | Sega Master System | 1987 | NTSC (NA)
|       | Wonder Boy III: The Dragon's Trap        | Sega         | Sega Master System | 1989 | NTSC (NA)
