|       | 3 Ninjas Kick Back / Hook                             | Sony Imagesoft               | Sega CD | 1994 | NTSC (NA)
|       | A/X-101                                               | Absolute Entertainment       | Sega CD | 1994 | NTSC (NA)
|       | Advanced Dungeons & Dragons: Eye of the Beholder      | Sega                         | Sega CD | 1994 | NTSC (NA)
|       | Adventures of Batman & Robin, The                     | Sega                         | Sega CD | 1995 | NTSC (NA)
|       | Adventures of Willy Beamish, The                      | Dynamix                      | Sega CD | 1993 | NTSC (NA)
|       | After Burner III                                      | Sega                         | Sega CD | 1992 | NTSC (NA)
|       | AH-3 Thunderstrike                                    | JVC Digital Studios          | Sega CD | 1993 | NTSC (NA)
|       | Amazing Spider-Man vs. the Kingpin, The               | Sega                         | Sega CD | 1993 | NTSC (NA)
|       | Android Assault: The Revenge of Bari-Arm              | Big Fun Games                | Sega CD | 1994 | NTSC (NA)
|       | Batman Returns                                        | Sega                         | Sega CD | 1993 | NTSC (NA)
|       | Battlecorps                                           | Time Warner Interactive      | Sega CD | 1993 | NTSC (NA)
|       | BC Racers                                             | Time Warner Interactive      | Sega CD | 1994 | NTSC (NA)
|       | Bill Walsh College Football                           | EA Sports                    | Sega CD | 1993 | NTSC (NA)
|       | Black Hole Assault                                    | Bignet                       | Sega CD | 1992 | NTSC (NA)
|       | Bouncers                                              | Sega                         | Sega CD | 1994 | NTSC (NA)
|       | Bram Stoker's Dracula                                 | Sony Imagesoft               | Sega CD | 1994 | NTSC (NA)
|       | Brutal: Paws of Fury                                  | GameTek                      | Sega CD | 1993 | NTSC (NA)
|       | Cadillacs and Dinosaurs: The Second Cataclysm         | Rocket Science Games         | Sega CD | 1994 | NTSC (NA)
|       | Championship Soccer '94                               | Sony Imagesoft               | Sega CD | 1994 | NTSC (NA)
|       | Chuck Rock                                            | Sony Imagesoft               | Sega CD | 1992 | NTSC (NA)
|       | Chuck Rock II: Son of Chuck                           | Virgin Interactive           | Sega CD | 1993 | NTSC (NA)
|       | Cliffhanger                                           | Sony Imagesoft               | Sega CD | 1993 | NTSC (NA)
|       | Cobra Command                                         | Data East                    | Sega CD | 1992 | NTSC (NA)
|       | Colors of Modern Rock                                 | Sega                         | Sega CD | 1993 | NTSC (NA)
|       | Compton's Interactive Encyclopedia                    | Sega                         | Sega CD | 1994 | NTSC (NA)
|       | Corpse Killer                                         | Digital Pictures             | Sega CD | 1994 | NTSC (NA)
|       | Crime Patrol                                          | American Laser Games         | Sega CD | 1994 | NTSC (NA)
|       | Dark Wizard                                           | Sega                         | Sega CD | 1994 | NTSC (NA)
|       | Demolition Man                                        | Acclaim                      | Sega CD | 1995 | NTSC (NA)
|       | Double Switch                                         | Sega                         | Sega CD | 1993 | NTSC (NA)
|       | Dracula Unleashed                                     | Sega                         | Sega CD | 1993 | NTSC (NA)
|       | Dragon's Lair                                         | ReadySoft                    | Sega CD | 1994 | NTSC (NA)
|       | Dune                                                  | Virgin Interactive           | Sega CD | 1993 | NTSC (NA)
|       | Dungeon Explorer                                      | Sega                         | Sega CD | 1994 | NTSC (NA)
|       | Dungeon Master II: Skullkeep                          | JVC Digital Studios          | Sega CD | 1994 | NTSC (NA)
|       | Earthworm Jim: Special Edition                        | Playmates                    | Sega CD | 1995 | NTSC (NA)
|       | Ecco the Dolphin                                      | Sega                         | Sega CD | 1993 | NTSC (NA)
|       | Ecco: The Tides of Time                               | Sega                         | Sega CD | 1994 | NTSC (NA)
