|       | 3 Ninjas Kick Back                                        | Psygnosis                    | Sega Genesis | 1994 | NTSC (NA)
|       | 6-Pak                                                     | Sega                         | Sega Genesis | 1996 | NTSC (NA)
|       | 688 Attack Sub                                            | Sega                         | Sega Genesis | 1991 | NTSC (NA)
|       | AAAHH!!! Real Monsters                                    | Viacom New Media             | Sega Genesis | 1995 | NTSC (NA)
|       | Action 52                                                 | Active                       | Sega Genesis | 1993 | NTSC (NA)
|       | Addams Family, The                                        | Flying Edge                  | Sega Genesis | 1994 | NTSC (NA)
|       | Adventures of Batman & Robin, The                         | Sega                         | Sega Genesis | 1995 | NTSC (NA)
|       | Adventures of Mighty Max, The                             | Ocean                        | Sega Genesis | 1994 | NTSC (NA)
|       | Adventures of Rocky and Bullwinkle and Friends, The       | Absolute Entertainment       | Sega Genesis | 1993 | NTSC (NA)
|       | Aero the Acro-Bat                                         | SunSoft                      | Sega Genesis | 1993 | NTSC (NA)
|       | Aero the Acro-Bat 2                                       | SunSoft                      | Sega Genesis | 1994 | NTSC (NA)
|       | Aerobiz                                                   | Koei                         | Sega Genesis | 1992 | NTSC (NA)
|       | Aerobiz Supersonic                                        | Koei                         | Sega Genesis | 1994 | NTSC (NA)
|       | After Burner II                                           | Sega                         | Sega Genesis | 1990 | NTSC (NA)
|       | Air Buster                                                | Kaneko                       | Sega Genesis | 1991 | NTSC (NA)
|       | Air Diver                                                 | Seismic                      | Sega Genesis | 1990 | NTSC (NA)
|       | Alex Kidd in the Enchanted Castle                         | Sega                         | Sega Genesis | 1989 | NTSC (NA)
|       | Alien 3                                                   | Arena                        | Sega Genesis | 1992 | NTSC (NA)
|       | Alien Storm                                               | Sega                         | Sega Genesis | 1991 | NTSC (NA)
|       | Alisia Dragoon                                            | Sega                         | Sega Genesis | 1992 | NTSC (NA)
|       | Altered Beast                                             | Sega                         | Sega Genesis | 1989 | NTSC (NA)
|       | American Gladiators                                       | GameTek                      | Sega Genesis | 1992 | NTSC (NA)
|       | Andre Agassi Tennis                                       | TecMagik                     | Sega Genesis | 1992 | NTSC (NA)
|       | Animaniacs                                                | Konami                       | Sega Genesis | 1994 | NTSC (NA)
|       | Aquatic Games Starring James Pond and the Aquabats, The   | Electronic Arts              | Sega Genesis | 1993 | NTSC (NA)
|       | Arcade Classics                                           | Sega                         | Sega Genesis | 1996 | NTSC (NA)
|       | Arch Rivals                                               | Flying Edge                  | Sega Genesis | 1992 | NTSC (NA)
|       | Arcus Odyssey                                             | Renovation                   | Sega Genesis | 1991 | NTSC (NA)
|       | Arnold Palmer Tournament Golf                             | Sega                         | Sega Genesis | 1989 | NTSC (NA)
|       | Arrow Flash                                               | Renovation                   | Sega Genesis | 1990 | NTSC (NA)
|       | Art Alive                                                 | Sega                         | Sega Genesis | 1991 | NTSC (NA)
|       | Art of Fighting                                           | Sega                         | Sega Genesis | 1994 | NTSC (NA)
|       | Asterix and the Great Rescue                              | Sega                         | Sega Genesis | 1994 | NTSC (NA)
|       | Atomic Robo-Kid                                           | Treco                        | Sega Genesis | 1990 | NTSC (NA)
|       | Atomic Runner                                             | Data East                    | Sega Genesis | 1992 | NTSC (NA)
|       | ATP Tour Championship Tennis                              | Sega                         | Sega Genesis | 1994 | NTSC (NA)
|       | Awesome Possum                                            | Tengen                       | Sega Genesis | 1993 | NTSC (NA)
|       | Ayrton Senna's Super Monaco GP II                         | Sega                         | Sega Genesis | 1992 | NTSC (NA)
|       | B.O.B.                                                    | Electronic Arts              | Sega Genesis | 1993 | NTSC (NA)
|       | Back to the Future Part III                               | Arena                        | Sega Genesis | 1991 | NTSC (NA)
|       | Ballz 3D                                                  | Accolade                     | Sega Genesis | 1994 | NTSC (NA)
|       | Barbie Super Model                                        | Hi Tech Expressions          | Sega Genesis | 1992 | NTSC (NA)
|       | Barkley: Shut Up and Jam 2                                | Accolade                     | Sega Genesis | 1995 | NTSC (NA)
|       | Barkley: Shut Up and Jam!                                 | Accolade                     | Sega Genesis | 1993 | NTSC (NA)
|       | Barney's Hide and Seek                                    | Sega                         | Sega Genesis | 1993 | NTSC (NA)
|       | Bass Masters Classic                                      | Black Pearl                  | Sega Genesis | 1995 | NTSC (NA)
|       | Bass Masters Classic: Pro Edition                         | Black Pearl                  | Sega Genesis | 1996 | NTSC (NA)
|       | Batman                                                    | SunSoft                      | Sega Genesis | 1990 | NTSC (NA)
|       | Batman Forever                                            | Acclaim                      | Sega Genesis | 1995 | NTSC (NA)
|       | Batman Returns                                            | Sega                         | Sega Genesis | 1992 | NTSC (NA)
|       | Batman: Revenge of the Joker                              | SunSoft                      | Sega Genesis | 1992 | NTSC (NA)
|       | Battle Master                                             | Arena                        | Sega Genesis | 1991 | NTSC (NA)
|       | Battle Squadron                                           | Electronic Arts              | Sega Genesis | 1990 | NTSC (NA)
|       | Battletech: A Game of Armored Combat                      | Extreme Entertainment Group  | Sega Genesis | 1994 | NTSC (NA)
|       | Battletoads                                               | Tradewest                    | Sega Genesis | 1991 | NTSC (NA)
|       | Battletoads / Double Dragon                               | Tradewest                    | Sega Genesis | 1993 | NTSC (NA)
