|       | A Year at Pooh Corner                                | Sega         | Sega Pico | 1994 | NTSC (NA)
|       | Adventures in Letterland With Jack and Jill          | Thinking Cap | Sega Pico | 1995 | NTSC (NA)
|       | Berenstain Bears: A School Day, The                  | Sega         | Sega Pico | 1995 | NTSC (NA)
|       | Crayola Crayons: Create a World                      | Sega         | Sega Pico | 1995 | NTSC (NA)
|       | Disney's Pocahontas Riverbend Adventure              | Sega         | Sega Pico | 1995 | NTSC (NA)
|       | Disney's The Lion King: Adventures at Pride Rock     | Sega         | Sega Pico | 1995 | NTSC (NA)
|       | Ecco Jr. and the Great Ocean Treasure Hunt!          | Sega         | Sega Pico | 1995 | NTSC (NA)
|       | Great Counting Caper With the 3 Blind Mice, The      | Thinking Cap | Sega Pico | 1995 | NTSC (NA)
|       | Magic Crayons                                        | Sega         | Sega Pico | 1994 | NTSC (NA)
|       | Math Antics with Disney's 101 Dalmatians             | Sega         | Sega Pico | 1994 | NTSC (NA)
|       | Mickey's Blast Into the Past                         | Sega         | Sega Pico | 1994 | NTSC (NA)
|       | Muppets on the Go, The                               | Sega         | Sega Pico | 1996 | NTSC (NA)
|       | Musical Zoo                                          | Sega         | Sega Pico | 1995 | NTSC (NA)
|       | Pepe's Puzzles                                       | Sega         | Sega Pico | 1995 | NTSC (NA)
|       | Richard Scarry's Huckle and Lowly's Busiest Day Ever | Sega         | Sega Pico | 1994 | NTSC (NA)
|       | Scholastic's The Magic School Bus                    | Sega         | Sega Pico | 1995 | NTSC (NA)
|       | Sesame Street Alphabet Avenue                        | Sega         | Sega Pico | 1997 | NTSC (NA)
|       | Smart Alex and Smart Alice: Curious Kids             | Sega         | Sega Pico | 1995 | NTSC (NA)
|       | Sonic the Hedgehog's Gameworld                       | Sega         | Sega Pico | 1994 | NTSC (NA)
|       | Tails and the Music Maker                            | Sega         | Sega Pico | 1994 | NTSC (NA)
