|       | 3D Baseball                                                    | Crystal Dynamics         | Sega Saturn | 1996 | NTSC (NA)
|       | Albert Odyssey: Legend of Eldean                               | Working Designs          | Sega Saturn | 1997 | NTSC (NA)
|       | Alien Trilogy                                                  | Acclaim                  | Sega Saturn | 1996 | NTSC (NA)
|       | All-Star Baseball                                              | Acclaim                  | Sega Saturn | 1997 | NTSC (NA)
|       | Alone in the Dark: One-Eyed Jack's Revenge                     | Kokopeli Digital Studios | Sega Saturn | 1996 | NTSC (NA)
|       | Amok                                                           | Scavenger                | Sega Saturn | 1997 | NTSC (NA)
|       | Andretti Racing                                                | Electronic Arts          | Sega Saturn | 1996 | NTSC (NA)
|       | Area 51                                                        | Midway                   | Sega Saturn | 1996 | NTSC (NA)
|       | Astal                                                          | Sega                     | Sega Saturn | 1995 | NTSC (NA)
|       | Baku Baku                                                      | Sega                     | Sega Saturn | 1996 | NTSC (NA)
|       | Bases Loaded '96: Double Header                                | Jaleco Entertainment     | Sega Saturn | 1995 | NTSC (NA)
|       | Batman Forever: The Arcade Game                                | Acclaim                  | Sega Saturn | 1996 | NTSC (NA)
|       | Battle Arena Toshinden Remix                                   | Sega                     | Sega Saturn | 1995 | NTSC (NA)
|       | Battle Arena Toshinden URA                                     | Sega                     | Sega Saturn | 1996 | NTSC (NA)
|       | Battle Monsters                                                | Acclaim                  | Sega Saturn | 1996 | NTSC (NA)
|       | Battle Stations                                                | Electronic Arts          | Sega Saturn | 1997 | NTSC (NA)
|       | BattleSport                                                    | Acclaim                  | Sega Saturn | 1997 | NTSC (NA)
|       | Black Dawn                                                     | Virgin Interactive       | Sega Saturn | 1997 | NTSC (NA)
|       | Black Fire                                                     | Sega                     | Sega Saturn | 1995 | NTSC (NA)
|       | Blast Chamber                                                  | Activision               | Sega Saturn | 1996 | NTSC (NA)
|       | Blazing Dragons                                                | Mindscape Inc.           | Sega Saturn | 1996 | NTSC (NA)
|       | Blazing Heroes                                                 | Sega                     | Sega Saturn | 1996 | NTSC (NA)
|       | Bottom of the 9th                                              | Konami                   | Sega Saturn | 1996 | NTSC (NA)
|       | Brain Dead 13                                                  | ReadySoft                | Sega Saturn | 1996 | NTSC (NA)
|       | Break Point Tennis                                             | Acclaim                  | Sega Saturn | 1996 | NTSC (NA)
|       | Bubble Bobble also featuring Rainbow Islands                   | Acclaim                  | Sega Saturn | 1996 | NTSC (NA)
|       | Bug Too!                                                       | Sega                     | Sega Saturn | 1996 | NTSC (NA)
|       | Bug!                                                           | Sega                     | Sega Saturn | 1995 | NTSC (NA)
|       | Burning Rangers                                                | Sega                     | Sega Saturn | 1998 | NTSC (NA)
|       | Bust-A-Move 2: Arcade Edition                                  | Acclaim                  | Sega Saturn | 1996 | NTSC (NA)
|       | Bust-A-Move 3                                                  | Natsume                  | Sega Saturn | 1997 | NTSC (NA)
|       | Casper                                                         | Interplay                | Sega Saturn | 1996 | NTSC (NA)
|       | Center Ring Boxing                                             | JVC Digital Studios      | Sega Saturn | 1995 | NTSC (NA)
|       | Christmas NiGHTS into Dreams...                                | Sega                     | Sega Saturn | 1996 | NTSC (NA)
|       | Clockwork Knight                                               | Sega                     | Sega Saturn | 1995 | NTSC (NA)
|       | Clockwork Knight 2                                             | Sega                     | Sega Saturn | 1995 | NTSC (NA)
|       | College Slam                                                   | Acclaim                  | Sega Saturn | 1996 | NTSC (NA)
|       | Command & Conquer                                              | Westwood Studios         | Sega Saturn | 1996 | NTSC (NA)
|       | Congo the Movie: The Lost City of Zinj                         | Sega                     | Sega Saturn | 1996 | NTSC (NA)
|       | Contra: Legacy of War                                          | Konami                   | Sega Saturn | 1997 | NTSC (NA)
|       | Corpse Killer: Graveyard Edition                               | Digital Pictures         | Sega Saturn | 1995 | NTSC (NA)
|       | Courier Crisis                                                 | GT Interactive           | Sega Saturn | 1997 | NTSC (NA)
|       | Creature Shock: Special Edition                                | Data East                | Sega Saturn | 1996 | NTSC (NA)
|       | CrimeWave                                                      | Eidos Interactive        | Sega Saturn | 1997 | NTSC (NA)
|       | Criticom                                                       | Vic Tokai                | Sega Saturn | 1997 | NTSC (NA)
|       | Croc: Legend of the Gobbos                                     | Fox Interactive          | Sega Saturn | 1997 | NTSC (NA)
|       | Crow: City of Angels, The                                      | Acclaim                  | Sega Saturn | 1997 | NTSC (NA)
|       | Crusader: No Remorse                                           | Electronic Arts          | Sega Saturn | 1996 | NTSC (NA)
|       | Crypt Killer                                                   | Konami                   | Sega Saturn | 1997 | NTSC (NA)
|       | Cyber Speedway                                                 | Sega                     | Sega Saturn | 1995 | NTSC (NA)
|       | Cyberia                                                        | Interplay                | Sega Saturn | 1995 | NTSC (NA)
|       | D                                                              | Acclaim                  | Sega Saturn | 1996 | NTSC (NA)
|       | Darius Gaiden                                                  | Acclaim                  | Sega Saturn | 1996 | NTSC (NA)
|       | Dark Legend                                                    | Data East                | Sega Saturn | 1995 | NTSC (NA)
|       | Dark Savior                                                    | Sega                     | Sega Saturn | 1996 | NTSC (NA)
|       | Darklight Conflict                                             | Electronic Arts          | Sega Saturn | 1997 | NTSC (NA)
|       | Daytona USA                                                    | Sega                     | Sega Saturn | 1995 | NTSC (NA)
|       | Daytona USA: Championship Circuit Edition                      | Sega                     | Sega Saturn | 1996 | NTSC (NA)
|       | DecAthlete                                                     | Sega                     | Sega Saturn | 1996 | NTSC (NA)
|       | DefCon 5                                                       | Data East USA            | Sega Saturn | 1996 | NTSC (NA)
|       | Die Hard Arcade                                                | Sega                     | Sega Saturn | 1997 | NTSC (NA)
|       | Die Hard Trilogy                                               | Fox Interactive          | Sega Saturn | 1996 | NTSC (NA)
|       | Doom                                                           | GT Interactive           | Sega Saturn | 1997 | NTSC (NA)
|       | Double Switch                                                  | Digital Pictures         | Sega Saturn | 1995 | NTSC (NA)
|       | Dragon Force                                                   | Working Designs          | Sega Saturn | 1996 | NTSC (NA)
|       | DragonHeart: Fire & Steel                                      | Acclaim                  | Sega Saturn | 1996 | NTSC (NA)
|       | Duke Nukem 3D                                                  | Sega                     | Sega Saturn | 1997 | NTSC (NA)
|       | Earthworm Jim 2                                                | Playmates                | Sega Saturn | 1996 | NTSC (NA)
|       | Enemy Zero                                                     | Sega                     | Sega Saturn | 1997 | NTSC (NA)
|       | F1 Challenge                                                   | Virgin Interactive       | Sega Saturn | 1996 | NTSC (NA)
|       | FIFA Soccer 96                                                 | Electronic Arts          | Sega Saturn | 1996 | NTSC (NA)
|       | FIFA Soccer 97                                                 | EA Sports                | Sega Saturn | 1997 | NTSC (NA)
|       | FIFA: Road to World Cup 98                                     | Electronic Arts          | Sega Saturn | 1997 | NTSC (NA)
|       | Fighters Megamix                                               | Sega                     | Sega Saturn | 1997 | NTSC (NA)
|       | Fighting Vipers                                                | Sega                     | Sega Saturn | 1996 | NTSC (NA)
|       | Frank Thomas Big Hurt Baseball                                 | Acclaim                  | Sega Saturn | 1996 | NTSC (NA)
|       | Galactic Attack                                                | Acclaim                  | Sega Saturn | 1995 | NTSC (NA)
|       | Galaxy Fight                                                   | SunSoft                  | Sega Saturn | 1996 | NTSC (NA)
|       | Gex                                                            | Crystal Dynamics         | Sega Saturn | 1996 | NTSC (NA)
|       | Ghen War                                                       | Sega                     | Sega Saturn | 1995 | NTSC (NA)
|       | Golden Axe: The Duel                                           | Sega                     | Sega Saturn | 1995 | NTSC (NA)
|       | Grand Slam                                                     | Virgin Interactive       | Sega Saturn | 1996 | NTSC (NA)
|       | Grid Runner                                                    | Virgin Interactive       | Sega Saturn | 1996 | NTSC (NA)
|       | Guardian Heroes                                                | Sega                     | Sega Saturn | 1996 | NTSC (NA)
|       | GunGriffon                                                     | Sega                     | Sega Saturn | 1996 | NTSC (NA)
|       | Hang-On GP                                                     | Sega                     | Sega Saturn | 1996 | NTSC (NA)
|       | Heir of Zendor: The Legend and The Land                        | Koei                     | Sega Saturn | 1996 | NTSC (NA)
|       | Herc's Adventures                                              | LucasArts                | Sega Saturn | 1997 | NTSC (NA)
|       | Hexen: Beyond Heretic                                          | GT Interactive           | Sega Saturn | 1997 | NTSC (NA)
|       | Hi-Octane: The Track Fights Back!                              | Bullfrog Productions     | Sega Saturn | 1995 | NTSC (NA)
|       | High Velocity: Mountain Racing Challenge                       | ATLUS                    | Sega Saturn | 1996 | NTSC (NA)
|       | Highway 2000                                                   | Natsume                  | Sega Saturn | 1996 | NTSC (NA)
|       | Horde, The                                                     | Crystal Dynamics         | Sega Saturn | 1997 | NTSC (NA)
|       | House of the Dead, The                                         | Sega                     | Sega Saturn | 1998 | NTSC (NA)
|       | Hyper 3-D Pinball                                              | Virgin Interactive       | Sega Saturn | 1996 | NTSC (NA)
|       | Impact Racing                                                  | Acclaim                  | Sega Saturn | 1996 | NTSC (NA)
|       | In the Hunt                                                    | Kokopeli Digital Studios | Sega Saturn | 1996 | NTSC (NA)
|       | Incredible Hulk: The Pantheon Saga, The                        | Eidos Interactive        | Sega Saturn | 1997 | NTSC (NA)
|       | Independence Day                                               | Fox Interactive          | Sega Saturn | 1997 | NTSC (NA)
|       | Iron Man / X-O Manowar in Heavy Metal                          | Acclaim                  | Sega Saturn | 1996 | NTSC (NA)
|       | Iron Storm                                                     | Working Designs          | Sega Saturn | 1996 | NTSC (NA)
|       | Johnny Bazookatone                                             | U.S. Gold                | Sega Saturn | 1996 | NTSC (NA)
|       | Last Bronx                                                     | Sega                     | Sega Saturn | 1997 | NTSC (NA)
|       | Last Gladiators Digital Pinball                                | Time Warner Interactive  | Sega Saturn | 1996 | NTSC (NA)
|       | Legend of Oasis                                                | Sega                     | Sega Saturn | 1996 | NTSC (NA)
|       | Loaded                                                         | Interplay                | Sega Saturn | 1996 | NTSC (NA)
|       | Lost World: Jurassic Park, The                                 | Sega                     | Sega Saturn | 1997 | NTSC (NA)
|       | Lunacy                                                         | ATLUS                    | Sega Saturn | 1997 | NTSC (NA)
|       | Machine Head                                                   | Eidos Interactive        | Sega Saturn | 1996 | NTSC (NA)
|       | Madden NFL 97                                                  | EA Sports                | Sega Saturn | 1996 | NTSC (NA)
|       | Madden NFL 98                                                  | EA Sports                | Sega Saturn | 1997 | NTSC (NA)
|       | Magic Carpet                                                   | Electronic Arts          | Sega Saturn | 1996 | NTSC (NA)
|       | Magic Knight Rayearth                                          | Working Designs          | Sega Saturn | 1998 | NTSC (NA)
