|       | 2020 Super Baseball                                                                     | Tradewest                    | Super Nintendo | 1993 | NTSC (NA)
|       | 3 Ninjas Kick Back                                                                      | Sony Imagesoft               | Super Nintendo | 1994 | NTSC (NA)
|       | 7th Saga, The                                                                           | Enix America, Inc.           | Super Nintendo | 1993 | NTSC (NA)
|       | A.S.P. Air Strike Patrol                                                                | Seta Corporation             | Super Nintendo | 1995 | NTSC (NA)
|       | AAAHH!!! Real Monsters                                                                  | Viacom New Media             | Super Nintendo | 1995 | NTSC (NA)
|       | ABC Monday Night Football                                                               | Data East                    | Super Nintendo | 1993 | NTSC (NA)
|       | ACME Animation Factory                                                                  | SunSoft                      | Super Nintendo | 1994 | NTSC (NA)
|       | ActRaiser                                                                               | Enix America, Inc.           | Super Nintendo | 1991 | NTSC (NA)
|       | ActRaiser 2                                                                             | Enix America, Inc.           | Super Nintendo | 1993 | NTSC (NA)
|       | Addams Family Values                                                                    | Ocean                        | Super Nintendo | 1995 | NTSC (NA)
|       | Addams Family, The                                                                      | Ocean                        | Super Nintendo | 1992 | NTSC (NA)
|       | Addams Family: Pugsley's Scavenger Hunt, The                                            | Ocean                        | Super Nintendo | 1993 | NTSC (NA)
|       | Advanced Dungeons & Dragons: Eye of the Beholder                                        | Capcom                       | Super Nintendo | 1994 | NTSC (NA)
|       | Adventures of Batman & Robin, The                                                       | Konami                       | Super Nintendo | 1994 | NTSC (NA)
|       | Adventures of Dr. Franken, The                                                          | DTMC                         | Super Nintendo | 1993 | NTSC (NA)
|       | Adventures of Kid Kleets, The                                                           | Ocean                        | Super Nintendo | 1994 | NTSC (NA)
|       | Adventures of Mighty Max, The                                                           | Ocean                        | Super Nintendo | 1995 | NTSC (NA)
|       | Adventures of Rocky and Bullwinkle and Friends, The                                     | THQ                          | Super Nintendo | 1993 | NTSC (NA)
|       | Adventures of Yogi Bear                                                                 | Cybersoft                    | Super Nintendo | 1994 | NTSC (NA)
|       | Aero Fighters                                                                           | Mc O'River                   | Super Nintendo | 1994 | NTSC (NA)
|       | Aero The Acro-Bat                                                                       | SunSoft                      | Super Nintendo | 1993 | NTSC (NA)
|       | Aero the Acro-Bat 2                                                                     | SunSoft                      | Super Nintendo | 1994 | NTSC (NA)
|       | Aerobiz                                                                                 | Koei                         | Super Nintendo | 1993 | NTSC (NA)
|       | Aerobiz Supersonic                                                                      | Koei                         | Super Nintendo | 1994 | NTSC (NA)
|       | Air Cavalry                                                                             | Cybersoft                    | Super Nintendo | 1995 | NTSC (NA)
|       | Al Unser Jr.'s Road to the Top                                                          | Software Toolworks           | Super Nintendo | 1994 | NTSC (NA)
|       | Alien 3                                                                                 | LJN Ltd.                     | Super Nintendo | 1993 | NTSC (NA)
|       | Alien vs. Predator                                                                      | Activision                   | Super Nintendo | 1993 | NTSC (NA)
|       | American Gladiators                                                                     | GameTek                      | Super Nintendo | 1993 | NTSC (NA)
|       | An American Tail: Fievel Goes West                                                      | Hudson                       | Super Nintendo | 1994 | NTSC (NA)
|       | Andre Agassi Tennis                                                                     | TecMagik                     | Super Nintendo | 1994 | NTSC (NA)
|       | Animaniacs                                                                              | Konami                       | Super Nintendo | 1994 | NTSC (NA)
|       | Arcana                                                                                  | Hal                          | Super Nintendo | 1992 | NTSC (NA)
|       | Ardy Lightfoot                                                                          | Titus Software               | Super Nintendo | 1994 | NTSC (NA)
|       | Arkanoid: Doh It Again                                                                  | Nintendo                     | Super Nintendo | 1997 | NTSC (NA)
|       | Art of Fighting                                                                         | Takara                       | Super Nintendo | 1993 | NTSC (NA)
|       | Axelay                                                                                  | Konami                       | Super Nintendo | 1992 | NTSC (NA)
|       | B.O.B.                                                                                  | Electronic Arts              | Super Nintendo | 1993 | NTSC (NA)
|       | Ballz 3D                                                                                | Accolade                     | Super Nintendo | 1994 | NTSC (NA)
|       | Barbie: Super Model                                                                     | Hi-Tech                      | Super Nintendo | 1993 | NTSC (NA)
|       | Barkley: Shut Up and Jam!                                                               | Accolade                     | Super Nintendo | 1994 | NTSC (NA)
|       | Bass Masters Classic                                                                    | Malibu                       | Super Nintendo | 1995 | NTSC (NA)
|       | Bass Masters Classic: Pro Edition                                                       | Black Pearl                  | Super Nintendo | 1996 | NTSC (NA)
|       | Bassin's Black Bass with Hank Parker                                                    | Hot-B                        | Super Nintendo | 1994 | NTSC (NA)
|       | Batman Forever                                                                          | Acclaim                      | Super Nintendo | 1995 | NTSC (NA)
|       | Batman Returns                                                                          | Konami                       | Super Nintendo | 1993 | NTSC (NA)
|       | Battle Blaze                                                                            | Sammy Studios                | Super Nintendo | 1993 | NTSC (NA)
|       | Battle Cars                                                                             | Namco                        | Super Nintendo | 1993 | NTSC (NA)
|       | Battle Clash                                                                            | Nintendo                     | Super Nintendo | 1992 | NTSC (NA)
|       | Battle Grand Prix                                                                       | Hudson Soft                  | Super Nintendo | 1993 | NTSC (NA)
|       | Battletoads & Double Dragon                                                             | Tradewest                    | Super Nintendo | 1993 | NTSC (NA)
|       | Battletoads in Battlemaniacs                                                            | Tradewest                    | Super Nintendo | 1993 | NTSC (NA)
|       | Bazooka Blitzkrieg                                                                      | Bandai                       | Super Nintendo | 1992 | NTSC (NA)
|       | Beavis and Butt-head                                                                    | Viacom New Media             | Super Nintendo | 1994 | NTSC (NA)
|       | Bebe's Kids                                                                             | Motown Games                 | Super Nintendo | 1994 | NTSC (NA)
|       | Beethoven: The Ultimate Canine Caper                                                    | Hi Tech Expressions          | Super Nintendo | 1993 | NTSC (NA)
|       | Best of the Best: Championship Karate                                                   | Electro Brain                | Super Nintendo | 1992 | NTSC (NA)
|       | Big Sky Trooper                                                                         | JVC Musical Industries, Inc. | Super Nintendo | 1995 | NTSC (NA)
|       | Biker Mice From Mars                                                                    | Konami                       | Super Nintendo | 1994 | NTSC (NA)
|       | Bill Laimbeer's Combat Basketball                                                       | Hudson Soft                  | Super Nintendo | 1991 | NTSC (NA)
|       | Bill Walsh College Football                                                             | EA Sports                    | Super Nintendo | 1994 | NTSC (NA)
|       | BioMetal                                                                                | Activision                   | Super Nintendo | 1993 | NTSC (NA)
|       | Blackthorne                                                                             | Interplay                    | Super Nintendo | 1994 | NTSC (NA)
|       | BlaZeon: The Bio-Cyborg Challenge                                                       | ATLUS                        | Super Nintendo | 1992 | NTSC (NA)
|       | Blockbuster World Video Game Championship II: Donkey Kong Country Competition Cartridge | Nintendo                     | Super Nintendo | 1994 | NTSC (NA)
|       | Blues Brothers, The                                                                     | Titus Software               | Super Nintendo | 1993 | NTSC (NA)
|       | Bonkers                                                                                 | Capcom                       | Super Nintendo | 1994 | NTSC (NA)
|       | Boogerman: A Pick and Flick Adventure                                                   | Interplay                    | Super Nintendo | 1995 | NTSC (NA)
|       | Boxing Legends of the Ring                                                              | Electro Brain                | Super Nintendo | 1994 | NTSC (NA)
|       | Brain Lord                                                                              | Enix America, Inc.           | Super Nintendo | 1994 | NTSC (NA)
|       | Brainies, The                                                                           | Titus Software               | Super Nintendo | 1996 | NTSC (NA)
|       | Bram Stoker's Dracula                                                                   | Sony Imagesoft               | Super Nintendo | 1993 | NTSC (NA)
