|       | 4 in 1 Super CD                               | Hudson                   | TurboGrafx-16 CD | 1992 | NTSC (NA)
|       | Addams Family, The                            | Turbo Technologies, Inc. | TurboGrafx-16 CD | 1991 | NTSC (NA)
|       | Beyond Shadowgate                             | Turbo Technologies, Inc. | TurboGrafx-16 CD | 1993 | NTSC (NA)
|       | Bonk 3: Bonk's Big Adventure CD               | Turbo Technologies, Inc. | TurboGrafx-16 CD | 1994 | NTSC (NA)
|       | Buster Bros.                                  | Hudson                   | TurboGrafx-16 CD | 1993 | NTSC (NA)
|       | Camp California                               | Turbo Technologies, Inc. | TurboGrafx-16 CD | 1993 | NTSC (NA)
|       | Cosmic Fantasy 2                              | Working Designs          | TurboGrafx-16 CD | 1992 | NTSC (NA)
|       | Cotton: Fantastic Night Dreams                | Hudson                   | TurboGrafx-16 CD | 1993 | NTSC (NA)
|       | Dragon Slayer: The Legend of Heroes           | Hudson                   | TurboGrafx-16 CD | 1992 | NTSC (NA)
|       | Dungeon Explorer II                           | Hudson                   | TurboGrafx-16 CD | 1993 | NTSC (NA)
|       | Dungeon Master: Theron's Quest                | Turbo Technologies, Inc. | TurboGrafx-16 CD | 1993 | NTSC (NA)
|       | Dynastic Hero, The                            | Turbo Technologies, Inc. | TurboGrafx-16 CD | 1993 | NTSC (NA)
|       | Exile                                         | Working Designs          | TurboGrafx-16 CD | 1992 | NTSC (NA)
|       | Exile: Wicked Phenomenon                      | Working Designs          | TurboGrafx-16 CD | 1993 | NTSC (NA)
|       | Fighting Street                               | NEC                      | TurboGrafx-16 CD | 1989 | NTSC (NA)
|       | Final Zone II                                 | Nippon Telenet           | TurboGrafx-16 CD | 1990 | NTSC (NA)
|       | Forgotten Worlds                              | NEC                      | TurboGrafx-16 CD | 1992 | NTSC (NA)
|       | Godzilla                                      | Turbo Technologies, Inc. | TurboGrafx-16 CD | 1993 | NTSC (NA)
|       | It Came From The Desert                       | NEC                      | TurboGrafx-16 CD | 1991 | NTSC (NA)
|       | J.B. Harold Murder Club                       | NEC                      | TurboGrafx-16 CD | 1991 | NTSC (NA)
|       | Jack Nicklaus Turbo Golf                      | Accolade                 | TurboGrafx-16 CD | 1992 | NTSC (NA)
|       | John Madden Duo CD Football                   | Hudson                   | TurboGrafx-16 CD | 1993 | NTSC (NA)
|       | Last Alert                                    | NEC Interchannel         | TurboGrafx-16 CD | 1990 | NTSC (NA)
|       | Loom                                          | NEC                      | TurboGrafx-16 CD | 1992 | NTSC (NA)
