|       | Aero Blasters                                 | Turbo Technologies, Inc. | TurboGrafx-16 | 1990 | NTSC (NA)
|       | Air Zonk                                      | Turbo Technologies, Inc. | TurboGrafx-16 | 1992 | NTSC (NA)
|       | Alien Crush                                   | Turbo Technologies, Inc. | TurboGrafx-16 | 1989 | NTSC (NA)
|       | Andre Panza Kick Boxing                       | Turbo Technologies, Inc. | TurboGrafx-16 | 1991 | NTSC (NA)
|       | Ballistix                                     | Turbo Technologies, Inc. | TurboGrafx-16 | 1992 | NTSC (NA)
|       | Battle Royale                                 | Turbo Technologies, Inc. | TurboGrafx-16 | 1990 | NTSC (NA)
|       | Blazing Lazers                                | NEC                      | TurboGrafx-16 | 1989 | NTSC (NA)
|       | Bloody Wolf                                   | Turbo Technologies, Inc. | TurboGrafx-16 | 1990 | NTSC (NA)
|       | Bomberman                                     | Turbo Technologies, Inc. | TurboGrafx-16 | 1990 | NTSC (NA)
|       | Bomberman '93                                 | Turbo Technologies, Inc. | TurboGrafx-16 | 1993 | NTSC (NA)
|       | Bonk 3: Bonk's Big Adventure                  | Turbo Technologies, Inc. | TurboGrafx-16 | 1993 | NTSC (NA)
|       | Bonk's Adventure                              | NEC                      | TurboGrafx-16 | 1990 | NTSC (NA)
|       | Bonk's Revenge                                | NEC                      | TurboGrafx-16 | 1991 | NTSC (NA)
|       | Boxyboy                                       | NEC                      | TurboGrafx-16 | 1990 | NTSC (NA)
|       | Bravoman                                      | Turbo Technologies, Inc. | TurboGrafx-16 | 1990 | NTSC (NA)
|       | Cadash                                        | Working Designs          | TurboGrafx-16 | 1991 | NTSC (NA)
|       | Champions Forever Boxing                      | Turbo Technologies, Inc. | TurboGrafx-16 | 1991 | NTSC (NA)
|       | Chase H.Q.                                    | Taito Corporation        | TurboGrafx-16 | 1992 | NTSC (NA)
|       | Chew-Man-Fu                                   | NEC                      | TurboGrafx-16 | 1990 | NTSC (NA)
|       | China Warrior                                 | NEC                      | TurboGrafx-16 | 1989 | NTSC (NA)
|       | Cratermaze                                    | NEC                      | TurboGrafx-16 | 1990 | NTSC (NA)
|       | Cyber-Core                                    | NEC                      | TurboGrafx-16 | 1990 | NTSC (NA)
|       | Davis Cup Tennis                              | NEC                      | TurboGrafx-16 | 1991 | NTSC (NA)
|       | Dead Moon                                     | Turbo Technologies, Inc. | TurboGrafx-16 | 1992 | NTSC (NA)
|       | Deep Blue                                     | NEC                      | TurboGrafx-16 | 1990 | NTSC (NA)
|       | Devil's Crush                                 | NEC Interchannel         | TurboGrafx-16 | 1990 | NTSC (NA)
|       | Disney's Darkwing Duck                        | Turbo Technologies, Inc. | TurboGrafx-16 | 1992 | NTSC (NA)
|       | Disney's TaleSpin                             | NEC                      | TurboGrafx-16 | 1991 | NTSC (NA)
|       | Double Dungeons                               | NEC                      | TurboGrafx-16 | 1990 | NTSC (NA)
|       | Dragon Spirit                                 | NEC                      | TurboGrafx-16 | 1989 | NTSC (NA)
|       | Dragon's Curse                                | NEC                      | TurboGrafx-16 | 1991 | NTSC (NA)
|       | Drop Off                                      | NEC                      | TurboGrafx-16 | 1990 | NTSC (NA)
|       | Dungeon Explorer                              | NEC                      | TurboGrafx-16 | 1989 | NTSC (NA)
|       | Dungeons & Dragons: Order of the Griffon      | Turbo Technologies, Inc. | TurboGrafx-16 | 1992 | NTSC (NA)
|       | Falcon                                        | Spectrum Holobyte        | TurboGrafx-16 | 1992 | NTSC (NA)
|       | Fantasy Zone                                  | NEC Interchannel         | TurboGrafx-16 | 1989 | NTSC (NA)
|       | Final Lap Twin                                | NEC                      | TurboGrafx-16 | 1989 | NTSC (NA)
|       | Galaga '90                                    | NEC                      | TurboGrafx-16 | 1989 | NTSC (NA)
|       | Ghost Manor                                   | Turbo Technologies, Inc. | TurboGrafx-16 | 1992 | NTSC (NA)
|       | Gunboat                                       | NEC Interchannel         | TurboGrafx-16 | 1992 | NTSC (NA)
|       | Hit the Ice                                   | NEC                      | TurboGrafx-16 | 1992 | NTSC (NA)
|       | Impossamole                                   | NEC Interchannel         | TurboGrafx-16 | 1991 | NTSC (NA)
|       | J.J. & Jeff                                   | Turbo Technologies, Inc. | TurboGrafx-16 | 1990 | NTSC (NA)
|       | Jack Nicklaus: Turbo Golf                     | Accolade                 | TurboGrafx-16 | 1990 | NTSC (NA)
