|       | 007 Legends                                                              | Activision                             | Xbox 360 | 2012 | NTSC (NA)
|       | 007: Quantum of Solace                                                   | Activision                             | Xbox 360 | 2008 | NTSC (NA)
|       | 2010 FIFA World Cup South Africa                                         | EA Sports                              | Xbox 360 | 2010 | NTSC (NA)
|       | 2014 FIFA World Cup Brazil                                               | EA Sports                              | Xbox 360 | 2014 | NTSC (NA)
|       | 2K Essentials Collection: Bioshock / Borderlands/ XCOM: Enemy Unknown    | 2K Games                               | Xbox 360 | 2013 | NTSC (NA)
|       | 2K Power Pack                                                            | 2K Games                               | Xbox 360 | 2013 | NTSC (NA)
|       | 50 Cent: Blood on the Sand                                               | THQ                                    | Xbox 360 | 2009 | NTSC (NA)
|       | AC/DC Live: Rock Band Track Pack                                         | MTV Games                              | Xbox 360 | 2008 | NTSC (NA)
|       | Ace Combat 6: Fires of Liberation                                        | Namco Bandai Games America             | Xbox 360 | 2007 | NTSC (NA)
|       | Ace Combat Assault Horizon                                               | Namco Bandai Games America             | Xbox 360 | 2011 | NTSC (NA)
|       | Adidas miCoach                                                           | 505 Games                              | Xbox 360 | 2012 | NTSC (NA)
|       | Adrenalin Misfits                                                        | Konami                                 | Xbox 360 | 2010 | NTSC (NA)
|       | Adventure Time: Explore the Dungeon Because I DON'T KNOW!                | D3Publisher                            | Xbox 360 | 2013 | NTSC (NA)
|       | Adventure Time: Finn and Jake Investigations                             | Little Orbit                           | Xbox 360 | 2015 | NTSC (NA)
|       | Adventure Time: The Secret of the Nameless Kingdom                       | Little Orbit                           | Xbox 360 | 2014 | NTSC (NA)
|       | Adventures of Tintin: The Game, The                                      | Ubisoft                                | Xbox 360 | 2011 | NTSC (NA)
|       | Afro Samurai                                                             | Namco Bandai Games America             | Xbox 360 | 2009 | NTSC (NA)
|       | Air Conflicts: Secret Wars                                               | Kalypso                                | Xbox 360 | 2011 | NTSC (NA)
|       | Air Conflicts: Vietnam                                                   | Kalypso                                | Xbox 360 | 2013 | NTSC (NA)
|       | Akai Katana                                                              | Rising Star Games                      | Xbox 360 | 2012 | NTSC (NA)
|       | Alan Wake                                                                | Microsoft Game Studios                 | Xbox 360 | 2010 | NTSC (NA)
|       | Alice: Madness Returns                                                   | Electronic Arts                        | Xbox 360 | 2011 | NTSC (NA)
|       | Alien: Isolation                                                         | Sega                                   | Xbox 360 | 2014 | NTSC (NA)
|       | Aliens vs. Predator                                                      | Sega                                   | Xbox 360 | 2010 | NTSC (NA)
|       | Aliens: Colonial Marines                                                 | Sega                                   | Xbox 360 | 2013 | NTSC (NA)
|       | All-Pro Football 2K8                                                     | 2K Sports                              | Xbox 360 | 2007 | NTSC (NA)
|       | Alone in the Dark                                                        | Atari                                  | Xbox 360 | 2008 | NTSC (NA)
|       | Alpha Protocol                                                           | Sega                                   | Xbox 360 | 2010 | NTSC (NA)
|       | Alvin and the Chipmunks: Chipwrecked                                     | Majesco Games                          | Xbox 360 | 2011 | NTSC (NA)
|       | Amazing Spider-Man 2, The                                                | Activision                             | Xbox 360 | 2014 | NTSC (NA)
|       | Amazing Spider-Man, The                                                  | Activision                             | Xbox 360 | 2012 | NTSC (NA)
|       | America's Army: True Soldiers                                            | Ubisoft                                | Xbox 360 | 2007 | NTSC (NA)
|       | Amped 3                                                                  | 2K Sports                              | Xbox 360 | 2005 | NTSC (NA)
|       | Anarchy Reigns                                                           | Sega                                   | Xbox 360 | 2013 | NTSC (NA)
|       | Angry Birds Star Wars                                                    | Activision                             | Xbox 360 | 2013 | NTSC (NA)
|       | Angry Birds Trilogy                                                      | Activision                             | Xbox 360 | 2012 | NTSC (NA)
|       | Apache: Air Assault                                                      | Activision                             | Xbox 360 | 2010 | NTSC (NA)
|       | Arcania: Gothic 4                                                        | JoWooD Entertainment AG                | Xbox 360 | 2010 | NTSC (NA)
|       | Arcania: The Complete Tale                                               | Nordic Games Publishing                | Xbox 360 | 2013 | NTSC (NA)
|       | Are You Smarter than a 5th Grader? Game Time                             | THQ                                    | Xbox 360 | 2009 | NTSC (NA)
|       | Armored Core 4                                                           | Sega                                   | Xbox 360 | 2007 | NTSC (NA)
|       | Armored Core V                                                           | Namco Bandai Games America             | Xbox 360 | 2012 | NTSC (NA)
|       | Armored Core: For Answer                                                 | Ubisoft                                | Xbox 360 | 2008 | NTSC (NA)
|       | Armored Core: Verdict Day                                                | Namco Bandai Games America             | Xbox 360 | 2013 | NTSC (NA)
|       | Army of Two                                                              | EA Games                               | Xbox 360 | 2008 | NTSC (NA)
|       | Army of Two: The 40th Day                                                | Electronic Arts                        | Xbox 360 | 2010 | NTSC (NA)
|       | Army of Two: The Devil's Cartel                                          | Electronic Arts                        | Xbox 360 | 2013 | NTSC (NA)
|       | Assassin's Creed                                                         | Ubisoft                                | Xbox 360 | 2007 | NTSC (NA)
|       | Assassin's Creed II                                                      | Ubisoft                                | Xbox 360 | 2009 | NTSC (NA)
|       | Assassin's Creed III                                                     | Ubisoft                                | Xbox 360 | 2012 | NTSC (NA)
|       | Assassin's Creed IV: Black Flag                                          | Ubisoft                                | Xbox 360 | 2013 | NTSC (NA)
|       | Assassin's Creed Rogue                                                   | Ubisoft                                | Xbox 360 | 2014 | NTSC (NA)
