|       | 007: Everything or Nothing                                                | EA Games                               | Xbox   | 2004 | NTSC (NA)
|       | 007: NightFire                                                            | Electronic Arts                        | Xbox   | 2002 | NTSC (NA)
|       | 187 Ride or Die                                                           | Ubisoft                                | Xbox   | 2005 | NTSC (NA)
|       | 2 Games In 1: Shrek 2 / Shark Tale                                        | Activision                             | Xbox   | 2005 | NTSC (NA)
|       | 2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe                | Sega                                   | Xbox   | 2013 | NTSC (NA)
|       | 2 in 1 Combo Pack: Sonic Mega Collection Plus / Super Monkey Ball Deluxe  | Sega                                   | Xbox   | 2013 | NTSC (NA)
|       | 2002 FIFA World Cup                                                       | EA Sports                              | Xbox   | 2002 | NTSC (NA)
|       | 25 to Life                                                                | Eidos Interactive                      | Xbox   | 2006 | NTSC (NA)
|       | 4x4 EVO 2                                                                 | Gathering                              | Xbox   | 2001 | NTSC (NA)
|       | 50 Cent: Bulletproof                                                      | VU Games                               | Xbox   | 2005 | NTSC (NA)
|       | Advent Rising                                                             | Majesco Games                          | Xbox   | 2005 | NTSC (NA)
|       | Aeon Flux                                                                 | Majesco Games                          | Xbox   | 2005 | NTSC (NA)
|       | Aggressive Inline                                                         | Acclaim                                | Xbox   | 2002 | NTSC (NA)
|       | AirForce Delta Storm                                                      | Konami                                 | Xbox   | 2001 | NTSC (NA)
|       | Alias                                                                     | Acclaim                                | Xbox   | 2004 | NTSC (NA)
|       | Aliens Versus Predator: Extinction                                        | EA Games                               | Xbox   | 2003 | NTSC (NA)
|       | All-Star Baseball 2003                                                    | Acclaim                                | Xbox   | 2002 | NTSC (NA)
|       | All-Star Baseball 2004                                                    | Acclaim                                | Xbox   | 2003 | NTSC (NA)
|       | All-Star Baseball 2005                                                    | Acclaim                                | Xbox   | 2004 | NTSC (NA)
|       | Alter Echo                                                                | THQ                                    | Xbox   | 2003 | NTSC (NA)
|       | America's Army: Rise of a Soldier                                         | Ubisoft                                | Xbox   | 2005 | NTSC (NA)
|       | American Chopper                                                          | Activision Value                       | Xbox   | 2004 | NTSC (NA)
|       | American Chopper 2: Full Throttle                                         | Activision Value                       | Xbox   | 2005 | NTSC (NA)
|       | AMF Bowling 2004                                                          | Mud Duck Productions                   | Xbox   | 2003 | NTSC (NA)
|       | AMF Xtreme Bowling                                                        | Bethesda Softworks                     | Xbox   | 2006 | NTSC (NA)
|       | Amped 2                                                                   | Microsoft Game Studios                 | Xbox   | 2003 | NTSC (NA)
|       | Amped: Freestyle Snowboarding                                             | Microsoft Game Studios                 | Xbox   | 2001 | NTSC (NA)
|       | And 1 Streetball                                                          | Ubisoft                                | Xbox   | 2006 | NTSC (NA)
|       | Antz Extreme Racing                                                       | Empire Interactive                     | Xbox   | 2002 | NTSC (NA)
|       | Apex                                                                      | Atari                                  | Xbox   | 2003 | NTSC (NA)
|       | Aquaman: Battle for Atlantis                                              | TDK Mediactive                         | Xbox   | 2003 | NTSC (NA)
|       | Arctic Thunder                                                            | Midway                                 | Xbox   | 2001 | NTSC (NA)
|       | Area 51                                                                   | Midway                                 | Xbox   | 2005 | NTSC (NA)
|       | Arena Football                                                            | EA Sports                              | Xbox   | 2006 | NTSC (NA)
|       | Armed and Dangerous                                                       | LucasArts                              | Xbox   | 2003 | NTSC (NA)
|       | Army Men: Major Malfunction                                               | Global Star Software                   | Xbox   | 2006 | NTSC (NA)
|       | Army Men: Sarge's War                                                     | Global Star Software                   | Xbox   | 2004 | NTSC (NA)
|       | Arx Fatalis                                                               | DreamCatcher Interactive               | Xbox   | 2003 | NTSC (NA)
|       | Atari Anthology                                                           | Atari                                  | Xbox   | 2004 | NTSC (NA)
|       | ATV Quad Power Racing 2                                                   | Acclaim                                | Xbox   | 2003 | NTSC (NA)
|       | Auto Modellista                                                           | Capcom                                 | Xbox   | 2004 | NTSC (NA)
|       | Avatar: The Last Airbender                                                | THQ                                    | Xbox   | 2006 | NTSC (NA)
|       | Azurik: Rise of Perathia                                                  | Microsoft Game Studios                 | Xbox   | 2001 | NTSC (NA)
|       | Backyard Wrestling 2: There Goes the Neighborhood                         | Eidos Interactive                      | Xbox   | 2004 | NTSC (NA)
|       | Backyard Wrestling: Don't Try This at Home                                | Eidos Interactive                      | Xbox   | 2003 | NTSC (NA)
|       | Bad Boys: Miami Takedown                                                  | Crave                                  | Xbox   | 2004 | NTSC (NA)
|       | Baldur's Gate: Dark Alliance                                              | Interplay                              | Xbox   | 2002 | NTSC (NA)
|       | Baldur's Gate: Dark Alliance II                                           | Interplay                              | Xbox   | 2004 | NTSC (NA)
|       | Barbie Horse Adventures: Wild Horse Rescue                                | Universal Interactive                  | Xbox   | 2003 | NTSC (NA)
|       | Bard's Tale, The                                                          | InXile Entertainment                   | Xbox   | 2004 | NTSC (NA)
|       | Bass Pro Shops: Trophy Bass 2007                                          | Vivendi Games                          | Xbox   | 2006 | NTSC (NA)
|       | Bass Pro Shops: Trophy Hunter 2007                                        | Vivendi Games                          | Xbox   | 2006 | NTSC (NA)
|       | Batman Begins                                                             | EA Games                               | Xbox   | 2005 | NTSC (NA)
|       | Batman: Dark Tomorrow                                                     | Kemco                                  | Xbox   | 2003 | NTSC (NA)
|       | Batman: Rise of Sin Tzu                                                   | Ubisoft                                | Xbox   | 2003 | NTSC (NA)
|       | Batman: Vengeance                                                         | Ubisoft                                | Xbox   | 2001 | NTSC (NA)
|       | Battle Engine Aquila                                                      | Atari                                  | Xbox   | 2003 | NTSC (NA)
|       | Battlefield 2: Modern Combat                                              | EA Games                               | Xbox   | 2005 | NTSC (NA)
|       | Battlestar Galactica                                                      | VU Games                               | Xbox   | 2003 | NTSC (NA)
|       | Beat Down: Fists of Vengeance                                             | Capcom                                 | Xbox   | 2005 | NTSC (NA)
|       | Beyond Good & Evil                                                        | Ubisoft                                | Xbox   | 2003 | NTSC (NA)
|       | Bible Game, The                                                           | Crave                                  | Xbox   | 2005 | NTSC (NA)
|       | Bicycle Casino                                                            | Activision Value                       | Xbox   | 2004 | NTSC (NA)
|       | Big Bumpin'                                                               | King Games                             | Xbox   | 2006 | NTSC (NA)
|       | Big Mutha Truckers                                                        | Empire Interactive                     | Xbox   | 2003 | NTSC (NA)
|       | Big Mutha Truckers 2                                                      | THQ                                    | Xbox   | 2005 | NTSC (NA)
|       | Bionicle                                                                  | EA Games                               | Xbox   | 2003 | NTSC (NA)
|       | Black                                                                     | EA Games                               | Xbox   | 2006 | NTSC (NA)
|       | Black Stone: Magic & Steel                                                | Xicat Interactive                      | Xbox   | 2003 | NTSC (NA)
|       | Blade II                                                                  | Activision                             | Xbox   | 2002 | NTSC (NA)
|       | Blazing Angels: Squadrons of WWII                                         | Ubisoft                                | Xbox   | 2006 | NTSC (NA)
|       | Blinx 2: Masters of Time & Space                                          | Microsoft Game Studios                 | Xbox   | 2004 | NTSC (NA)
|       | Blinx: The Time Sweeper                                                   | Microsoft Game Studios                 | Xbox   | 2002 | NTSC (NA)
|       | Blitz: The League                                                         | Midway                                 | Xbox   | 2005 | NTSC (NA)
|       | Blood Omen 2                                                              | Eidos Interactive                      | Xbox   | 2002 | NTSC (NA)
