Platform	Name	Region	Code	Game	Box	Manual	Comment
NES/FC	1943: The Battle of Midway	NTSC (NA)		Yes	Yes	No	
NES/FC	6 in 1 - Myriad	NTSC (NA)		No	No	No	
NES/FC	8 Eyes	NTSC (NA)		No	No	No	
NES/FC	A Nightmare on Elm Street	NTSC (NA)		No	No	No	
NES/FC	Abadox - The Deadly Inner War	NTSC (NA)		No	No	No	
NES/FC	Action 52	NTSC (NA)		No	No	No	
NES/FC	Addams Family, The	NTSC (NA)		No	No	No	
NES/FC	Addams Family, The: Pugsley's Scavenger Hunt	NTSC (NA)		Yes	No	Yes	
NES/FC	Advanced Dungeons & Dragons: Dragon Strike	NTSC (NA)		No	No	No	
NES/FC	Advanced Dungeons & Dragons: Heroes of the Lance	NTSC (NA)		No	No	No	
NES/FC	Advanced Dungeons & Dragons: Hillsfar	NTSC (NA)		No	No	No	
NES/FC	Advanced Dungeons & Dragons: Pool of Radiance	NTSC (NA)		No	No	No	
NES/FC	Adventure Island	NTSC (NA)		No	No	No	
NES/FC	Adventure Island 3	NTSC (NA)		No	No	No	
NES/FC	Adventure Island II	NTSC (NA)		No	No	No	
NES/FC	Adventures in the Magic Kingdom, Disney's	NTSC (NA)		No	No	No	
NES/FC	Adventures of Bayou Billy, The	NTSC (NA)		No	No	No	
NES/FC	Adventures of Captain Comic, The	NTSC (NA)		No	No	No	
NES/FC	Adventures of Dino Riki	NTSC (NA)		No	No	No	
NES/FC	Adventures of Gilligan's Island, The	NTSC (NA)		No	No	No	
NES/FC	Adventures of Lolo	NTSC (NA)		No	No	No	
NES/FC	Adventures of Lolo 2	NTSC (NA)		No	No	No	
NES/FC	Adventures of Lolo 3	NTSC (NA)		No	No	No	
NES/FC	Adventures of Rad Gravity, The	NTSC (NA)		No	No	No	
NES/FC	Adventures of Rocky And Bullwinkle And Friends, The	NTSC (NA)		No	No	No	
NES/FC	Adventures of Tom Sawyer	NTSC (NA)		No	No	No	
NES/FC	After Burner	NTSC (NA)		No	No	No	
NES/FC	Air Fortress	NTSC (NA)		No	No	No	
NES/FC	Airwolf	NTSC (NA)		No	No	No	
NES/FC	Al Unser Jr. Turbo Racing	NTSC (NA)		No	No	No	
NES/FC	Alfred Chicken	NTSC (NA)		No	No	No	
NES/FC	Alien 3	NTSC (NA)		No	No	No	
NES/FC	Alien Syndrome	NTSC (NA)		No	No	No	
NES/FC	All-Pro Basketball	NTSC (NA)		No	No	No	
NES/FC	Alpha Mission	NTSC (NA)		No	No	No	
NES/FC	Amagon	NTSC (NA)		No	No	No	
NES/FC	American Gladiators	NTSC (NA)		No	No	No	
NES/FC	Anticipation	NTSC (NA)		No	No	No	
NES/FC	Arch Rivals - A BASKETBRAWL!	NTSC (NA)		No	No	No	
NES/FC	Archon	NTSC (NA)		No	No	No	
NES/FC	Arkanoid	NTSC (NA)		No	No	No	
NES/FC	Arkista's Ring	NTSC (NA)		No	No	No	
NES/FC	Astyanax	NTSC (NA)		No	No	No	
NES/FC	Athena	NTSC (NA)		No	No	No	
NES/FC	Athletic World, Family Fun Fitness	NTSC (NA)		No	No	No	
NES/FC	Attack of the Killer Tomatoes	NTSC (NA)		No	No	No	
NES/FC	Baby Boomer	NTSC (NA)		No	No	No	
NES/FC	Back to the Future	NTSC (NA)		No	No	No	
NES/FC	Back to the Future II & III	NTSC (NA)		No	No	No	
NES/FC	Bad Dudes	NTSC (NA)		No	No	No	
NES/FC	Bad News Baseball	NTSC (NA)		No	No	No	
NES/FC	Bad Street Brawler	NTSC (NA)		No	No	No	
NES/FC	Balloon Fight	NTSC (NA)		No	No	No	
NES/FC	Bandai Golf: Challenge Pebble Beach	NTSC (NA)		No	No	No	
NES/FC	Bandit Kings of Ancient China	NTSC (NA)		No	No	No	
NES/FC	Barbie	NTSC (NA)		No	No	No	
NES/FC	Bard's Tale, The	NTSC (NA)		No	No	No	
NES/FC	Barker Bill's Trick Shooting	NTSC (NA)		No	No	No	
NES/FC	Base Wars - Cyber Stadium Series	NTSC (NA)		No	No	No	
NES/FC	Baseball	NTSC (NA)		No	No	No	
NES/FC	Baseball Simulator 1.000	NTSC (NA)		No	No	No	
NES/FC	Baseball Stars	NTSC (NA)		No	No	No	
NES/FC	Baseball Stars 2	NTSC (NA)		No	No	No	
NES/FC	Bases Loaded	NTSC (NA)		No	No	No	
NES/FC	Bases Loaded 2: Second Season	NTSC (NA)		No	No	No	
NES/FC	Bases Loaded 3, Ryne Sandberg Plays	NTSC (NA)		No	No	No	
NES/FC	Bases Loaded 4	NTSC (NA)		No	No	No	
NES/FC	Batman - Return of the Joker	NTSC (NA)		No	No	No	
NES/FC	Batman - The Video Game	NTSC (NA)		No	No	No	
NES/FC	Batman Returns	NTSC (NA)		No	No	No	
NES/FC	Battle Chess	NTSC (NA)		No	No	No	
NES/FC	Battle of Olympus, The	NTSC (NA)		No	No	No	
NES/FC	Battle Tank, Garry Kitchen's	NTSC (NA)		No	No	No	
NES/FC	Battleship	NTSC (NA)		No	No	No	
NES/FC	Battletoads	NTSC (NA)		No	No	No	
NES/FC	Battletoads & Double Dragon	NTSC (NA)		No	No	No	
NES/FC	Bee 52	NTSC (NA)		No	No	No	
NES/FC	Beetlejuice	NTSC (NA)		No	No	No	
NES/FC	Best of the Best Championship Karate	NTSC (NA)		No	No	No	
NES/FC	Bible Adventures	NTSC (NA)		No	No	No	
NES/FC	Bible Buffet	NTSC (NA)		No	No	No	
NES/FC	Big Nose Freaks Out	NTSC (NA)		No	No	No	
NES/FC	Big Nose the Caveman	NTSC (NA)		No	No	No	
NES/FC	Bigfoot	NTSC (NA)		No	No	No	
NES/FC	Bill & Ted's Excellent ^Video Game Adventure	NTSC (NA)		No	No	No	
NES/FC	Bionic Commando	NTSC (NA)		No	No	No	
NES/FC	Black Bass, The	NTSC (NA)		No	No	No	
NES/FC	Blackjack	NTSC (NA)		No	No	No	
NES/FC	Blades of Steel	NTSC (NA)		No	No	No	
NES/FC	Blaster Master	NTSC (NA)		No	No	No	
NES/FC	Blue Marlin	NTSC (NA)		No	No	No	
NES/FC	Blues Brothers, The	NTSC (NA)		No	No	No	
NES/FC	Bo Jackson Baseball	NTSC (NA)		No	No	No	
NES/FC	Bomberman	NTSC (NA)		No	No	No	
NES/FC	Bomberman II	NTSC (NA)		No	No	No	
NES/FC	Bonk's Adventure	NTSC (NA)		No	No	No	
NES/FC	Boulder Dash	NTSC (NA)		No	No	No	
NES/FC	Break Time, The National Pool Tour	NTSC (NA)		No	No	No	
NES/FC	Breakthru	NTSC (NA)		No	No	No	
NES/FC	Bubble Bath Babes	NTSC (NA)		No	No	No	
NES/FC	Bubble Bobble	NTSC (NA)		No	No	No	
NES/FC	Bubble Bobble Part 2	NTSC (NA)		No	No	No	
NES/FC	Bucky O'Hare	NTSC (NA)		No	No	No	
NES/FC	Bugs Bunny Birthday Blowout, The	NTSC (NA)		No	No	No	
NES/FC	Bugs Bunny Crazy Castle, The	NTSC (NA)		No	No	No	
NES/FC	Bump 'n' Jump	NTSC (NA)		No	No	No	
NES/FC	Burai Fighter	NTSC (NA)		No	No	No	
NES/FC	BurgerTime	NTSC (NA)		No	No	No	
NES/FC	Cabal	NTSC (NA)		No	No	No	
NES/FC	Caesar's Palace	NTSC (NA)		No	No	No	
NES/FC	California Games	NTSC (NA)		No	No	No	
NES/FC	Captain America and the Avengers	NTSC (NA)		No	No	No	
NES/FC	Captain Planet and the Planeteers	NTSC (NA)		No	No	No	
NES/FC	Captain Skyhawk	NTSC (NA)		No	No	No	
NES/FC	Casino Kid	NTSC (NA)		No	No	No	
NES/FC	Casino Kid II	NTSC (NA)		No	No	No	
NES/FC	Castelian	NTSC (NA)		No	No	No	
NES/FC	Castle of Deceit	NTSC (NA)		No	No	No	
NES/FC	Castle of Dragon	NTSC (NA)		No	No	No	
NES/FC	Castlequest	NTSC (NA)		No	No	No	
NES/FC	Castlevania	NTSC (NA)		No	No	No	
NES/FC	Castlevania II - Simon's Quest	NTSC (NA)		No	No	No	
