platform,game,region,code,box,manual,comment
Atari ST,Elite,PAL,???,No,No,
Atari ST,Football Manager 2,PAL,???,Yes,Yes,
Atari ST,Ikari Warriors,PAL,???,Yes,Yes,
Atari ST,STOS: The Game Creator,PAL,???,Yes,Yes,Not really a game but I'll include it anyway. It is a form of BASIC for Atari ST.
GB/GBC,"Legend of Zelda, The: Link's Awakening DX",PAL,DMG-AZLP-EUR,No,No,
GB/GBC,Bomberman Collection,NTSC (JP),DMG-ABCJ-JPN,Yes,Yes,Metal tin case.
GB/GBC,Daiku no Gen-san: Robot Teikoku no Yabou,NTSC (JP),DMG-D9J,Yes,Yes,
GB/GBC,Disney's Dinosaur,PAL,CGB-BDNP-EUR,No,No,
GB/GBC,Donkey Kong 2001,NTSC (JP),CGB-BDDJ-JPN,Yes,Yes,
GB/GBC,Donkey Kong Land,NTSC (JP),DMG-YTJ-JPN,No,No,Super Donkey Kong GB
GB/GBC,Donkey Kong,PAL,DMG-QD-UKV,No,No,
GB/GBC,Double Dragon,PAL,DMG-DD-SCN,No,No,
GB/GBC,Dr. Mario,PAL,DMG-VU-SCN,No,No,
GB/GBC,GAME USA COLOR: 32 IN 1,"""US""",UC-32A08,No,No,Pirate cart. PCB has the code BC-T08JM etched into it
GB/GBC,GAME USA COLOR: 33 IN 1,"""US""",UC-33H03,No,No,"Pirate cartridge that actually has 33 unique games as promised on the label, including all Pokémon games up to G/S.Save battery is dead."
GB/GBC,GAME USA COLOR: SUPER MARIO PARTY 12 IN 1,??,UC-12B01,No,No,"Another pirate cartridge with 12 games, which includes a lot of Mario games. Some of the games are duplicates."
GB/GBC,Galaga & Galaxian,NTSC (JP),DMG-AGCJ-JPN,Yes,Yes,
GB/GBC,Game Boy Wars Turbo,NTSC (JP),DMG-AGWJ-JPN,Yes,Yes,Metal tin case.
GB/GBC,Game Boy Wars,NTSC (JP),DMG-GWJ,No,No,
GB/GBC,Gargoyle's Quest,PAL,DMG-RA-SCN,No,No,
GB/GBC,Kirby's Dream Land 2,NTSC (JP),DMG-AKBJ-JPN,No,No,
GB/GBC,Kirby's Dream Land,NTSC (JP),DMG-KYJ,No,No,
GB/GBC,Kwirk,PAL,DMG-AP-NOE,No,No,
GB/GBC,Mario's Picross,PAL,DMG-APCP-NOE,No,No,
GB/GBC,Micro Machines V3,PAL,CGB-BM3P-EUR,No,No,
GB/GBC,Momotaro Collection 2,NTSC (JP),DMG-AM3J-JPN,Yes,Yes,Metal tin case.
GB/GBC,Motocross Maniacs,PAL,DMG-MX-NOE,No,No,
GB/GBC,Mr. Nutz,PAL,CGB-ANUP-EUR,No,No,GBC version
GB/GBC,Nemesis II,NTSC (JP),DMG-NEA,No,No,
GB/GBC,Pocket Camera,NTSC (JP),(GBD-S-SPAA-JPN),Yes,Yes,Clear Purple
GB/GBC,Pocket Monsters Midori,NTSC (JP),DMG-P-APBJ(JPN),Yes,Yes,AKA Pokémon Green. Also includes the map.
GB/GBC,Pokémon Blue,PAL,DMG-APEU-EUR,No,No,I have two of these.
GB/GBC,Pokémon Crystal,PAL,CGB-BYTP-EUR-1,No,No,
GB/GBC,Pokémon Gold,PAL,DMG-AAUP-EUR-1,Yes,Yes,Box has Product code: DMG-P-AAUP-NHAU. Manual has Product code: DMG-P-PKGS-NSWF.
