Platform	Name	Region	Code	Game	Box	Manual	Year	Comment
Nintendo Entertainment System	$1,000,000 Kid: Maboroshi no Teiou Hen	Japan		Yes	No	No	1989	
Nintendo Entertainment System	'89 Dennou Kyuusei Uranai	Japan		Yes	No	No	1988	
Nintendo Entertainment System	10-Yard Fight	Japan		Yes	No	No	1985	
Nintendo Entertainment System	1942	Japan		Yes	No	No	1985	
Nintendo Entertainment System	1943: The Battle of Valhalla	Japan		No	No	No	1988	
Nintendo Entertainment System	1999 Hore, Mitakotoka! Seikimatsu	Japan		No	No	No	1992	
Nintendo Entertainment System	2010: Street Fighter	Japan		No	No	No	1990	
Nintendo Entertainment System	4 Nin uchi Mahjong	Japan		No	No	No	1984	
Nintendo Entertainment System	8 Eye's	Japan		No	No	No	1988	
Nintendo Entertainment System	A-Ressha de Ikou	Japan		No	No	No	1991	
Nintendo Entertainment System	Aa Yakyuu Jinsei Icchokusen	Japan		No	No	No	1992	
Nintendo Entertainment System	Abadox	Japan		No	No	No	1989	
Nintendo Entertainment System	Abarenbou Tengu	Japan		No	No	No	1990	
Nintendo Entertainment System	Aces: Iron Eagle III	Japan		No	No	No	1992	
Nintendo Entertainment System	Advanced Dungeons & Dragons: Dragons of Flame	Japan		No	No	No	1992	
Nintendo Entertainment System	Advanced Dungeons & Dragons: Heroes of the Lance	Japan		No	No	No	1991	
Nintendo Entertainment System	Advanced Dungeons & Dragons: Hillsfar	Japan		No	No	No	1991	
Nintendo Entertainment System	Advanced Dungeons & Dragons: Pool of Radiance	Japan		No	No	No	1991	
Nintendo Entertainment System	Adventures of Lolo	Japan		No	No	No	1990	
Nintendo Entertainment System	Adventures of Lolo II	Japan		No	No	No	1990	
Nintendo Entertainment System	After Burner II	Japan		No	No	No	1989	
Nintendo Entertainment System	Ai Sensei no Oshiete: Watashi no Hoshi	Japan		No	No	No	1993	
Nintendo Entertainment System	Aigiina no Yogen: Balubalouk no Densetsu Yori	Japan		No	No	No	1986	
Nintendo Entertainment System	Aigina no Yogen: Balubalouk no Densetsu Yori	Japan		No	No	No	1986	
Nintendo Entertainment System	Air Fortress	Japan		No	No	No	1987	
Nintendo Entertainment System	Airwolf	Japan		No	No	No	1988	
Nintendo Entertainment System	Akagawa Jirou no Yuurei Ressha	Japan		No	No	No	1991	
Nintendo Entertainment System	Akira	Japan		No	No	No	1988	
Nintendo Entertainment System	Akuma no Shoutaijou	Japan		No	No	No	1989	
Nintendo Entertainment System	Akuma-kun: Makai no Wana	Japan		No	No	No	1990	
Nintendo Entertainment System	Akumajou Densetsu	Japan		No	No	No	1989	
Nintendo Entertainment System	Akumajou Dracula	Japan		No	No	No	1993	
Nintendo Entertainment System	Akumajou Special: Boku Dracula-kun	Japan		No	No	No	1990	
Nintendo Entertainment System	Alien Syndrome	Japan		No	No	No	1988	
Nintendo Entertainment System	America Daitouryou Senkyo: United State Presidental Race	Japan		No	No	No	1988	
Nintendo Entertainment System	America Daitouryou Senkyo: United State Presidential Race	Japan		No	No	No	1988	
Nintendo Entertainment System	America Oudan Ultra Quiz: Shijou Saidai no Tatakai	Japan		No	No	No	1991	
Nintendo Entertainment System	American Dream	Japan		No	No	No	1989	
Nintendo Entertainment System	American Football: Touch Down Fever	Japan		No	No	No	1988	
Nintendo Entertainment System	Ankoku Shinwa: Yamato Takeru Densetsu	Japan		No	No	No	1989	
Nintendo Entertainment System	Aoki Ookami to Shiroki Mejika: Genchou Hishi	Japan		No	No	No	1993	
Nintendo Entertainment System	Aoki Ookami to Shiroki Mejika: Genghis Khan	Japan		No	No	No	1989	
Nintendo Entertainment System	Arabian Dream Scheherazade	Japan		No	No	No	1987	
Nintendo Entertainment System	Arctic	Japan		No	No	No	1990	
Nintendo Entertainment System	Argos no Senshi: Hachamecha Daishingeki	Japan		No	No	No	1987	
Nintendo Entertainment System	Argus	Japan		No	No	No	1986	
Nintendo Entertainment System	Arkanoid	Japan		No	No	No	1986	
Nintendo Entertainment System	Arkanoid II	Japan		No	No	No	1988	
Nintendo Entertainment System	Armadillo	Japan		No	No	No	1991	
Nintendo Entertainment System	Artelius	Japan		No	No	No	1987	
Nintendo Entertainment System	Asmik-Kun Land	Japan		No	No	No	1991	
Nintendo Entertainment System	ASO: Armored Scrum Object	Japan		No	No	No	1986	
Nintendo Entertainment System	Astro Fang: Super Machine	Japan		No	No	No	1990	
Nintendo Entertainment System	Astro Robo Sasa	Japan		No	No	No	1985	
Nintendo Entertainment System	Athena	Japan		No	No	No	1987	
Nintendo Entertainment System	Atlantis no Nazo	Japan		No	No	No	1986	
Nintendo Entertainment System	Attack Animal Gakuen	Japan		No	No	No	1987	
Nintendo Entertainment System	B-Wings	Japan		No	No	No	1986	
Nintendo Entertainment System	Babel no Tou	Japan		No	No	No	1986	
Nintendo Entertainment System	Baken Hisshou Gaku: Gate In	Japan		No	No	No	1990	
Nintendo Entertainment System	Bakushou! Star Monomane Shitenou	Japan		No	No	No	1990	
Nintendo Entertainment System	Bakushou!! Jinsei Gekijou	Japan		No	No	No	1989	
Nintendo Entertainment System	Bakushou!! Jinsei Gekijou 2	Japan		No	No	No	1991	
Nintendo Entertainment System	Bakushou!! Jinsei Gekijou 3	Japan		No	No	No	1991	
