|       | 20th Century Video Almanac                                  | Software Toolworks            | 3DO Interactive Multiplayer | 1993 | North America
|       | 3D Atlas                                                    | Electronic Arts               | 3DO Interactive Multiplayer | 1994 | North America
|       | 3DO Buffet                                                  | 3DO                           | 3DO Interactive Multiplayer | 1995 | North America
|       | 3DO Interactive Sampler CD #2, The                          | 3DO                           | 3DO Interactive Multiplayer | 1994 | North America
|       | 3DO Interactive Sampler CD #3, The                          | 3DO                           | 3DO Interactive Multiplayer | 1995 | North America
|       | 3DO Interactive Sampler CD #4, The                          | 3DO                           | 3DO Interactive Multiplayer | 1995 | North America
|       | 3DO Interactive Sampler CD, The                             | 3DO                           | 3DO Interactive Multiplayer | 1994 | North America
|       | Advanced Dungeons & Dragons: DeathKeep                      | SSI                           | 3DO Interactive Multiplayer | 1995 | North America
|       | Advanced Dungeons & Dragons: Slayer                         | SSI                           | 3DO Interactive Multiplayer | 1994 | North America
|       | Alone in the Dark                                           | Interplay                     | 3DO Interactive Multiplayer | 1994 | North America
|       | Alone in the Dark 2                                         | Interplay                     | 3DO Interactive Multiplayer | 1994 | North America
|       | Animals!, The                                               | Software Toolworks            | 3DO Interactive Multiplayer | 1993 | North America
|       | Ballz: The Director's Cut                                   | PF.Magic                      | 3DO Interactive Multiplayer | 1995 | North America
|       | Battle Chess                                                | Interplay                     | 3DO Interactive Multiplayer | 1993 | North America
|       | BattleSport                                                 | 3DO                           | 3DO Interactive Multiplayer | 1996 | North America
|       | BC Racers                                                   | LG                            | 3DO Interactive Multiplayer | 1995 | North America
|       | Blade Force                                                 | 3DO                           | 3DO Interactive Multiplayer | 1995 | North America
|       | Blonde Justice                                              | Vivid Interactive             | 3DO Interactive Multiplayer | 1994 | North America
|       | Brain Dead 13                                               | ReadySoft                     | 3DO Interactive Multiplayer | 1996 | North America
|       | Burning Soldier                                             | Panasonic                     | 3DO Interactive Multiplayer | 1994 | North America
|       | Bust-A-Move                                                 | Panasonic                     | 3DO Interactive Multiplayer | 1995 | North America
|       | Cannon Fodder                                               | Virgin Interactive            | 3DO Interactive Multiplayer | 1994 | North America
|       | Captain Quazar                                              | Panasonic                     | 3DO Interactive Multiplayer | 1995 | North America
|       | Carrier: Fortress at Sea                                    | Panasonic                     | 3DO Interactive Multiplayer | 1995 | North America
|       | Casper                                                      | Interplay                     | 3DO Interactive Multiplayer | 1996 | North America
|       | Corpse Killer                                               | Digital Pictures              | 3DO Interactive Multiplayer | 1994 | North America
|       | Coven, The                                                  | Vivid Interactive             | 3DO Interactive Multiplayer | 1994 | North America
|       | Cowboy Casino                                               | Intelliplay                   | 3DO Interactive Multiplayer | 1994 | North America
|       | Crash 'N Burn                                               | Crystal Dynamics              | 3DO Interactive Multiplayer | 1993 | North America
