|       | 2 Pak Special: Dungeon Master / Creature Strike      | Otto Versand                 | Atari 2600 | 1992 | North America
|       | 3-D Tic-Tac-Toe                                      | Atari                        | Atari 2600 | 1978 | North America
|       | Activision Decathlon, The                            | Activision                   | Atari 2600 | 1983 | North America
|       | Adventure                                            | Atari                        | Atari 2600 | 1979 | North America
|       | Adventures of Tron                                   | Mattel                       | Atari 2600 | 1982 | North America
|       | Air Raid                                             | Men-A-Vision                 | Atari 2600 | 1982 | North America
|       | Air Raiders                                          | Mattel                       | Atari 2600 | 1982 | North America
|       | Air-Sea Battle                                       | Atari                        | Atari 2600 | 1977 | North America
|       | Airlock                                              | Data Age                     | Atari 2600 | 1982 | North America
|       | Alien                                                | 20th Century Fox Video Games | Atari 2600 | 1982 | North America
|       | Alpha Beam With Ernie                                | Atari                        | Atari 2600 | 1983 | North America
|       | Amidar                                               | Parker Bros.                 | Atari 2600 | 1982 | North America
|       | Armor Ambush                                         | Mattel                       | Atari 2600 | 1982 | North America
|       | Artillery Duel                                       | Xonox                        | Atari 2600 | 1983 | North America
|       | Assault                                              | Bomb                         | Atari 2600 | 1983 | North America
|       | Asteroid Fire                                        | Homevision                   | Atari 2600 | 1983 | North America
|       | Asteroids                                            | Atari                        | Atari 2600 | 1981 | North America
|       | Astroblast                                           | Mattel                       | Atari 2600 | 1982 | North America
|       | Atari Video Cube                                     | Atari                        | Atari 2600 | 1982 | North America
|       | Atlantis                                             | Imagic                       | Atari 2600 | 1982 | North America
|       | Bachelor Party                                       | Mystique                     | Atari 2600 | 1982 | North America
|       | Bachelor Party/Gigolo                                | Playaround                   | Atari 2600 | 1982 | North America
|       | Bachelorette Party/Burning Desire                    | Playaround                   | Atari 2600 | 1982 | North America
|       | Backgammon                                           | Atari                        | Atari 2600 | 1978 | North America
|       | Bank Heist                                           | 20th Century Fox Video Games | Atari 2600 | 1983 | North America
|       | Barnstorming                                         | Activision                   | Atari 2600 | 1982 | North America
|       | Base Attack                                          | Homevision                   | Atari 2600 | 1983 | North America
|       | Basic Math                                           | Atari                        | Atari 2600 | 1977 | North America
|       | BASIC Programming                                    | Atari                        | Atari 2600 | 1978 | North America
|       | Basketball                                           | Atari                        | Atari 2600 | 1978 | North America
|       | Battlezone                                           | Atari                        | Atari 2600 | 1983 | North America
|       | Beamrider                                            | Activision                   | Atari 2600 | 1984 | North America
|       | Beany Bopper                                         | Sirius Software              | Atari 2600 | 1982 | North America
|       | Beat 'Em & Eat 'Em                                   | Mystique                     | Atari 2600 | 1982 | North America
|       | Beat 'Em & Eat 'Em/Lady in Wading                    | Playaround                   | Atari 2600 | 1982 | North America
|       | Berenstain Bears                                     | Coleco                       | Atari 2600 | 1983 | North America
|       | Berenstain Bears: Big Number Hunt                    | Coleco                       | Atari 2600 | 1983 | North America
|       | Berenstain Bears: Great Letter Roundup               | Coleco                       | Atari 2600 | 1983 | North America
|       | Berenstain Bears: Spooky Spelling Bee                | Coleco                       | Atari 2600 | 1983 | North America
|       | Bermuda Triangle                                     | Data Age                     | Atari 2600 | 1982 | North America
|       | Berzerk                                              | Atari                        | Atari 2600 | 1982 | North America
|       | Big Bird's Egg Catch                                 | Atari                        | Atari 2600 | 1983 | North America
|       | Blackjack                                            | Atari                        | Atari 2600 | 1977 | North America
|       | Blue Print                                           | CBS Electronics              | Atari 2600 | 1983 | North America
|       | BMX Airmaster                                        | TNT Games                    | Atari 2600 | 1989 | North America
|       | Boing!                                               | First Star Software          | Atari 2600 | 1983 | North America
|       | Bowling                                              | Atari                        | Atari 2600 | 1978 | North America
|       | Boxing                                               | Activision                   | Atari 2600 | 1980 | North America
|       | Brain Games                                          | Atari                        | Atari 2600 | 1978 | North America
|       | Breakaway IV                                         | Sears                        | Atari 2600 | 1978 | North America
|       | Breakout                                             | Atari                        | Atari 2600 | 1978 | North America
|       | Bridge                                               | Activision                   | Atari 2600 | 1980 | North America
|       | Buck Rogers: Planet of Zoom                          | Sega                         | Atari 2600 | 1983 | North America
|       | Bugs                                                 | Data Age                     | Atari 2600 | 1982 | North America
|       | Bump 'N' Jump                                        | Mattel                       | Atari 2600 | 1983 | North America
|       | Bumper Bash                                          | Spectravision                | Atari 2600 | 1983 | North America
|       | BurgerTime                                           | Mattel                       | Atari 2600 | 1982 | North America
|       | Cakewalk                                             | CommaVid, Inc.               | Atari 2600 | 1983 | North America
|       | California Games                                     | Epyx                         | Atari 2600 | 1988 | North America
|       | Canyon Bomber                                        | Atari                        | Atari 2600 | 1978 | North America
|       | Carnival                                             | Coleco                       | Atari 2600 | 1982 | North America
|       | Casino                                               | Atari                        | Atari 2600 | 1978 | North America
|       | Cathouse Blues/Philly Flasher                        | Playaround                   | Atari 2600 | 1982 | North America
|       | Centipede                                            | Atari                        | Atari 2600 | 1982 | North America
|       | Challenge of...Nexar, The                            | Spectravision                | Atari 2600 | 1982 | North America
|       | Championship Soccer                                  | Atari                        | Atari 2600 | 1980 | North America
|       | Chase the Chuckwagon                                 | Spectravision                | Atari 2600 | 1983 | North America
|       | Checkers                                             | Activision                   | Atari 2600 | 1980 | North America
|       | China Syndrome                                       | Spectravision                | Atari 2600 | 1982 | North America
|       | Chopper Command                                      | Activision                   | Atari 2600 | 1982 | North America
|       | Chuck Norris Superkicks                              | Xonox                        | Atari 2600 | 1983 | North America
|       | Circus Atari                                         | Atari                        | Atari 2600 | 1978 | North America
|       | Coconuts                                             | Telesys                      | Atari 2600 | 1982 | North America
|       | Codebreaker                                          | Atari                        | Atari 2600 | 1978 | North America
|       | Color Bar Generator                                  | Videosoft                    | Atari 2600 | 1984 | North America
|       | Combat                                               | Atari                        | Atari 2600 | 1977 | North America
|       | Combat Two                                           | Atari                        | Atari 2600 | 2013 | North America
|       | Commando                                             | Activision                   | Atari 2600 | 1988 | North America
|       | Commando Raid                                        | US Games                     | Atari 2600 | 1982 | North America
|       | Communist Mutants From Space                         | Arcadia                      | Atari 2600 | 1982 | North America
|       | Concentration                                        | Atari, Inc.                  | Atari 2600 | 1978 | North America
|       | Condor Attack                                        | Ultravision                  | Atari 2600 | 1983 | North America
|       | Congo Bongo                                          | Sega                         | Atari 2600 | 1983 | North America
|       | Cookie Monster Munch                                 | Atari                        | Atari 2600 | 1983 | North America
|       | Cosmic Ark                                           | Imagic                       | Atari 2600 | 1982 | North America
|       | Cosmic Commuter                                      | Activision                   | Atari 2600 | 1984 | North America
|       | Cosmic Corridor                                      | Zimag                        | Atari 2600 | 1984 | North America
|       | Cosmic Creeps                                        | Telesys                      | Atari 2600 | 1982 | North America
|       | Cosmic Swarm                                         | CommaVid, Inc.               | Atari 2600 | 1982 | North America
|       | Cosmic War                                           | Homevision                   | Atari 2600 | 1983 | North America
|       | Crackpots                                            | Activision                   | Atari 2600 | 1983 | North America
|       | Crash Dive                                           | 20th Century Fox Video Games | Atari 2600 | 1982 | North America
|       | Crazy Climber                                        | Atari                        | Atari 2600 | 1982 | North America
|       | Cross Force                                          | Spectravision                | Atari 2600 | 1982 | North America
|       | Crossbow                                             | Atari                        | Atari 2600 | 1987 | North America
|       | Cruise Missile                                       | Froggo                       | Atari 2600 | 1982 | North America
|       | Crypts of Chaos                                      | 20th Century Fox Video Games | Atari 2600 | 1982 | North America
|       | Crystal Castles                                      | Atari                        | Atari 2600 | 1984 | North America
|       | Cubicolor                                            | Rob Fulop                    | Atari 2600 | 1985 | North America
|       | Custer's Revenge                                     | Mystique                     | Atari 2600 | 1982 | North America
|       | Dancing Plate                                        | Bit Corp.                    | Atari 2600 | 1983 | North America
|       | Dark Cavern                                          | Mattel                       | Atari 2600 | 1982 | North America
|       | Dark Chambers                                        | Atari                        | Atari 2600 | 1988 | North America
|       | Deadly Duck                                          | 20th Century Fox Video Games | Atari 2600 | 1982 | North America
|       | Death Trap                                           | Avalon Hill                  | Atari 2600 | 1983 | North America
|       | Defender                                             | Atari                        | Atari 2600 | 1981 | North America
|       | Demolition Herby                                     | Telesys                      | Atari 2600 | 1983 | North America
|       | Demon Attack                                         | Imagic                       | Atari 2600 | 1982 | North America
|       | Demons To Diamonds                                   | Atari                        | Atari 2600 | 1982 | North America
|       | Desert Falcon                                        | Atari                        | Atari 2600 | 1987 | North America
|       | Dice Puzzle                                          | Panda Entertainment          | Atari 2600 | 1983 | North America
|       | Dice Puzzle                                          | Sancho                       | Atari 2600 | 1983 | North America
|       | Dig Dug                                              | Atari                        | Atari 2600 | 1983 | North America
|       | Dishaster                                            | Zimag                        | Atari 2600 | 1983 | North America
|       | Dodge 'Em                                            | Atari                        | Atari 2600 | 1978 | North America
|       | Dolphin                                              | Activision                   | Atari 2600 | 1983 | North America
|       | Donkey Kong                                          | Coleco                       | Atari 2600 | 1982 | North America
|       | Donkey Kong Junior                                   | Coleco                       | Atari 2600 | 1983 | North America
|       | Double Dragon                                        | Activision                   | Atari 2600 | 1989 | North America
|       | Double Dunk                                          | Atari                        | Atari 2600 | 1989 | North America
|       | Double Ender: Artillery Duel/Chuck Norris Superkicks | Xonox                        | Atari 2600 | 1983 | North America
