|       | Aircars                             | ICD, Inc.                  | Atari Jaguar | 1997 | North America
|       | Alien vs. Predator                  | Atari Games (Midway)       | Atari Jaguar | 1994 | North America
|       | Atari Karts                         | Atari Games (Midway)       | Atari Jaguar | 1995 | North America
|       | Attack of the Mutant Penguins       | Atari Games (Midway)       | Atari Jaguar | 1996 | North America
|       | Battlesphere                        | ScatoLogic                 | Atari Jaguar | 2013 | North America
|       | Breakout 2000                       | Telegames, Inc.            | Atari Jaguar | 1996 | North America
|       | Brutal Sports Football              | Atari Games (Midway)       | Atari Jaguar | 1994 | North America
|       | Bubsy in Fractured Furry Tails      | Accolade                   | Atari Jaguar | 1994 | North America
|       | Cannon Fodder                       | Virgin Interactive         | Atari Jaguar | 1995 | North America
|       | Checkered Flag                      | Atari Games (Midway)       | Atari Jaguar | 1994 | North America
|       | Club Drive                          | Atari                      | Atari Jaguar | 1994 | North America
|       | Cybermorph                          | Atari Corporation          | Atari Jaguar | 1993 | North America
|       | Defender 2000                       | Atari Games (Midway)       | Atari Jaguar | 1996 | North America
|       | Doom                                | Atari Games (Midway)       | Atari Jaguar | 1994 | North America
|       | Double Dragon V                     | Tradewest                  | Atari Jaguar | 1995 | North America
|       | Dragon: The Bruce Lee Story         | Atari Games (Midway)       | Atari Jaguar | 1994 | North America
|       | Evolution: Dino Dudes               | Atari                      | Atari Jaguar | 1994 | North America
|       | Fever Pitch Soccer                  | Atari Games (Midway)       | Atari Jaguar | 1995 | North America
|       | Fight For Life                      | Atari Games (Midway)       | Atari Jaguar | 1996 | North America
|       | Flashback                           | U.S. Gold                  | Atari Jaguar | 1995 | North America
|       | Flip Out!                           | Atari Games (Midway)       | Atari Jaguar | 1995 | North America
|       | Hover Strike                        | Atari Games (Midway)       | Atari Jaguar | 1995 | North America
|       | Hyper Force                         | Songbird Productions       | Atari Jaguar | 2000 | North America
|       | I-War                               | Atari Games (Midway)       | Atari Jaguar | 1995 | North America
|       | International Sensible Soccer       | Telegames, Inc.            | Atari Jaguar | 1995 | North America
|       | Iron Soldier                        | Atari Games (Midway)       | Atari Jaguar | 1994 | North America
|       | Iron Soldier 2                      | Telegames, Inc.            | Atari Jaguar | 1997 | North America
