|       | 19: Neunzehn                                                  | Soft Pro              | Famicom Disk System | 1988 | Japan
|       | Adian no Tsue                                                 | SunSoft               | Famicom Disk System | 1986 | Japan
|       | Ai Senshi Nicol                                               | Konami                | Famicom Disk System | 1987 | Japan
|       | Akumajou Dracula                                              | Konami                | Famicom Disk System | 1986 | Japan
|       | Akuu Senki Raijin                                             | SquareSoft            | Famicom Disk System | 1988 | Japan
|       | All 1 - Famimaga Disk Vol. 3                                  | Tokuma Shoten         | Famicom Disk System | 1991 | Japan
|       | All Night Nippon Super Mario Bros.                            | Fuji Television       | Famicom Disk System | 1986 | Japan
|       | Apple Town Monogatari: Little Computer People                 | SquareSoft            | Famicom Disk System | 1987 | Japan
|       | Armana no Kiseki                                              | Konami                | Famicom Disk System | 1987 | Japan
|       | Aspic: Mahebiou no Noroi                                      | Bothtec               | Famicom Disk System | 1988 | Japan
|       | Backgammon                                                    | Nintendo              | Famicom Disk System | 1990 | Japan
|       | Bakutoushi Patton-Kun                                         | Soft Pro              | Famicom Disk System | 1988 | Japan
|       | Baseball                                                      | Nintendo              | Famicom Disk System | 1986 | Japan
|       | Big Challenge! Dogfight Spirit                                | Jaleco Entertainment  | Famicom Disk System | 1988 | Japan
|       | Big Challenge! Go Go Bowling                                  | Jaleco Entertainment  | Famicom Disk System | 1989 | Japan
|       | Big Challenge! Gun Fighter                                    | Jaleco Entertainment  | Famicom Disk System | 1989 | Japan
|       | Big Challenge! Judo Senshuken                                 | Jaleco Entertainment  | Famicom Disk System | 1988 | Japan
|       | Bio-Miracle Bokutte Upa                                       | Konami                | Famicom Disk System | 1988 | Japan
|       | BodyConQuest I: Abakareshi Musume Tachi                       | Hacker International  | Famicom Disk System | 1987 | Japan
|       | Bomberman                                                     | Hudson Soft           | Famicom Disk System | 1990 | Japan
|       | Breeder                                                       | Soft Pro              | Famicom Disk System | 1986 | Japan
|       | Bubble Bobble                                                 | Taito Corporation     | Famicom Disk System | 1987 | Japan
|       | BurgerTime                                                    | Data East             | Famicom Disk System | 1988 | Japan
|       | Chitei Tairiku Orudoora                                       | SunSoft               | Famicom Disk System | 1987 | Japan
|       | Cleopatra no Mahou                                            | SquareSoft            | Famicom Disk System | 1987 | Japan
|       | Clocks - Famimaga Disk Vol. 4                                 | Tokuma Shoten         | Famicom Disk System | 1991 | Japan
|       | Clu Clu Land                                                  | Nintendo              | Famicom Disk System | 1992 | Japan
|       | Cocona World                                                  | Sofel                 | Famicom Disk System | 1987 | Japan
|       | Dandy: Zeuon No Fukkatsu                                      | Pony Canyon           | Famicom Disk System | 1988 | Japan
|       | Dead Zone                                                     | SunSoft               | Famicom Disk System | 1986 | Japan
|       | Deep Dungeon: Madou Senki                                     | SquareSoft            | Famicom Disk System | 1986 | Japan
|       | Deep Dungeon: Yuushi no Monshou                               | SquareSoft            | Famicom Disk System | 1987 | Japan
|       | Dig Dug                                                       | Namco                 | Famicom Disk System | 1990 | Japan
|       | Dig Dug II                                                    | Namco                 | Famicom Disk System | 1990 | Japan
|       | Dirty Pair: Project Eden                                      | Bandai                | Famicom Disk System | 1987 | Japan
|       | Donkey Kong                                                   | Nintendo              | Famicom Disk System | 1988 | Japan
|       | Donkey Kong Jr.                                               | Nintendo              | Famicom Disk System | 1988 | Japan
|       | Doremikko                                                     | Konami                | Famicom Disk System | 1987 | Japan
|       | Dr. Chaos: Jigoku no Tobira                                   | Pony Canyon           | Famicom Disk System | 1987 | Japan
|       | Dracula II: Noroi no Fuuin                                    | Konami                | Famicom Disk System | 1987 | Japan
|       | Druid: Kyoufu no Tobira                                       | Jaleco Entertainment  | Famicom Disk System | 1988 | Japan
|       | Eggerland                                                     | HAL Labs              | Famicom Disk System | 1987 | Japan
|       | Eggerland: Souzouhe no Tabidachi                              | HAL Labs              | Famicom Disk System | 1988 | Japan
|       | Electrician                                                   | Kemco                 | Famicom Disk System | 1986 | Japan
|       | Esper Dream                                                   | Konami                | Famicom Disk System | 1987 | Japan
|       | Exciting Baseball                                             | Konami                | Famicom Disk System | 1987 | Japan
|       | Exciting Basket                                               | Konami                | Famicom Disk System | 1987 | Japan
|       | Exciting Billiard                                             | Konami                | Famicom Disk System | 1987 | Japan
|       | Exciting Soccer: Konami Cup                                   | Konami                | Famicom Disk System | 1988 | Japan
|       | Fairytale                                                     | Soft Pro              | Famicom Disk System | 1989 | Japan
|       | Falsion                                                       | Konami                | Famicom Disk System | 1987 | Japan
|       | Famicom Golf: Japan Course                                    | Nintendo              | Famicom Disk System | 1987 | Japan
|       | Famicom Golf: US Course                                       | Nintendo              | Famicom Disk System | 1987 | Japan
|       | Famicom Grand Prix F1 Race                                    | Nintendo              | Famicom Disk System | 1987 | Japan
|       | Famicom Grand Prix II: 3D Hot Rally                           | Nintendo              | Famicom Disk System | 1988 | Japan
|       | Famicom Mukashi Banashi: Shin Onigashima - Kouhen             | Nintendo              | Famicom Disk System | 1987 | Japan
|       | Famicom Mukashi Banashi: Shin Onigashima - Zenpen             | Nintendo              | Famicom Disk System | 1987 | Japan
|       | Famicom Mukashi Banashi: Yuuyuuki - Kouhen                    | Nintendo              | Famicom Disk System | 1989 | Japan
|       | Famicom Mukashi Banashi: Yuuyuuki - Zenpen                    | Nintendo              | Famicom Disk System | 1989 | Japan
|       | Famicom Tantei Club Part II: Ushiro ni Tatsu Shoujo - Kouhen  | Nintendo              | Famicom Disk System | 1989 | Japan
|       | Famicom Tantei Club Part II: Ushiro ni Tatsu Shoujo - Zenpen  | Nintendo              | Famicom Disk System | 1989 | Japan
|       | Famicom Tantei Club: Kieta Koukeisha - Kouhen                 | Nintendo              | Famicom Disk System | 1988 | Japan
|       | Famicom Tantei Club: Kieta Koukeisha - Zenpen                 | Nintendo              | Famicom Disk System | 1988 | Japan
|       | Family Composer                                               | Tokyo Shoseki         | Famicom Disk System | 1987 | Japan
|       | Final Commando: Akai Yousai                                   | Konami                | Famicom Disk System | 1988 | Japan
|       | Fire Bam                                                      | HAL Labs              | Famicom Disk System | 1988 | Japan
|       | Fire Rock                                                     | Use                   | Famicom Disk System | 1988 | Japan
|       | Fuuun Shaolin Ken                                             | Jaleco Entertainment  | Famicom Disk System | 1987 | Japan
|       | Fuuun Shaolin Ken: Ankoku no Maou                             | Jaleco Entertainment  | Famicom Disk System | 1988 | Japan
|       | Galaga                                                        | Namco                 | Famicom Disk System | 1990 | Japan
|       | Galaxian                                                      | Namco                 | Famicom Disk System | 1990 | Japan
|       | Gall Force: Eternal Story                                     | HAL Labs              | Famicom Disk System | 1986 | Japan
|       | Ginga Denshou: Galaxy Odyssey                                 | Imagineer             | Famicom Disk System | 1986 | Japan
|       | Gokuraku Yuugi: Game Tengoku                                  | Sofel                 | Famicom Disk System | 1987 | Japan
|       | Golf                                                          | Nintendo              | Famicom Disk System | 1986 | Japan
|       | Goonies, The                                                  | Konami                | Famicom Disk System | 1988 | Japan
|       | Green Beret                                                   | Konami                | Famicom Disk System | 1987 | Japan
|       | Gun.Smoke                                                     | Capcom                | Famicom Disk System | 1988 | Japan
|       | Gyruss                                                        | Konami                | Famicom Disk System | 1988 | Japan
|       | Halley Wars                                                   | Taito Corporation     | Famicom Disk System | 1989 | Japan
|       | Hao-Kun no Fushigi na Tabi                                    | SquareSoft            | Famicom Disk System | 1987 | Japan
|       | Hikari Shinwa: Palutena no Kagami                             | Nintendo              | Famicom Disk System | 1986 | Japan
|       | Hikaru Genji: Roller Panic                                    | Pony Canyon           | Famicom Disk System | 1989 | Japan
|       | Hong Kong - Famimaga Disk Vol. 1                              | Tokuma Shoten         | Famicom Disk System | 1990 | Japan
|       | I am a Teacher: Super Mario no Sweater                        | Royal Kougyou         | Famicom Disk System | 1986 | Japan
|       | I am a Teacher: Teami no Kiso                                 | Royal Kougyou         | Famicom Disk System | 1986 | Japan
|       | Ice Climber                                                   | Nintendo              | Famicom Disk System | 1988 | Japan
|       | Ice Hockey                                                    | Nintendo              | Famicom Disk System | 1988 | Japan
|       | Idol Hotline: Nakayama Miho no Tokimeki High School           | Nintendo              | Famicom Disk System | 1987 | Japan
|       | Igo                                                           | Bullet Proof Software | Famicom Disk System | 1987 | Japan
|       | Ishido                                                        | Hiro                  | Famicom Disk System | 1990 | Japan
|       | Jaaman Tanteidan Marine Kumi: Maruhi Jigoma Sousa File        | Bandai                | Famicom Disk System | 1988 | Japan
|       | Janken Disk Jou - Famimaga Disk Vol. 6                        | Tokuma Shoten         | Famicom Disk System | 1992 | Japan
|       | Jikai Shounen Mettomag                                        | SquareSoft            | Famicom Disk System | 1987 | Japan
|       | Kaettekita Mario Bros.                                        | Nintendo              | Famicom Disk System | 1988 | Japan
|       | Kalin no Tsurugi                                              | SquareSoft            | Famicom Disk System | 1987 | Japan
|       | Kamen Rider Black: Taiketsu Shadow Moon                       | Bandai                | Famicom Disk System | 1988 | Japan
|       | Karate Champ                                                  | Data East             | Famicom Disk System | 1988 | Japan
|       | Kattobi! Douji                                                | Pack-In-Video         | Famicom Disk System | 1989 | Japan
|       | Kick and Run                                                  | Taito Corporation     | Famicom Disk System | 1988 | Japan
|       | Kick Challenger: Air Foot - Yasai no Kuni no Ashi Senshi      | Vap                   | Famicom Disk System | 1987 | Japan
|       | Kidou Keisatsu Patlabor: Dai 2 Shoutai Shutsudou Seyo!        | Bandai                | Famicom Disk System | 1989 | Japan
|       | Kieta Princess                                                | Imagineer             | Famicom Disk System | 1986 | Japan
|       | Kiki KaiKai: Dotou Hen                                        | Taito Corporation     | Famicom Disk System | 1987 | Japan
|       | Kinnikuman: Kinnikusei Oui Soudatsusen                        | Bandai                | Famicom Disk System | 1987 | Japan
|       | Knight Lore: Majou no Ookami Otoko                            | Jaleco Entertainment  | Famicom Disk System | 1986 | Japan
|       | Knight Move                                                   | Nintendo              | Famicom Disk System | 1990 | Japan
|       | Konamic Ice Hockey                                            | Konami                | Famicom Disk System | 1988 | Japan
|       | Konamic Tennis                                                | Konami                | Famicom Disk System | 1988 | Japan
|       | Koneko Monogatari: The Adventures of Chatran                  | Pony Canyon           | Famicom Disk System | 1986 | Japan
|       | Legend of Zelda 2: Link no Bouken, The                        | Nintendo              | Famicom Disk System | 1987 | Japan
|       | Lutter                                                        | Athena                | Famicom Disk System | 1989 | Japan
|       | Magma Project Hacker                                          | Tokuma Shoten         | Famicom Disk System | 1989 | Japan
|       | Mahjong                                                       | Nintendo              | Famicom Disk System | 1986 | Japan
|       | Mahjong Kazoku                                                | Irem                  | Famicom Disk System | 1987 | Japan
|       | Marchen Veil                                                  | SunSoft               | Famicom Disk System | 1987 | Japan
|       | Matou no Houkai                                               | Pony Canyon           | Famicom Disk System | 1988 | Japan
|       | Meikyuu Jiin Dababa                                           | Konami                | Famicom Disk System | 1987 | Japan
|       | Metroid                                                       | Nintendo              | Famicom Disk System | 1986 | Japan
|       | Michael English Daibouken                                     | Scorpion Soft         | Famicom Disk System | 1987 | Japan
|       | Moero TwinBee: Cinnamon Hakushi o Sukue!                      | Konami                | Famicom Disk System | 1986 | Japan
|       | Monitor Puzzle Kineko: Kinetic Connection                     | Irem                  | Famicom Disk System | 1986 | Japan
|       | Monitor Puzzle Kineko: Kinetic Connection Vol. II             | Irem                  | Famicom Disk System | 1987 | Japan
|       | Monty no Doki Doki Daidassou: Monty on the Run                | Jaleco Entertainment  | Famicom Disk System | 1987 | Japan
|       | Moon Ball Magic                                               | SquareSoft            | Famicom Disk System | 1988 | Japan
|       | Mr. Gold: Tooyama no Kinsan Space Chou                        | Toei Animation        | Famicom Disk System | 1988 | Japan
|       | Namida no Soukoban Special                                    | ASCII Entertainment   | Famicom Disk System | 1986 | Japan
|       | Nankin no Adventure                                           | SunSoft               | Famicom Disk System | 1988 | Japan
|       | Nazo no Kabe: Block Kuzushi                                   | Konami                | Famicom Disk System | 1986 | Japan
|       | Nazo no Murasame-Jou                                          | Nintendo              | Famicom Disk System | 1986 | Japan
|       | Nazoler Land Dai 2 Gou                                        | SunSoft               | Famicom Disk System | 1987 | Japan
|       | Nazoler Land Dai 3 Gou                                        | SunSoft               | Famicom Disk System | 1988 | Japan
|       | Nazoler Land Soukan Gou                                       | SunSoft               | Famicom Disk System | 1987 | Japan
|       | Nazoler Land Special!! Quiz Ou o Ikuse                        | SunSoft               | Famicom Disk System | 1987 | Japan
|       | Omoikkiri Tanteidan Haado Gumi: Matenrou no Chousenjou        | Bandai                | Famicom Disk System | 1988 | Japan
|       | Othello                                                       | Kawada                | Famicom Disk System | 1986 | Japan
|       | Otocky                                                        | ASCII Entertainment   | Famicom Disk System | 1987 | Japan
|       | Pac-Man                                                       | Namco                 | Famicom Disk System | 1990 | Japan
|       | Pachicom                                                      | Toshiba EMI           | Famicom Disk System | 1988 | Japan
|       | Pachinko GP                                                   | Data East             | Famicom Disk System | 1988 | Japan
|       | Panic Space - Famimaga Disk Vol. 2                            | Tokuma Shoten         | Famicom Disk System | 1990 | Japan
|       | Pinball                                                       | Nintendo              | Famicom Disk System | 1989 | Japan
|       | Pro Golfer Saru: Kage no Tournament                           | Bandai                | Famicom Disk System | 1987 | Japan
|       | Pro Wrestling: Famicom Wrestling Association                  | Nintendo              | Famicom Disk System | 1986 | Japan
|       | Professional Mahjong Gokuu                                    | ASCII Entertainment   | Famicom Disk System | 1986 | Japan
|       | Pulsar no Hikari                                              | Soft Pro              | Famicom Disk System | 1987 | Japan
|       | Putt Putt Golf                                                | Pack-In-Video         | Famicom Disk System | 1989 | Japan
|       | Puyo Puyo - Famimaga Disk Vol. 5                              | Tokuma Shoten         | Famicom Disk System | 1991 | Japan
|       | Puzzle Boys                                                   | ATLUS                 | Famicom Disk System | 1990 | Japan
|       | Radical Bomber!! Jirai-Kun                                    | Jaleco Entertainment  | Famicom Disk System | 1988 | Japan
|       | Reflect World                                                 | East Cube             | Famicom Disk System | 1987 | Japan
|       | Relics: Ankoku Yousai                                         | Bothtec               | Famicom Disk System | 1987 | Japan
|       | Replicart                                                     | Taito Corporation     | Famicom Disk System | 1988 | Japan
|       | Risa no Yousei Densetsu                                       | Konami                | Famicom Disk System | 1988 | Japan
|       | Roger Rabbit                                                  | Kemco                 | Famicom Disk System | 1989 | Japan
|       | Samurai Sword                                                 | Capcom                | Famicom Disk System | 1988 | Japan
|       | Santa Claus no Takarabako                                     | Data East             | Famicom Disk System | 1987 | Japan
|       | SD Gundam World Map Collection                                | Bandai                | Famicom Disk System | 1989 | Japan
|       | SD Gundam World: Gachapon Senshi - Scramble Wars              | Bandai                | Famicom Disk System | 1987 | Japan
|       | Section-Z                                                     | Capcom                | Famicom Disk System | 1987 | Japan
|       | Seiken Psycho Caliber: Maju no Mori Densetsu                  | Imagineer             | Famicom Disk System | 1987 | Japan
|       | Sexy Invaders                                                 | Super Pig             | Famicom Disk System | 1990 | Japan
|       | Smash Ping Pong                                               | Nintendo              | Famicom Disk System | 1987 | Japan
|       | Soccer                                                        | Nintendo              | Famicom Disk System | 1986 | Japan
|       | Solomon no Kagi                                               | Tecmo                 | Famicom Disk System | 1991 | Japan
|       | Suishou no Dragon                                             | SquareSoft            | Famicom Disk System | 1986 | Japan
|       | Super Boy Allan                                               | SunSoft               | Famicom Disk System | 1987 | Japan
