|       | Ball                   | Nintendo  | Game & Watch | 1980 | North America
|       | Balloon Fight          | Nintendo  | Game & Watch | 1986 | North America
|       | Balloon Fight          | Nintendo  | Game & Watch | 1988 | North America
|       | Black Jack             | Nintendo  | Game & Watch | 1985 | North America
|       | Bomb Sweeper           | Nintendo  | Game & Watch | 1987 | North America
|       | Chef                   | Nintendo  | Game & Watch | 1981 | North America
|       | Climber                | Nintendo  | Game & Watch | 1988 | North America
|       | Climber                | Nintendo  | Game & Watch | 1986 | North America
|       | Crab Grab              | Nintendo  | Game & Watch | 1984 | North America
|       | Donkey Kong            | Nintendo  | Game & Watch | 1982 | North America
|       | Donkey Kong 3          | Nintendo  | Game & Watch | 1984 | North America
|       | Donkey Kong Circus     | Nintendo  | Game & Watch | 1984 | North America
|       | Donkey Kong Hockey     | Nintendo  | Game & Watch | 1984 | North America
|       | Donkey Kong II         | Nintendo  | Game & Watch | 1983 | North America
|       | Donkey Kong Jr.        | Nintendo  | Game & Watch | 1982 | North America
|       | Donkey Kong Jr.        | Nintendo  | Game & Watch | 1983 | North America
|       | Donkey Kong Jr.        | Nintendo  | Game & Watch | 1983 | North America
|       | Egg                    | Nintendo  | Game & Watch | 1981 | North America
|       | Fire                   | Nintendo  | Game & Watch | 1980 | North America
|       | Fire                   | Nintendo  | Game & Watch | 1981 | North America
|       | Fire Attack            | Nintendo  | Game & Watch | 1982 | North America
|       | Flagman                | Nintendo  | Game & Watch | 1980 | North America
|       | Gold Cliff             | Nintendo  | Game & Watch | 1988 | North America
|       | Green House            | Nintendo  | Game & Watch | 1982 | North America
|       | Helmet                 | Nintendo  | Game & Watch | 1981 | North America
|       | Judge                  | Nintendo  | Game & Watch | 1980 | North America
|       | Lifeboat               | Nintendo  | Game & Watch | 1983 | North America
|       | Lion                   | Nintendo  | Game & Watch | 1981 | North America
|       | Manhole                | Nintendo  | Game & Watch | 1981 | North America
|       | Manhole                | Nintendo  | Game & Watch | 1983 | North America
|       | Mario Bros.            | Nintendo  | Game & Watch | 1983 | North America
|       | Mario the Juggler      | Nintendo  | Game & Watch | 1991 | North America
|       | Mario's Bombs Away     | Nintendo  | Game & Watch | 1983 | North America
|       | Mario's Cement Factory | Nintendo  | Game & Watch | 1983 | North America
|       | Mario's Cement Factory | Nintendo  | Game & Watch | 1983 | North America
|       | Mickey & Donald        | Nintendo  | Game & Watch | 1982 | North America
|       | Mickey Mouse           | Nintendo  | Game & Watch | 1981 | North America
|       | Mickey Mouse           | Nintendo  | Game & Watch | 1984 | North America
|       | Octopus                | Nintendo  | Game & Watch | 1981 | North America
|       | Oil Panic              | Nintendo  | Game & Watch | 1982 | North America
|       | Parachute              | Nintendo  | Game & Watch | 1981 | North America
|       | Pinball                | Nintendo  | Game & Watch | 1983 | North America
|       | Popeye                 | Nintendo  | Game & Watch | 1981 | North America
|       | Popeye                 | Nintendo  | Game & Watch | 1983 | North America
|       | Popeye                 | Nintendo  | Game & Watch | 1983 | North America
|       | Punch-Out!!            | Nintendo  | Game & Watch | 1984 | North America
|       | Rain Shower            | Nintendo  | Game & Watch | 1983 | North America
|       | Safebuster             | Nintendo  | Game & Watch | 1988 | North America
|       | Snoopy                 | Nintendo  | Game & Watch | 1983 | North America
|       | Snoopy                 | Nintendo  | Game & Watch | 1983 | North America
|       | Snoopy Tennis          | Nintendo  | Game & Watch | 1982 | North America
|       | Spitball Sparky        | Nintendo  | Game & Watch | 1984 | North America
|       | Squish                 | Nintendo  | Game & Watch | 1986 | North America
|       | Super Mario Bros.      | Nintendo  | Game & Watch | 1987 | North America
|       | Super Mario Bros.      | Nintendo  | Game & Watch | 1988 | North America
|       | Super Mario Bros.      | Nintendo  | Game & Watch | 1986 | North America
|       | Tropical Fish          | Nintendo  | Game & Watch | 1985 | North America
|       | Turtle Bridge          | Nintendo  | Game & Watch | 1982 | North America
|       | Vermin                 | Nintendo  | Game & Watch | 1980 | North America
|       | Zelda                  | Nintendo  | Game & Watch | 1989 | North America
