|       | 007: The World is Not Enough                                             | Electronic Arts                     | Game Boy Color | 2001 | Europe
|       | 10 Pin Bowling                                                           | Majesco                             | Game Boy Color | 1999 | Europe
|       | 1942                                                                     | Capcom                              | Game Boy Color | 2001 | Europe
|       | 3D Pocket Pool                                                           | Virgin Interactive                  | Game Boy Color | 2001 | Europe
|       | 4x4 World Trophy                                                         | Infogrames                          | Game Boy Color | 2000 | Europe
|       | 720 Degrees                                                              | Midway                              | Game Boy Color | 1999 | Europe
|       | Action Man: Search for Base X                                            | THQ                                 | Game Boy Color | 2001 | Europe
|       | Adventures of the Smurfs, The                                            | Infogrames                          | Game Boy Color | 2001 | Europe
|       | Airaki                                                                   | Furrtek Software Engineering        | Game Boy Color | 2014 | Europe
|       | Airaki                                                                   | Furrtek Software Engineering        | Game Boy Color | 2014 | Europe
|       | Alfred's Adventure                                                       | SCi                                 | Game Boy Color | 2000 | Europe
|       | Alice in Wonderland                                                      | Nintendo                            | Game Boy Color | 2001 | Europe
|       | Aliens: Thanatos Encounter                                               | THQ                                 | Game Boy Color | 2001 | Europe
|       | All Star Tennis 2000                                                     | Ubisoft                             | Game Boy Color | 1999 | Europe
|       | All-Star Baseball 2000                                                   | Acclaim                             | Game Boy Color | 1999 | Europe
|       | Alone in the Dark: The New Nightmare                                     | Infogrames                          | Game Boy Color | 2001 | Europe
|       | Animorphs                                                                | Ubisoft                             | Game Boy Color | 2000 | Europe
|       | Anpfiff: Der RTL Fussball-Manager                                        | THQ                                 | Game Boy Color | 2000 | Europe
|       | Antz                                                                     | Infogrames                          | Game Boy Color | 1999 | Europe
|       | Antz Racing                                                              | Acclaim                             | Game Boy Color | 2001 | Europe
|       | Antz World Sportz                                                        | LSP                                 | Game Boy Color | 2001 | Europe
|       | Armorines: Project S.W.A.R.M.                                            | Acclaim                             | Game Boy Color | 1999 | Europe
|       | Army Men                                                                 | 3DO                                 | Game Boy Color | 2000 | Europe
