|       | ABPA Backgammon                                 | Mattel                    | Intellivision | 1979 | North America
|       | Advanced Dungeons & Dragons                     | Mattel                    | Intellivision | 1982 | North America
|       | Advanced Dungeons & Dragons: Treasure of Tarmin | Mattel                    | Intellivision | 1982 | North America
|       | Air Strike                                      | Mattel                    | Intellivision | 1982 | North America
|       | All-Star Major League Baseball                  | Mattel                    | Intellivision | 1986 | North America
|       | Armor Battle                                    | Mattel                    | Intellivision | 1979 | North America
|       | Astrosmash                                      | Mattel                    | Intellivision | 1981 | North America
|       | Atlantis                                        | Imagic                    | Intellivision | 1982 | North America
|       | Auto Racing                                     | Mattel                    | Intellivision | 1979 | North America
|       | B-17 Bomber                                     | Mattel                    | Intellivision | 1982 | North America
|       | Basketball                                      | Sears                     | Intellivision | 1979 | North America
|       | Beamrider                                       | Activision                | Intellivision | 1983 | North America
|       | Beauty & the Beast                              | Imagic                    | Intellivision | 1982 | North America
|       | Blackjack & Poker                               | Mattel                    | Intellivision | 1979 | North America
|       | Blockade Runner                                 | Interphase                | Intellivision | 1984 | North America
|       | Body Slam Super Pro Wrestling                   | Intellivision Productions | Intellivision | 1988 | North America
|       | Bomb Squad                                      | Mattel                    | Intellivision | 1982 | North America
|       | Boxing                                          | Mattel                    | Intellivision | 1980 | North America
|       | Bump 'n' Jump                                   | Mattel                    | Intellivision | 1983 | North America
|       | BurgerTime                                      | Mattel                    | Intellivision | 1982 | North America
|       | Buzz Bombers                                    | Mattel                    | Intellivision | 1983 | North America
|       | Carnival                                        | Coleco                    | Intellivision | 1982 | North America
|       | Centipede                                       | Atari                     | Intellivision | 1983 | North America
|       | Championship Tennis                             | INTV                      | Intellivision | 1986 | North America
|       | Checkers                                        | Mattel                    | Intellivision | 1979 | North America
|       | Chess                                           | Mattel                    | Intellivision | 1984 | North America
|       | Chip Shot Super Pro Golf                        | Intellivision Productions | Intellivision | 1987 | North America
|       | Commando                                        | INTV                      | Intellivision | 1987 | North America
|       | Congo Bongo                                     | Sega                      | Intellivision | 1983 | North America
|       | Defender                                        | Atari                     | Intellivision | 1983 | North America
|       | Demon Attack                                    | Imagic                    | Intellivision | 1982 | North America
|       | Dig Dug                                         | Intellivision Productions | Intellivision | 1987 | North America
|       | Diner                                           | INTV                      | Intellivision | 1987 | North America
|       | Donkey Kong                                     | Coleco                    | Intellivision | 1982 | North America
|       | Donkey Kong Junior                              | Coleco                    | Intellivision | 1983 | North America
|       | Dracula                                         | Imagic                    | Intellivision | 1983 | North America
|       | Dragonfire                                      | Imagic                    | Intellivision | 1983 | North America
|       | Dreadnaught Factor, The                         | Activision                | Intellivision | 1983 | North America
|       | Duncan's Thin Ice                               | Mattel                    | Intellivision | 1983 | North America
|       | Easter Eggs                                     | Mattel                    | Intellivision | 1981 | North America
|       | Electric Company: Math Fun, The                 | Mattel                    | Intellivision | 1979 | North America
|       | Electric Company: Word Fun, The                 | Mattel                    | Intellivision | 1980 | North America
|       | Fathom                                          | Imagic                    | Intellivision | 1983 | North America
|       | Frog Bog                                        | Mattel                    | Intellivision | 1982 | North America
|       | Frogger                                         | Parker Brothers           | Intellivision | 1983 | North America
|       | Go for the Gold                                 | Mattel                    | Intellivision | 1981 | North America
|       | Golf                                            | Sears                     | Intellivision | 1980 | North America
|       | Grid Shock                                      | Mattel                    | Intellivision | 1982 | North America
|       | Happy Trails                                    | Activision                | Intellivision | 1983 | North America
|       | Hard Hat                                        | Mattel                    | Intellivision | 1979 | North America
|       | Hockey                                          | Sears                     | Intellivision | 1979 | North America
|       | Horse Racing                                    | Mattel                    | Intellivision | 1979 | North America
|       | Hover Force                                     | INTV                      | Intellivision | 1986 | North America
