|       | 4 in 1 Row                       | Philips   | Magnavox Odyssey² | 1982 | Europe
|       | A Labyrinth Game / Supermind     | Philips   | Magnavox Odyssey² | 1981 | Europe
|       | Air Battle!                      | Philips   | Magnavox Odyssey² | 1983 | Europe
|       | Air-Sea War / Battle             | Philips   | Magnavox Odyssey² | 1978 | Europe
|       | Chinese Logic                    | Philips   | Magnavox Odyssey² | 1980 | Europe
|       | Conquest of the World            | Philips   | Magnavox Odyssey² | 1982 | Europe
|       | Electronic Billiards             | Philips   | Magnavox Odyssey² | 1978 | Europe
|       | Electronic Table Football        | Philips   | Magnavox Odyssey² | 1982 | Europe
|       | Flipper Game                     | Philips   | Magnavox Odyssey² | 1980 | Europe
|       | Freedom Fighters                 | Philips   | Magnavox Odyssey² | 1982 | Europe
|       | Gunfighter                       | Philips   | Magnavox Odyssey² | 1980 | Europe
|       | Helicopter Rescue                | Philips   | Magnavox Odyssey² | 1983 | Europe
|       | Jumping Acrobats                 | Philips   | Magnavox Odyssey² | 1981 | Europe
|       | Killer Bees                      | Philips   | Magnavox Odyssey² | 1983 | Europe
|       | Las Vegas Gambling               | Philips   | Magnavox Odyssey² | 1978 | Europe
|       | Loony Balloon!                   | Magnavox  | Magnavox Odyssey² | 1983 | Europe
|       | Munchkin                         | Philips   | Magnavox Odyssey² | 1982 | Europe
|       | Pairs / Space Rendezvous / Logic | Philips   | Magnavox Odyssey² | 1980 | Europe
|       | Pickaxe Pete                     | Philips   | Magnavox Odyssey² | 1982 | Europe
|       | Playschool Maths                 | Philips   | Magnavox Odyssey² | 1979 | Europe
|       | Quest for the Rings, The         | Philips   | Magnavox Odyssey² | 1982 | Europe
|       | Race / Spinout / Cryptogram      | Philips   | Magnavox Odyssey² | 1978 | Europe
|       | Samurai                          | Philips   | Magnavox Odyssey² | 1980 | Europe
|       | Skiing                           | Philips   | Magnavox Odyssey² | 1980 | Europe
|       | Space Monster                    | Philips   | Magnavox Odyssey² | 1980 | Europe
|       | Stone Sling                      | Philips   | Magnavox Odyssey² | 1981 | Europe
|       | Ten Pin Bowling / Basketball     | Philips   | Magnavox Odyssey² | 1978 | Europe
|       | Terrahawks                       | Philips   | Magnavox Odyssey² | 1983 | Europe
