|       | Alien Invaders Plus!                    | Magnavox        | Magnavox Odyssey² | 1980 | North America
|       | Alpine Skiing!                          | Magnavox        | Magnavox Odyssey² | 1979 | North America
|       | Armored Encounter! / Sub Chase!         | Magnavox        | Magnavox Odyssey² | 1978 | North America
|       | Atlantis                                | Imagic          | Magnavox Odyssey² | 1983 | North America
|       | Attack of the Timelord!                 | Magnavox        | Magnavox Odyssey² | 1982 | North America
|       | Baseball!                               | Magnavox        | Magnavox Odyssey² | 1978 | North America
|       | Blockout! / Breakdown!                  | Magnavox        | Magnavox Odyssey² | 1980 | North America
|       | Bowling! / Basketball!                  | Magnavox        | Magnavox Odyssey² | 1978 | North America
|       | Casino Slot Machine!                    | Magnavox        | Magnavox Odyssey² | 1980 | North America
|       | Computer Golf!                          | Magnovox        | Magnavox Odyssey² | 1978 | North America
|       | Computer Intro!                         | Magnavox        | Magnavox Odyssey² | 1979 | North America
|       | Conquest of the World                   | Magnavox        | Magnavox Odyssey² | 1981 | North America
|       | Cosmic Conflict!                        | Magnavox        | Magnavox Odyssey² | 1978 | North America
|       | Demon Attack                            | Imagic          | Magnavox Odyssey² | 1983 | North America
|       | Dynasty!                                | Magnavox        | Magnavox Odyssey² | 1979 | North America
|       | Electronic Table Soccer!                | Magnavox        | Magnavox Odyssey² | 1980 | North America
|       | Football!                               | Magnavox        | Magnavox Odyssey² | 1978 | North America
|       | Freedom Fighters!                       | Magnavox        | Magnavox Odyssey² | 1982 | North America
|       | Frogger                                 | Parker Brothers | Magnavox Odyssey² | 1982 | North America
|       | Great Wall Street Fortune Hunt, The     | Magnavox        | Magnavox Odyssey² | 1982 | North America
|       | Hockey! / Soccer!                       | Magnavox        | Magnavox Odyssey² | 1979 | North America
|       | I've Got Your Number!                   | Magnavox        | Magnavox Odyssey² | 1979 | North America
|       | Invaders from Hyperspace!               | Magnavox        | Magnavox Odyssey² | 1979 | North America
|       | K.C. Munchkin!                          | Magnavox        | Magnavox Odyssey² | 1981 | North America
|       | K.C.'s Krazy Chase!                     | Magnavox        | Magnavox Odyssey² | 1982 | North America
|       | Keyboard Creations!                     | Magnavox        | Magnavox Odyssey² | 1981 | North America
|       | Killer Bees!                            | Magnavox        | Magnavox Odyssey² | 1983 | North America
|       | Las Vegas Blackjack!                    | Magnavox        | Magnavox Odyssey² | 1978 | North America
|       | Matchmaker! / Buzzword! / Logix!        | Magnavox        | Magnavox Odyssey² | 1978 | North America
|       | Math-a-Magic! / Echo!                   | Magnavox        | Magnavox Odyssey² | 1978 | North America
|       | Monkeyshines!                           | Magnavox        | Magnavox Odyssey² | 1981 | North America
|       | Nimble Numbers Ned                      | Magnavox        | Magnavox Odyssey² | 1982 | North America
|       | Out of this World! / Helicopter Rescue! | Magnavox        | Magnavox Odyssey² | 1979 | North America
|       | P.T. Barnum's Acrobats!                 | Magnavox        | Magnavox Odyssey² | 1982 | North America
|       | Pachinko!                               | Magnavox        | Magnavox Odyssey² | 1980 | North America
|       | Pick Axe Pete!                          | Magnavox        | Magnavox Odyssey² | 1982 | North America
|       | Pocket Billiards!                       | Magnavox        | Magnavox Odyssey² | 1980 | North America
|       | Popeye                                  | Parker Brothers | Magnavox Odyssey² | 1983 | North America
|       | Power Lords                             | Magnavox        | Magnavox Odyssey² | 1983 | North America
|       | Quest for the Rings, The                | Magnavox        | Magnavox Odyssey² | 1981 | North America
|       | Showdown in 2100 A.D.                   | Magnavox        | Magnavox Odyssey² | 1979 | North America
|       | Sid the Spellbinder                     | Magnavox        | Magnavox Odyssey² | 1982 | North America
|       | Smithereens!                            | Magnavox        | Magnavox Odyssey² | 1982 | North America
|       | Speedway! / Spin-Out! / Crypto-Logic!   | Magnavox        | Magnavox Odyssey² | 1978 | North America
|       | Take the Money and Run!                 | Magnavox        | Magnavox Odyssey² | 1978 | North America
|       | Thunderball!                            | Magnavox        | Magnavox Odyssey² | 1979 | North America
|       | Turtles                                 | Magnavox        | Magnavox Odyssey² | 1983 | North America
|       | Type & Tell                             | Magnavox        | Magnavox Odyssey² | 1982 | North America
|       | UFO!                                    | Magnavox        | Magnavox Odyssey² | 1982 | North America
|       | Volleyball!                             | Magnavox        | Magnavox Odyssey² | 1980 | North America
|       | War of Nerves!                          | Magnavox        | Magnavox Odyssey² | 1979 | North America
|       | 4 in 1 Row                       | Philips   | Magnavox Odyssey² | 1982 | Europe
|       | A Labyrinth Game / Supermind     | Philips   | Magnavox Odyssey² | 1981 | Europe
|       | Air Battle!                      | Philips   | Magnavox Odyssey² | 1983 | Europe
|       | Air-Sea War / Battle             | Philips   | Magnavox Odyssey² | 1978 | Europe
|       | Chinese Logic                    | Philips   | Magnavox Odyssey² | 1980 | Europe
|       | Conquest of the World            | Philips   | Magnavox Odyssey² | 1982 | Europe
|       | Electronic Billiards             | Philips   | Magnavox Odyssey² | 1978 | Europe
|       | Electronic Table Football        | Philips   | Magnavox Odyssey² | 1982 | Europe
|       | Flipper Game                     | Philips   | Magnavox Odyssey² | 1980 | Europe
|       | Freedom Fighters                 | Philips   | Magnavox Odyssey² | 1982 | Europe
|       | Gunfighter                       | Philips   | Magnavox Odyssey² | 1980 | Europe
|       | Helicopter Rescue                | Philips   | Magnavox Odyssey² | 1983 | Europe
|       | Jumping Acrobats                 | Philips   | Magnavox Odyssey² | 1981 | Europe
|       | Killer Bees                      | Philips   | Magnavox Odyssey² | 1983 | Europe
|       | Las Vegas Gambling               | Philips   | Magnavox Odyssey² | 1978 | Europe
|       | Loony Balloon!                   | Magnavox  | Magnavox Odyssey² | 1983 | Europe
|       | Munchkin                         | Philips   | Magnavox Odyssey² | 1982 | Europe
|       | Pairs / Space Rendezvous / Logic | Philips   | Magnavox Odyssey² | 1980 | Europe
|       | Pickaxe Pete                     | Philips   | Magnavox Odyssey² | 1982 | Europe
|       | Playschool Maths                 | Philips   | Magnavox Odyssey² | 1979 | Europe
|       | Quest for the Rings, The         | Philips   | Magnavox Odyssey² | 1982 | Europe
|       | Race / Spinout / Cryptogram      | Philips   | Magnavox Odyssey² | 1978 | Europe
|       | Samurai                          | Philips   | Magnavox Odyssey² | 1980 | Europe
|       | Skiing                           | Philips   | Magnavox Odyssey² | 1980 | Europe
|       | Space Monster                    | Philips   | Magnavox Odyssey² | 1980 | Europe
|       | Stone Sling                      | Philips   | Magnavox Odyssey² | 1981 | Europe
|       | Ten Pin Bowling / Basketball     | Philips   | Magnavox Odyssey² | 1978 | Europe
|       | Terrahawks                       | Philips   | Magnavox Odyssey² | 1983 | Europe
