|       | 100% Pascal Sensei: Kanpeki Paint Bombers                                                                                    | Konami                                 | Nintendo 3DS | 2017 | Japan
|       | 12-Sai. Honto no Kimochi                                                                                                     | Happinet                               | Nintendo 3DS | 2014 | Japan
|       | 12-Sai. Koisuru Diary                                                                                                        | Happinet                               | Nintendo 3DS | 2016 | Japan
|       | 12-Sai. Torokeru Puzzle Futari no Harmony                                                                                    | Happinet                               | Nintendo 3DS | 2017 | Japan
|       | 7th Dragon III Code: VFD                                                                                                     | Sega                                   | Nintendo 3DS | 2016 | Japan
|       | A-Ressha de Ikou 3D                                                                                                          | Artdink                                | Nintendo 3DS | 2014 | Japan
|       | A-Ressha de Ikou 3D                                                                                                          | Artdink                                | Nintendo 3DS | 2014 | Japan
|       | A-Ressha de Ikou 3D NEO                                                                                                      | Artdink                                | Nintendo 3DS | 2016 | Japan
|       | Ace Combat 3D: Cross Rumble                                                                                                  | Bandai Namco Games                     | Nintendo 3DS | 2011 | Japan
|       | Ace Combat 3D: Cross Rumble+                                                                                                 | Bandai Namco Games                     | Nintendo 3DS | 2015 | Japan
|       | Acrylic Palette: Irodori Cafe - Cheers                                                                                       | Klon Co., Ltd.                         | Nintendo 3DS | 2012 | Japan
|       | Adventure Time: Nameless Oukoku no Sannin no Princess                                                                        | Bergsala-Lightweight                   | Nintendo 3DS | 2014 | Japan
|       | Aikatsu Stars! My Special Appeal                                                                                             | Bandai Namco Games                     | Nintendo 3DS | 2016 | Japan
|       | Aikatsu! 2-nin no My Princess                                                                                                | Bandai Namco Games                     | Nintendo 3DS | 2013 | Japan
|       | Aikatsu! 365-Hi no Idol Days                                                                                                 | Bandai Namco Games                     | Nintendo 3DS | 2014 | Japan
|       | Aikatsu! Cinderella Lesson                                                                                                   | Bandai Namco Games                     | Nintendo 3DS | 2012 | Japan
|       | Aikatsu! My No.1 Stage!                                                                                                      | Bandai Namco Games                     | Nintendo 3DS | 2015 | Japan
|       | AKB48+Me                                                                                                                     | Kadokawa                               | Nintendo 3DS | 2012 | Japan
|       | All Kamen Rider: Rider Revolution                                                                                            | Bandai Namco Games                     | Nintendo 3DS | 2016 | Japan
|       | Alliance Alive, The                                                                                                          | FuRyu                                  | Nintendo 3DS | 2017 | Japan
|       | Animal Resort: Dobutsuen o Tsukurou!!                                                                                        | Marvelous Entertainment                | Nintendo 3DS | 2011 | Japan
|       | Anpanman to Asobo: New Aiueo Kyoushitsu                                                                                      | Agatsuma Entertainment                 | Nintendo 3DS | 2014 | Japan
