|       | 3D Game Collection: 55-in-1                                                          | Mastertronic                           | Nintendo 3DS | 2012 | Europe
|       | 3D Mahjongg                                                                          | Purple Hills                           | Nintendo 3DS | 2012 | Europe
|       | 4 Elements                                                                           | Licensed 4U                            | Nintendo 3DS | 2012 | Europe
|       | 50 Classic Games                                                                     | Avanquest Software                     | Nintendo 3DS | 2012 | Europe
|       | 7th Dragon III Code: VFD                                                             | Deep Silver                            | Nintendo 3DS | 2016 | Europe
|       | Ace Combat: Assault Horizon Legacy                                                   | Namco Bandai Games                     | Nintendo 3DS | 2011 | Europe
|       | Ace Combat: Assault Horizon Legacy+                                                  | Bandai Namco Games                     | Nintendo 3DS | 2015 | Europe
|       | Adventure Time: Explore the Dungeon Because I DON'T KNOW!                            | Namco Bandai Games                     | Nintendo 3DS | 2013 | Europe
|       | Adventure Time: Finn and Jake Investigations                                         | Little Orbit                           | Nintendo 3DS | 2015 | Europe
|       | Adventure Time: The Secret of the Nameless Kingdom                                   | Little Orbit                           | Nintendo 3DS | 2014 | Europe
|       | Adventures of Tintin: The Secret of the Unicorn, The                                 | Ubisoft                                | Nintendo 3DS | 2011 | Europe
|       | AeternoBlade                                                                         | Corecell Technology                    | Nintendo 3DS | 2014 | Europe
|       | Alexandra Ledermann 3D                                                               | Ubisoft                                | Nintendo 3DS | 2013 | Europe
|       | Amazing Spider-Man 2, The                                                            | Activision                             | Nintendo 3DS | 2014 | Europe
|       | Amazing Spider-Man, The                                                              | Activision                             | Nintendo 3DS | 2012 | Europe
|       | Angler's Club: Ultimate Bass Fishing 3D                                              | D3Publisher                            | Nintendo 3DS | 2011 | Europe
|       | Angry Birds Star Wars                                                                | Activision                             | Nintendo 3DS | 2013 | Europe
|       | Angry Birds Trilogy                                                                  | Activision                             | Nintendo 3DS | 2012 | Europe
|       | Animal Crossing: Happy Home Designer                                                 | Nintendo                               | Nintendo 3DS | 2015 | Europe
|       | Animal Crossing: New Leaf                                                            | Nintendo                               | Nintendo 3DS | 2013 | Europe
|       | Animal Crossing: New Leaf - Welcome Amiibo                                           | Nintendo                               | Nintendo 3DS | 2016 | Europe
|       | Animal Hospital                                                                      | BigBen Interactive                     | Nintendo 3DS | 2013 | Europe
|       | AR Games                                                                             | Nintendo                               | Nintendo 3DS | 2011 | Europe
|       | Arcade Classics 3D                                                                   | Enjoy Gaming                           | Nintendo 3DS | 2012 | Europe
|       | Around the World with Hello Kitty & Friends                                          | Rising Star Games                      | Nintendo 3DS | 2013 | Europe
|       | Asphalt 3D                                                                           | Ubisoft                                | Nintendo 3DS | 2011 | Europe
|       | Asterix: The Mansions of the Gods                                                    | BigBen Interactive                     | Nintendo 3DS | 2014 | Europe
|       | Atlantic Quest                                                                       | Joindots                               | Nintendo 3DS | 2014 | Europe
|       | Azada                                                                                | MSL                                    | Nintendo 3DS | 2012 | Europe
|       | Barbie and Her Sisters: Puppy Rescue                                                 | Little Orbit                           | Nintendo 3DS | 2015 | Europe
|       | Barbie Dreamhouse Party                                                              | Little Orbit                           | Nintendo 3DS | 2013 | Europe
|       | Barbie: Groom and Glam Pups                                                          | Little Orbit                           | Nintendo 3DS | 2013 | Europe
|       | Batman: Arkham Origins Blackgate                                                     | Warner Bros. Interactive Entertainment | Nintendo 3DS | 2013 | Europe
|       | Battleship                                                                           | Activision                             | Nintendo 3DS | 2012 | Europe
|       | Bella Sara 2: The Magic of Drasilmare                                                | BigBen Interactive                     | Nintendo 3DS | 2013 | Europe
|       | Bella Sara: The Magical Horse Adventures                                             | BigBen Interactive                     | Nintendo 3DS | 2012 | Europe
|       | Ben 10 Omniverse 2                                                                   | D3Publisher                            | Nintendo 3DS | 2013 | Europe
