|       | * Kayou Generation, The                                                                                                                             | AQ Interactive               | Nintendo DS | 2009 | Japan
|       | 1-Nichi-10-Pun de E ga Jouzu ni Kakeru DS                                                                                                           | Agatsuma Entertainment       | Nintendo DS | 2008 | Japan
|       | 100 Kiri Golf DS                                                                                                                                    | GungHo                       | Nintendo DS | 2008 | Japan
|       | 13-Sai no Hello Work DS                                                                                                                             | Digital Works Entertainment  | Nintendo DS | 2008 | Japan
|       | 1500DS Spirits Vol. 1: Mahjong                                                                                                                      | Tasuke                       | Nintendo DS | 2007 | Japan
|       | 1500DS Spirits Vol. 10: Igo                                                                                                                         | Tasuke                       | Nintendo DS | 2008 | Japan
|       | 1500DS Spirits Vol. 2: Shogi                                                                                                                        | Tasuke                       | Nintendo DS | 2007 | Japan
|       | 1500DS Spirits Vol. 3: Block Kuzushi                                                                                                                | Tasuke                       | Nintendo DS | 2007 | Japan
|       | 1500DS Spirits Vol. 4: Reversi                                                                                                                      | Tasuke                       | Nintendo DS | 2007 | Japan
|       | 1500DS Spirits Vol. 5: Hanafuda                                                                                                                     | Tasuke                       | Nintendo DS | 2007 | Japan
|       | 1500DS Spirits Vol. 6: Trump                                                                                                                        | Tasuke                       | Nintendo DS | 2007 | Japan
|       | 1500DS Spirits Vol. 7: Chess                                                                                                                        | Tasuke                       | Nintendo DS | 2007 | Japan
|       | 1500DS Spirits Vol. 8: Darts                                                                                                                        | Tasuke                       | Nintendo DS | 2007 | Japan
|       | 1500DS Spirits Vol. 9: Futari-uchi Mahjong                                                                                                          | Tasuke                       | Nintendo DS | 2007 | Japan
|       | 1500DS Spirits: Mahjong V                                                                                                                           | Tasuke                       | Nintendo DS | 2009 | Japan
|       | 1500DS Spirits: Shogi V                                                                                                                             | Tasuke                       | Nintendo DS | 2009 | Japan
|       | 5-Kyuu kara 1-Kyuu Kanzen Taiou: Saishin Kako Mondai - 2-Ji Shiken Taisaku - Eiken Kanzenban                                                        | IE Institute                 | Nintendo DS | 2009 | Japan
|       | 700-Banjin no Atama o Yokusuru: Chou Keisan DS - 13000-Mon + Image Keisan                                                                           | IE Institute                 | Nintendo DS | 2009 | Japan
|       | 7th Dragon                                                                                                                                          | Sega                         | Nintendo DS | 2009 | Japan
|       | 99 no Namida                                                                                                                                        | Bandai Namco Games           | Nintendo DS | 2008 | Japan
|       | A-Ressha de Ikou DS                                                                                                                                 | Artdink                      | Nintendo DS | 2009 | Japan
|       | A-Ressha de Ikou DS: Navigation Pack                                                                                                                | Artdink                      | Nintendo DS | 2010 | Japan
|       | Again: FBI Chou-Shinri Sousakan                                                                                                                     | Tecmo                        | Nintendo DS | 2009 | Japan
|       | Aibou DS                                                                                                                                            | Tecmo                        | Nintendo DS | 2009 | Japan
|       | Akachan wa Doko Kara Kuru no?                                                                                                                       | Sega                         | Nintendo DS | 2005 | Japan
|       | Akagawa Jirou Mystery: Tsuki no Hikari                                                                                                              | Marvelous Entertainment      | Nintendo DS | 2008 | Japan
|       | Akagawa Jirou Mystery: Yasoukyoku - Hon ni Manekareta Satsujin                                                                                      | Marvelous Entertainment      | Nintendo DS | 2008 | Japan
|       | Akai Ito Destiny DS                                                                                                                                 | Alchemist                    | Nintendo DS | 2009 | Japan
|       | Akai Ito DS                                                                                                                                         | Alchemist                    | Nintendo DS | 2008 | Japan
|       | Akiyama Jin Kyouju Kanshuu: Zennou JinJin                                                                                                           | ASK                          | Nintendo DS | 2006 | Japan
|       | Akiyama Jin Kyouju Kanshuu: Zennou JinJin 2                                                                                                         | ASK                          | Nintendo DS | 2009 | Japan
|       | Akko de Pon! Ikasama Hourouki                                                                                                                       | Success                      | Nintendo DS | 2008 | Japan
|       | Akko ni Omakase! Brain Shock                                                                                                                        | Taito Corporation            | Nintendo DS | 2006 | Japan
|       | Akogare Girls Collection: Lovely Youchien                                                                                                           | Creative Core                | Nintendo DS | 2009 | Japan
|       | Akogare Girls Collection: Mister Donut DS                                                                                                           | Columbia Music Entertainment | Nintendo DS | 2010 | Japan
|       | Akogare Girls Collection: Ohanaya-San Monogatari                                                                                                    | Columbia Music Entertainment | Nintendo DS | 2011 | Japan
|       | Akogare Girls Collection: Pika Pika Nurse Monogatari                                                                                                | Nippon Columbia              | Nintendo DS | 2011 | Japan
|       | Akogare Girls Collection: Suteki ni Nurse Days                                                                                                      | Creative Core                | Nintendo DS | 2009 | Japan
|       | Akumajou Dracula: Gallery of Labyrinth                                                                                                              | Konami                       | Nintendo DS | 2006 | Japan
|       | Akumajou Dracula: Sougetsu no Juujika                                                                                                               | Konami                       | Nintendo DS | 2005 | Japan
|       | Akumajou Dracula: Ubawareta Kokuin                                                                                                                  | Konami                       | Nintendo DS | 2008 | Japan
|       | ALC no 10-Punkan Eigo Master: Chuukyuu                                                                                                              | Interchannel                 | Nintendo DS | 2007 | Japan
|       | ALC no 10-Punkan Eigo Master: Joukyuu                                                                                                               | Interchannel                 | Nintendo DS | 2007 | Japan
