|       | '89 Dennou Kyuusei Uranai                                                | Jingukan Polaris             | Nintendo Entertainment System | 1988 | Japan
|       | $1,000,000 Kid: Maboroshi no Teiou Hen                                   | Sofel                        | Nintendo Entertainment System | 1989 | Japan
|       | 10-Yard Fight                                                            | Irem                         | Nintendo Entertainment System | 1985 | Japan
|       | 1942                                                                     | Capcom                       | Nintendo Entertainment System | 1985 | Japan
|       | 1943: The Battle of Valhalla                                             | Capcom                       | Nintendo Entertainment System | 1988 | Japan
|       | 1999 Hore, Mitakotoka! Seikimatsu                                        | Coconuts Japan               | Nintendo Entertainment System | 1992 | Japan
|       | 2010: Street Fighter                                                     | Capcom                       | Nintendo Entertainment System | 1990 | Japan
|       | 4 Nin uchi Mahjong                                                       | Nintendo                     | Nintendo Entertainment System | 1984 | Japan
|       | 8 Eye's                                                                  | Seta Corporation             | Nintendo Entertainment System | 1988 | Japan
|       | A-Ressha de Ikou                                                         | Pony Canyon                  | Nintendo Entertainment System | 1991 | Japan
|       | Aa Yakyuu Jinsei Icchokusen                                              | Sammy Studios                | Nintendo Entertainment System | 1992 | Japan
|       | Abadox                                                                   | Natsume                      | Nintendo Entertainment System | 1989 | Japan
|       | Abarenbou Tengu                                                          | Meldac                       | Nintendo Entertainment System | 1990 | Japan
|       | Aces: Iron Eagle III                                                     | Pack-In-Video                | Nintendo Entertainment System | 1992 | Japan
|       | Advanced Dungeons & Dragons: Dragons of Flame                            | Pony Canyon                  | Nintendo Entertainment System | 1992 | Japan
|       | Advanced Dungeons & Dragons: Heroes of the Lance                         | Pony Canyon                  | Nintendo Entertainment System | 1991 | Japan
|       | Advanced Dungeons & Dragons: Hillsfar                                    | Pony Canyon                  | Nintendo Entertainment System | 1991 | Japan
|       | Advanced Dungeons & Dragons: Pool of Radiance                            | Pony Canyon                  | Nintendo Entertainment System | 1991 | Japan
|       | Adventures of Lolo                                                       | HAL Labs                     | Nintendo Entertainment System | 1990 | Japan
|       | Adventures of Lolo II                                                    | HAL Labs                     | Nintendo Entertainment System | 1990 | Japan
|       | After Burner II                                                          | SunSoft                      | Nintendo Entertainment System | 1989 | Japan
|       | Ai Sensei no Oshiete: Watashi no Hoshi                                   | Irem                         | Nintendo Entertainment System | 1993 | Japan
|       | Aigiina no Yogen: Balubalouk no Densetsu Yori                            | Vic Tokai                    | Nintendo Entertainment System | 1986 | Japan
|       | Aigina no Yogen: Balubalouk no Densetsu Yori                             | Vic Tokai                    | Nintendo Entertainment System | 1986 | Japan
|       | Air Fortress                                                             | HAL Labs                     | Nintendo Entertainment System | 1987 | Japan
|       | Airwolf                                                                  | Kyugo Boueki                 | Nintendo Entertainment System | 1988 | Japan
|       | Akagawa Jirou no Yuurei Ressha                                           | King Records                 | Nintendo Entertainment System | 1991 | Japan
|       | Akira                                                                    | Taito Corporation            | Nintendo Entertainment System | 1988 | Japan
|       | Akuma no Shoutaijou                                                      | Kemco                        | Nintendo Entertainment System | 1989 | Japan
|       | Akuma-kun: Makai no Wana                                                 | Bandai                       | Nintendo Entertainment System | 1990 | Japan
|       | Akumajou Densetsu                                                        | Konami                       | Nintendo Entertainment System | 1989 | Japan
|       | Akumajou Dracula                                                         | Konami                       | Nintendo Entertainment System | 1993 | Japan
|       | Akumajou Special: Boku Dracula-kun                                       | Konami                       | Nintendo Entertainment System | 1990 | Japan
|       | Alien Syndrome                                                           | SunSoft                      | Nintendo Entertainment System | 1988 | Japan
|       | America Daitouryou Senkyo: United State Presidental Race                 | Hect                         | Nintendo Entertainment System | 1988 | Japan
|       | America Daitouryou Senkyo: United State Presidential Race                | Hect                         | Nintendo Entertainment System | 1988 | Japan
|       | America Oudan Ultra Quiz: Shijou Saidai no Tatakai                       | Tomy Corporation             | Nintendo Entertainment System | 1991 | Japan
|       | American Dream                                                           | Coconuts Japan               | Nintendo Entertainment System | 1989 | Japan
|       | American Football: Touch Down Fever                                      | K Amusement Leasing          | Nintendo Entertainment System | 1988 | Japan
|       | Ankoku Shinwa: Yamato Takeru Densetsu                                    | Tokyo Shoseki                | Nintendo Entertainment System | 1989 | Japan
|       | Aoki Ookami to Shiroki Mejika: Genchou Hishi                             | Koei                         | Nintendo Entertainment System | 1993 | Japan
|       | Aoki Ookami to Shiroki Mejika: Genghis Khan                              | Koei                         | Nintendo Entertainment System | 1989 | Japan
|       | Arabian Dream Scheherazade                                               | Culture Brain                | Nintendo Entertainment System | 1987 | Japan
|       | Arctic                                                                   | Pony Canyon                  | Nintendo Entertainment System | 1990 | Japan
|       | Argos no Senshi: Hachamecha Daishingeki                                  | Tecmo                        | Nintendo Entertainment System | 1987 | Japan
|       | Argus                                                                    | Jaleco Entertainment         | Nintendo Entertainment System | 1986 | Japan
|       | Arkanoid                                                                 | Taito Corporation            | Nintendo Entertainment System | 1986 | Japan
|       | Arkanoid II                                                              | Taito Corporation            | Nintendo Entertainment System | 1988 | Japan
|       | Armadillo                                                                | IGS (Japan)                  | Nintendo Entertainment System | 1991 | Japan
|       | Artelius                                                                 | Nihon Bussan                 | Nintendo Entertainment System | 1987 | Japan
|       | Asmik-Kun Land                                                           | Asmik Ace Entertainment, Inc | Nintendo Entertainment System | 1991 | Japan
|       | ASO: Armored Scrum Object                                                | SNK                          | Nintendo Entertainment System | 1986 | Japan
|       | Astro Fang: Super Machine                                                | A-Wave                       | Nintendo Entertainment System | 1990 | Japan
|       | Astro Robo Sasa                                                          | ASCII Entertainment          | Nintendo Entertainment System | 1985 | Japan
|       | Athena                                                                   | SNK                          | Nintendo Entertainment System | 1987 | Japan
|       | Atlantis no Nazo                                                         | SunSoft                      | Nintendo Entertainment System | 1986 | Japan
|       | Attack Animal Gakuen                                                     | Pony Canyon                  | Nintendo Entertainment System | 1987 | Japan
|       | B-Wings                                                                  | Data East                    | Nintendo Entertainment System | 1986 | Japan
|       | Babel no Tou                                                             | Namco                        | Nintendo Entertainment System | 1986 | Japan
|       | Baken Hisshou Gaku: Gate In                                              | K Amusement Leasing          | Nintendo Entertainment System | 1990 | Japan
|       | Bakushou: Ai no Gekijou                                                  | Coconuts Japan               | Nintendo Entertainment System | 1990 | Japan
|       | Bakushou! Star Monomane Shitenou                                         | Pack-In-Video                | Nintendo Entertainment System | 1990 | Japan
|       | Bakushou!! Jinsei Gekijou                                                | Taito Corporation            | Nintendo Entertainment System | 1989 | Japan
|       | Bakushou!! Jinsei Gekijou 2                                              | Taito Corporation            | Nintendo Entertainment System | 1991 | Japan
|       | Bakushou!! Jinsei Gekijou 3                                              | Taito Corporation            | Nintendo Entertainment System | 1991 | Japan
|       | Ballblazer                                                               | Pony Canyon                  | Nintendo Entertainment System | 1988 | Japan
|       | Balloon Fight                                                            | Nintendo                     | Nintendo Entertainment System | 1985 | Japan
|       | Baltron                                                                  | Toei Animation               | Nintendo Entertainment System | 1986 | Japan
|       | Banana                                                                   | Victor Interactive Software  | Nintendo Entertainment System | 1986 | Japan
|       | Bananan Ouji no Daibouken                                                | Takara                       | Nintendo Entertainment System | 1991 | Japan
|       | Barcode World                                                            | SunSoft                      | Nintendo Entertainment System | 1992 | Japan
|       | Bard's Tale II: The Destiny Knight, The                                  | Pony Canyon                  | Nintendo Entertainment System | 1992 | Japan
|       | Bard's Tale, The                                                         | Pony Canyon                  | Nintendo Entertainment System | 1990 | Japan
|       | Baseball                                                                 | Nintendo                     | Nintendo Entertainment System | 1983 | Japan
|       | Baseball Fighter                                                         | Vap                          | Nintendo Entertainment System | 1991 | Japan
|       | Baseball Star: Mezase Sankanou                                           | SNK                          | Nintendo Entertainment System | 1989 | Japan
|       | Batman                                                                   | SunSoft                      | Nintendo Entertainment System | 1989 | Japan
|       | Bats & Terry                                                             | Use                          | Nintendo Entertainment System | 1987 | Japan
|       | Battle Baseball                                                          | Banpresto                    | Nintendo Entertainment System | 1993 | Japan
|       | Battle City                                                              | Namco                        | Nintendo Entertainment System | 1985 | Japan
|       | Battle Fleet                                                             | Namco                        | Nintendo Entertainment System | 1990 | Japan
|       | Battle Formula                                                           | SunSoft                      | Nintendo Entertainment System | 1991 | Japan
|       | Battle Rush: Build Up Robot Tournament                                   | B-AI                         | Nintendo Entertainment System | 1993 | Japan
|       | Battle Stadium: Senbatsu Pro Yakyuu                                      | IGS (Japan)                  | Nintendo Entertainment System | 1990 | Japan
|       | Battle Storm                                                             | Yonezawa PR21                | Nintendo Entertainment System | 1991 | Japan
|       | Battletoads                                                              | NCS                          | Nintendo Entertainment System | 1991 | Japan
|       | Be-Bop High School: Koukousei Gokuraku Densetsu                          | Data East                    | Nintendo Entertainment System | 1988 | Japan
|       | Best Keiba Derby Stallion                                                | ASCII Entertainment          | Nintendo Entertainment System | 1991 | Japan
|       | Best Play Pro Yakyuu                                                     | ASCII Entertainment          | Nintendo Entertainment System | 1988 | Japan
|       | Best Play Pro Yakyuu '90                                                 | ASCII Entertainment          | Nintendo Entertainment System | 1990 | Japan
|       | Best Play Pro Yakyuu II                                                  | ASCII Entertainment          | Nintendo Entertainment System | 1990 | Japan
|       | Best Play Pro Yakyuu Special                                             | ASCII Entertainment          | Nintendo Entertainment System | 1992 | Japan
|       | Bikkuri Nekketsu Shin Kiroku! Harukanaru Kin Medal                       | Technos                      | Nintendo Entertainment System | 1992 | Japan
|       | Bikkuriman World: Gekitou Sei Senshi                                     | Hudson                       | Nintendo Entertainment System | 1990 | Japan
|       | Binary Land                                                              | Hudson                       | Nintendo Entertainment System | 1985 | Japan
|       | Bio Senshi Dan: Increaser tono Tatakai                                   | Jaleco Entertainment         | Nintendo Entertainment System | 1987 | Japan
|       | Bio-Miracle Bokutte Upa                                                  | Konami                       | Nintendo Entertainment System | 1993 | Japan
|       | Bird Week                                                                | Toshiba EMI                  | Nintendo Entertainment System | 1986 | Japan
|       | Black Bass II, The                                                       | Hot-B                        | Nintendo Entertainment System | 1988 | Japan
|       | Black Bass, The                                                          | Hot-B                        | Nintendo Entertainment System | 1987 | Japan
|       | Blodia Land: Puzzle Quest                                                | Tonkin House                 | Nintendo Entertainment System | 1990 | Japan
|       | Bloody Warriors: Shango no Gyakushuu                                     | Toei Animation               | Nintendo Entertainment System | 1990 | Japan
|       | Blue Marlin, The                                                         | Hot-B                        | Nintendo Entertainment System | 1991 | Japan
|       | Bokosuka Wars                                                            | ASCII Entertainment          | Nintendo Entertainment System | 1985 | Japan
|       | Bomber King                                                              | Hudson                       | Nintendo Entertainment System | 1987 | Japan
|       | Bomberman                                                                | Hudson                       | Nintendo Entertainment System | 1985 | Japan
|       | Bomberman II                                                             | Hudson                       | Nintendo Entertainment System | 1991 | Japan
|       | Booby Kids                                                               | Nihon Bussan                 | Nintendo Entertainment System | 1987 | Japan
|       | Boulder Dash                                                             | Data East                    | Nintendo Entertainment System | 1990 | Japan
|       | Bubble Bobble 2                                                          | Taito Corporation            | Nintendo Entertainment System | 1993 | Japan
|       | Bucky O'Hare                                                             | Konami                       | Nintendo Entertainment System | 1992 | Japan
|       | Buggy Popper                                                             | Data East                    | Nintendo Entertainment System | 1986 | Japan
|       | Burai Fighter                                                            | Taito Corporation            | Nintendo Entertainment System | 1990 | Japan
|       | BurgerTime                                                               | Namco                        | Nintendo Entertainment System | 1985 | Japan
|       | Business Wars                                                            | Hect                         | Nintendo Entertainment System | 1992 | Japan
|       | Cadillac                                                                 | Hect                         | Nintendo Entertainment System | 1990 | Japan
|       | Capcom Barcelona '92                                                     | Capcom                       | Nintendo Entertainment System | 1992 | Japan
|       | Captain Ed                                                               | CBS Sony Group               | Nintendo Entertainment System | 1989 | Japan
|       | Captain Saver                                                            | Taito Corporation            | Nintendo Entertainment System | 1992 | Japan
|       | Captain Silver                                                           | Tokuma Shoten                | Nintendo Entertainment System | 1988 | Japan
|       | Captain Tsubasa                                                          | Tecmo                        | Nintendo Entertainment System | 1988 | Japan
|       | Captain Tsubasa II: Super Striker                                        | Tecmo                        | Nintendo Entertainment System | 1990 | Japan
|       | Casino Derby & Super Bingo                                               | Yonezawa PR21                | Nintendo Entertainment System | 1993 | Japan
|       | Castle Excellent                                                         | ASCII Entertainment          | Nintendo Entertainment System | 1986 | Japan
|       | Castle Quest                                                             | Hudson                       | Nintendo Entertainment System | 1990 | Japan
|       | Chack'n Pop                                                              | Taito Corporation            | Nintendo Entertainment System | 1985 | Japan
|       | Challenger                                                               | Hudson                       | Nintendo Entertainment System | 1985 | Japan
|       | Championship Bowling                                                     | Athena                       | Nintendo Entertainment System | 1991 | Japan
|       | Championship Lode Runner                                                 | Hudson                       | Nintendo Entertainment System | 1985 | Japan
|       | Chaos World                                                              | Natsume                      | Nintendo Entertainment System | 1991 | Japan
|       | Chase H.Q.                                                               | Taito Corporation            | Nintendo Entertainment System | 1989 | Japan
|       | Chester Field: Ankoku Shin e no Chousen                                  | Vic Tokai                    | Nintendo Entertainment System | 1987 | Japan
|       | Chibi Maruko-Chan: Uki Uki Shopping                                      | Namco                        | Nintendo Entertainment System | 1991 | Japan
|       | Chiisana Obake: Acchi Socchi Kocchi                                      | Vap                          | Nintendo Entertainment System | 1992 | Japan
|       | Chiki Chiki Machine Mou Race                                             | ATLUS                        | Nintendo Entertainment System | 1991 | Japan
|       | Chip to Dale no Daisakusen                                               | Capcom                       | Nintendo Entertainment System | 1990 | Japan
|       | Chitei Senkou Bazolder                                                   | Sofel                        | Nintendo Entertainment System | 1991 | Japan
|       | Chiyonofuji no Ooichou                                                   | Face                         | Nintendo Entertainment System | 1990 | Japan
|       | Choplifter                                                               | Jaleco Entertainment         | Nintendo Entertainment System | 1986 | Japan
|       | Chou-Wakusei Senki MetaFight                                             | SunSoft                      | Nintendo Entertainment System | 1988 | Japan
|       | Choujikuu Yousai Macross                                                 | Bandai                       | Nintendo Entertainment System | 1985 | Japan
|       | Choujin Sentai Jetman                                                    | Angel (Bandai)               | Nintendo Entertainment System | 1991 | Japan
|       | Choujin Ultra Baseball                                                   | Culture Brain                | Nintendo Entertainment System | 1989 | Japan
|       | Choujinrou Senki Warwolf                                                 | Takara                       | Nintendo Entertainment System | 1991 | Japan
|       | Chuka Taisen                                                             | Taito Corporation            | Nintendo Entertainment System | 1989 | Japan
|       | Chuugoku Janshi Story: Tonpuu                                            | Natsume                      | Nintendo Entertainment System | 1989 | Japan
|       | Chuugoku Senseijutsu                                                     | Jaleco Entertainment         | Nintendo Entertainment System | 1988 | Japan
|       | Circus Charlie                                                           | Soft Pro                     | Nintendo Entertainment System | 1986 | Japan
|       | City Adventure Touch: Mystery of Triangle                                | Toho                         | Nintendo Entertainment System | 1987 | Japan
