|       | 10-Yard Fight                                               | Nintendo                       | Nintendo Entertainment System | 1985 | North America
|       | 1942                                                        | Capcom                         | Nintendo Entertainment System | 1986 | North America
|       | 1943: The Battle of Midway                                  | Capcom                         | Nintendo Entertainment System | 1988 | North America
|       | 3-D WorldRunner                                             | Acclaim                        | Nintendo Entertainment System | 1987 | North America
|       | 6 in 1                                                      | Caltron                        | Nintendo Entertainment System | 1992 | North America
|       | 720 Degrees                                                 | Mindscape Inc.                 | Nintendo Entertainment System | 1989 | North America
|       | 8 Eyes                                                      | Taxan                          | Nintendo Entertainment System | 1990 | North America
|       | A Boy and His Blob: Trouble on Blobolonia                   | Absolute Entertainment         | Nintendo Entertainment System | 1990 | North America
|       | Abadox: The Deadly Inner War                                | Milton Bradley                 | Nintendo Entertainment System | 1990 | North America
|       | Action 52                                                   | Active Enterprises             | Nintendo Entertainment System | 1991 | North America
|       | Addams Family, The                                          | Ocean                          | Nintendo Entertainment System | 1992 | North America
|       | Addams Family: Pugsley's Scavenger Hunt, The                | Ocean                          | Nintendo Entertainment System | 1993 | North America
|       | Advanced Dungeons & Dragons: DragonStrike                   | Pony Canyon                    | Nintendo Entertainment System | 1992 | North America
|       | Advanced Dungeons & Dragons: Heroes of the Lance            | FCI, Inc.                      | Nintendo Entertainment System | 1991 | North America
|       | Advanced Dungeons & Dragons: Hillsfar                       | FCI, Inc.                      | Nintendo Entertainment System | 1993 | North America
|       | Advanced Dungeons & Dragons: Pool of Radiance               | FCI, Inc.                      | Nintendo Entertainment System | 1992 | North America
|       | Adventure Island                                            | Hudson                         | Nintendo Entertainment System | 1988 | North America
|       | Adventure Island 3                                          | Hudson                         | Nintendo Entertainment System | 1992 | North America
|       | Adventure Island II                                         | Hudson                         | Nintendo Entertainment System | 1991 | North America
|       | Adventures of Bayou Billy, The                              | Konami                         | Nintendo Entertainment System | 1989 | North America
|       | Adventures of Dino Riki                                     | Hudson Soft                    | Nintendo Entertainment System | 1989 | North America
|       | Adventures of Gilligan's Island, The                        | Bandai                         | Nintendo Entertainment System | 1990 | North America
|       | Adventures of Lolo                                          | HAL Labs                       | Nintendo Entertainment System | 1989 | North America
|       | Adventures of Lolo 2                                        | Hal                            | Nintendo Entertainment System | 1990 | North America
|       | Adventures of Lolo 3                                        | Hal                            | Nintendo Entertainment System | 1991 | North America
|       | Adventures of Rad Gravity, The                              | Activision                     | Nintendo Entertainment System | 1990 | North America
|       | Adventures of Rocky and Bullwinkle and Friends, The         | THQ                            | Nintendo Entertainment System | 1992 | North America
|       | Adventures of Tom Sawyer                                    | Seta Corporation               | Nintendo Entertainment System | 1989 | North America
|       | After Burner                                                | Tengen                         | Nintendo Entertainment System | 1989 | North America
|       | Air Fortress                                                | Hal                            | Nintendo Entertainment System | 1989 | North America
|       | Airwolf                                                     | Acclaim                        | Nintendo Entertainment System | 1989 | North America
|       | Al Unser Jr.'s Turbo Racing                                 | Data East                      | Nintendo Entertainment System | 1990 | North America
|       | Alfred Chicken                                              | Mindscape Inc.                 | Nintendo Entertainment System | 1994 | North America
|       | Alien 3                                                     | LJN Ltd.                       | Nintendo Entertainment System | 1993 | North America
|       | Alien Syndrome                                              | Tengen                         | Nintendo Entertainment System | 1988 | North America
|       | All-Pro Basketball                                          | Vic Tokai                      | Nintendo Entertainment System | 1989 | North America
|       | Alpha Mission                                               | SNK                            | Nintendo Entertainment System | 1987 | North America
|       | Amagon                                                      | Sammy Studios                  | Nintendo Entertainment System | 1989 | North America
|       | American Gladiators                                         | GameTek                        | Nintendo Entertainment System | 1991 | North America
|       | Anticipation                                                | Nintendo                       | Nintendo Entertainment System | 1988 | North America
|       | Arch Rivals: A Basket Brawl!                                | Acclaim                        | Nintendo Entertainment System | 1990 | North America
|       | Archon                                                      | Activision                     | Nintendo Entertainment System | 1989 | North America
|       | Arkanoid                                                    | Taito Corporation              | Nintendo Entertainment System | 1987 | North America
|       | Arkista's Ring                                              | American Sammy                 | Nintendo Entertainment System | 1990 | North America
|       | Astyanax                                                    | Jaleco Entertainment           | Nintendo Entertainment System | 1990 | North America
|       | Athena                                                      | SNK                            | Nintendo Entertainment System | 1987 | North America
