|       | 10-Yard Fight                                               | Nintendo               | Nintendo Entertainment System | 1985 | Europe
|       | Action in New York                                          | Infogrames             | Nintendo Entertainment System | 1992 | Europe
|       | Adan y Eva                                                  | Gluk                   | Nintendo Entertainment System | 1991 | Europe
|       | Addams Family, The                                          | Ocean                  | Nintendo Entertainment System | 1992 | Europe
|       | Addams Family: Pugsley's Scavenger Hunt, The                | Ocean                  | Nintendo Entertainment System | 1992 | Europe
|       | Adventure Island Classic                                    | Hudson                 | Nintendo Entertainment System | 1992 | Europe
|       | Adventure Island Part II, The                               | Hudson                 | Nintendo Entertainment System | 1992 | Europe
|       | Adventures of Bayou Billy, The                              | Konami                 | Nintendo Entertainment System | 1991 | Europe
|       | Adventures of Lolo                                          | HAL Labs               | Nintendo Entertainment System | 1991 | Europe
|       | Adventures of Lolo 2                                        | HAL Labs               | Nintendo Entertainment System | 1991 | Europe
|       | Adventures of Lolo 3                                        | HAL Labs               | Nintendo Entertainment System | 1992 | Europe
|       | Adventures of Rad Gravity, The                              | Activision             | Nintendo Entertainment System | 1991 | Europe
|       | Air Fortress                                                | HAL Labs               | Nintendo Entertainment System | 1989 | Europe
|       | Airwolf                                                     | Acclaim                | Nintendo Entertainment System | 1988 | Europe
|       | Alfred Chicken                                              | Mindscape              | Nintendo Entertainment System | 1993 | Europe
|       | Alien 3                                                     | LJN Ltd.               | Nintendo Entertainment System | 1993 | Europe
|       | Alpha Mission                                               | SNK                    | Nintendo Entertainment System | 1987 | Europe
|       | Anticipation                                                | Nintendo               | Nintendo Entertainment System | 1989 | Europe
|       | Arch Rivals: A Basket Brawl!                                | Acclaim                | Nintendo Entertainment System | 1990 | Europe
|       | Asterix                                                     | Infogrames             | Nintendo Entertainment System | 1993 | Europe
|       | Astyanax                                                    | Jaleco Entertainment   | Nintendo Entertainment System | 1990 | Europe
|       | Athletic World                                              | Nintendo               | Nintendo Entertainment System | 1988 | Europe
|       | Attack of the Killer Tomatoes                               | THQ                    | Nintendo Entertainment System | 1991 | Europe
|       | Bad Dudes vs. Dragon Ninja                                  | Ocean                  | Nintendo Entertainment System | 1990 | Europe
|       | Balloon Fight                                               | Nintendo               | Nintendo Entertainment System | 1987 | Europe
|       | Banana Prince                                               | Takara                 | Nintendo Entertainment System | 1992 | Europe
|       | Barbie                                                      | Hi-Tech                | Nintendo Entertainment System | 1992 | Europe
|       | Barker Bill's Trick Shooting                                | Nintendo               | Nintendo Entertainment System | 1991 | Europe
|       | Baseball                                                    | Nintendo               | Nintendo Entertainment System | 1991 | Europe
|       | Batman Returns                                              | Konami                 | Nintendo Entertainment System | 1993 | Europe
|       | Batman: Return of the Joker                                 | SunSoft                | Nintendo Entertainment System | 1992 | Europe
|       | Batman: The Video Game                                      | SunSoft                | Nintendo Entertainment System | 1990 | Europe
|       | Battle of Olympus, The                                      | Imagineer              | Nintendo Entertainment System | 1991 | Europe
|       | Battleship                                                  | Mindscape              | Nintendo Entertainment System | 1993 | Europe
|       | Battletoads                                                 | Tradewest              | Nintendo Entertainment System | 1993 | Europe
|       | Battletoads & Double Dragon                                 | Tradewest              | Nintendo Entertainment System | 1993 | Europe
|       | Best of the Best: Championship Karate                       | Loriciels              | Nintendo Entertainment System | 1993 | Europe
|       | Bigfoot                                                     | Acclaim                | Nintendo Entertainment System | 1991 | Europe
|       | Bionic Commando                                             | Capcom                 | Nintendo Entertainment System | 1990 | Europe
|       | Blades of Steel                                             | Konami                 | Nintendo Entertainment System | 1990 | Europe
|       | Blaster Master                                              | SunSoft                | Nintendo Entertainment System | 1991 | Europe
|       | Blue Shadow                                                 | Taito Corporation      | Nintendo Entertainment System | 1991 | Europe
|       | Blues Brothers, The                                         | Titus Software         | Nintendo Entertainment System | 1992 | Europe
|       | Boulder Dash                                                | Data East              | Nintendo Entertainment System | 1990 | Europe
|       | Bram Stoker's Dracula                                       | Sony Imagesoft         | Nintendo Entertainment System | 1993 | Europe
|       | Bubble Bobble                                               | Taito Corporation      | Nintendo Entertainment System | 1990 | Europe
|       | Bucky O'Hare                                                | Palcom                 | Nintendo Entertainment System | 1993 | Europe
|       | Bugs Bunny Blowout, The                                     | Kemco                  | Nintendo Entertainment System | 1990 | Europe
|       | Burai Fighter                                               | Nintendo               | Nintendo Entertainment System | 1990 | Europe
|       | California Games                                            | Milton Bradley         | Nintendo Entertainment System | 1988 | Europe
|       | Capcom's Gold Medal Challenge '92                           | Capcom                 | Nintendo Entertainment System | 1993 | Europe
|       | Captain Planet and the Planeteers                           | Mindscape              | Nintendo Entertainment System | 1992 | Europe
|       | Captain Skyhawk                                             | Rare Ltd.              | Nintendo Entertainment System | 1994 | Europe
|       | Castelian                                                   | Storm                  | Nintendo Entertainment System | 1993 | Europe
|       | Castlevania                                                 | Konami                 | Nintendo Entertainment System | 1988 | Europe
|       | Castlevania II: Simon's Quest                               | Konami                 | Nintendo Entertainment System | 1990 | Europe
|       | Castlevania III: Dracula's Curse                            | Palcom                 | Nintendo Entertainment System | 1992 | Europe
|       | Championship Rally                                          | HAL Labs               | Nintendo Entertainment System | 1991 | Europe
|       | Chessmaster, The                                            | Hi-Tech                | Nintendo Entertainment System | 1992 | Europe
|       | City Connection                                             | Jaleco Entertainment   | Nintendo Entertainment System | 1988 | Europe
|       | Clu Clu Land                                                | Nintendo               | Nintendo Entertainment System | 1987 | Europe
|       | Cobra Triangle                                              | Nintendo               | Nintendo Entertainment System | 1989 | Europe
|       | Corvette ZR-1 Challenge                                     | Milton Bradley         | Nintendo Entertainment System | 1990 | Europe
|       | Cosmic Spacehead                                            | Codemasters            | Nintendo Entertainment System | 1993 | Europe
|       | Crackout                                                    | Palcom                 | Nintendo Entertainment System | 1991 | Europe
|       | Danny Sullivan's Indy Heat                                  | Tradewest              | Nintendo Entertainment System | 1992 | Europe
|       | Darkman                                                     | Ocean                  | Nintendo Entertainment System | 1991 | Europe
|       | David Crane's A Boy and His Blob: Trouble on Blobolonia     | Absolute Entertainment | Nintendo Entertainment System | 1989 | Europe
|       | Days of Thunder                                             | Mindscape              | Nintendo Entertainment System | 1991 | Europe
|       | Defender of the Crown                                       | Palcom                 | Nintendo Entertainment System | 1991 | Europe
|       | Deja Vu                                                     | Kemco                  | Nintendo Entertainment System | 1992 | Europe
|       | Devil World                                                 | Nintendo               | Nintendo Entertainment System | 1987 | Europe
|       | Die Hard                                                    | Activision             | Nintendo Entertainment System | 1992 | Europe
|       | Digger T. Rock: The Legend of the Lost City                 | Milton Bradley         | Nintendo Entertainment System | 1991 | Europe
|       | Disney Adventures in the Magic Kingdom                      | Capcom                 | Nintendo Entertainment System | 1992 | Europe
|       | Disney's Aladdin                                            | Virgin Interactive     | Nintendo Entertainment System | 1994 | Europe
|       | Disney's Beauty and the Beast                               | Hudson                 | Nintendo Entertainment System | 1994 | Europe
|       | Disney's Chip 'n Dale: Rescue Rangers                       | Capcom                 | Nintendo Entertainment System | 1991 | Europe
|       | Disney's Chip 'n Dale: Rescue Rangers 2                     | Capcom                 | Nintendo Entertainment System | 1994 | Europe
|       | Disney's Darkwing Duck                                      | Capcom                 | Nintendo Entertainment System | 1993 | Europe
|       | Disney's DuckTales                                          | Capcom                 | Nintendo Entertainment System | 1990 | Europe
|       | Disney's DuckTales 2                                        | Capcom                 | Nintendo Entertainment System | 1993 | Europe
|       | Disney's TaleSpin                                           | Capcom                 | Nintendo Entertainment System | 1992 | Europe
|       | Donkey Kong                                                 | Nintendo               | Nintendo Entertainment System | 1986 | Europe
|       | Donkey Kong 3                                               | Nintendo               | Nintendo Entertainment System | 1987 | Europe
|       | Donkey Kong Classics                                        | Nintendo               | Nintendo Entertainment System | 1989 | Europe
|       | Donkey Kong Jr.                                             | Nintendo               | Nintendo Entertainment System | 1987 | Europe
|       | Donkey Kong Jr. Math                                        | Nintendo               | Nintendo Entertainment System | 1986 | Europe
|       | Double Dragon                                               | Tradewest              | Nintendo Entertainment System | 1990 | Europe
|       | Double Dragon II: The Revenge                               | Acclaim                | Nintendo Entertainment System | 1990 | Europe
|       | Double Dragon III: The Sacred Stones                        | Acclaim                | Nintendo Entertainment System | 1991 | Europe
|       | Double Dribble                                              | Konami                 | Nintendo Entertainment System | 1989 | Europe
|       | Dr. Mario                                                   | Nintendo               | Nintendo Entertainment System | 1991 | Europe
|       | Dragon Ball: Le Secret Du Dragon                            | Bandai                 | Nintendo Entertainment System | 1988 | Europe
|       | Dropzone                                                    | Mindscape              | Nintendo Entertainment System | 1992 | Europe
|       | Duck Hunt                                                   | Nintendo               | Nintendo Entertainment System | 1987 | Europe
|       | Dynablaster                                                 | Hudson                 | Nintendo Entertainment System | 1991 | Europe
