|       | 007: Everything or Nothing                                 | Electronic Arts              | Nintendo GameCube | 2004 | Japan
|       | 1080: Silver Storm                                         | Nintendo                     | Nintendo GameCube | 2004 | Japan
|       | 18 Wheeler: American Pro Trucker                           | Acclaim Japan                | Nintendo GameCube | 2002 | Japan
|       | 2002 FIFA World Cup                                        | Electronic Arts Victor       | Nintendo GameCube | 2002 | Japan
|       | All-Star Baseball 2003                                     | Acclaim Japan                | Nintendo GameCube | 2002 | Japan
|       | Atsumare!! Made in Wario                                   | Nintendo                     | Nintendo GameCube | 2003 | Japan
|       | Auto Modellista: U.S.-Tuned                                | Capcom                       | Nintendo GameCube | 2003 | Japan
|       | Bakuten Shoot Beyblade 2002: Nettou! Magne Tag Battle      | Takara                       | Nintendo GameCube | 2002 | Japan
|       | Baseball 2003, The                                         | Konami                       | Nintendo GameCube | 2003 | Japan
|       | Baten Kaitos II: Hajimari no Tsubasa to Kamigami no Shishi | Nintendo                     | Nintendo GameCube | 2006 | Japan
|       | Baten Kaitos: Owaranai Tsubasa to Ushinawareta Umi         | Namco                        | Nintendo GameCube | 2003 | Japan
|       | Baten Kaitos: Owaranai Tsubasa to Ushinawareta Umi         | Namco                        | Nintendo GameCube | 2003 | Japan
|       | Batman: Dark Tomorrow                                      | Kemco                        | Nintendo GameCube | 2003 | Japan
|       | Battle Houshin                                             | Koei                         | Nintendo GameCube | 2002 | Japan
|       | Battle Stadium D.O.N                                       | Bandai Namco Games           | Nintendo GameCube | 2006 | Japan
|       | Beach Spikers: Virtua Beach Volleyball                     | Sega                         | Nintendo GameCube | 2002 | Japan
|       | BioHazard                                                  | Capcom                       | Nintendo GameCube | 2002 | Japan
|       | BioHazard 2                                                | Capcom                       | Nintendo GameCube | 2003 | Japan
|       | BioHazard 3: Last Escape                                   | Capcom                       | Nintendo GameCube | 2003 | Japan
|       | BioHazard 4                                                | Capcom                       | Nintendo GameCube | 2005 | Japan
|       | BioHazard Code: Veronica Complete                          | Capcom                       | Nintendo GameCube | 2003 | Japan
|       | BioHazard Double Feature                                   | Capcom                       | Nintendo GameCube | 2004 | Japan
|       | BioHazard Zero                                             | Capcom                       | Nintendo GameCube | 2002 | Japan
|       | Bleach GC: Tasogare Ni Mamieru Shinigami                   | Sega                         | Nintendo GameCube | 2005 | Japan
|       | Bloody Roar Extreme                                        | Hudson                       | Nintendo GameCube | 2002 | Japan
|       | Boboboubo Boubobo Dassutsu! Hajike Royale                  | Hudson                       | Nintendo GameCube | 2003 | Japan
|       | Bokujou Monogatari: Shiawase no Uta                        | Marvelous Entertainment      | Nintendo GameCube | 2005 | Japan
|       | Bokujou Monogatari: Shiawase no Uta for World              | Marvelous Entertainment      | Nintendo GameCube | 2005 | Japan
|       | Bokujou Monogatari: Wonderful Life                         | Victor Interactive Software  | Nintendo GameCube | 2003 | Japan
|       | Bokujou Monogatari: Wonderful Life for Girls               | Marvelous Entertainment      | Nintendo GameCube | 2004 | Japan
|       | Bomberman Generation                                       | Hudson                       | Nintendo GameCube | 2002 | Japan
|       | Bomberman Jetters                                          | Hudson                       | Nintendo GameCube | 2002 | Japan
|       | Bomberman Land 2                                           | Hudson                       | Nintendo GameCube | 2003 | Japan
