|       | 007: Everything or Nothing                                                 | EA Games                   | Nintendo GameCube | 2004 | Europe
|       | 007: NightFire                                                             | Electronic Arts            | Nintendo GameCube | 2002 | Europe
|       | 1080: Avalanche                                                            | Nintendo                   | Nintendo GameCube | 2003 | Europe
|       | 18 Wheeler: American Pro Trucker                                           | Acclaim                    | Nintendo GameCube | 2002 | Europe
|       | 2 Games in 1: The Incredibles / Finding Nemo                               | THQ                        | Nintendo GameCube | 2006 | Europe
|       | 2 Games in 1: The SpongeBob SquarePants Movie / Battle for Bikini Bottom   | THQ                        | Nintendo GameCube | 2006 | Europe
|       | 2 Games in 1: The SpongeBob SquarePants Movie / Tak 2: The Staff of Dreams | THQ                        | Nintendo GameCube | 2006 | Europe
|       | 2002 FIFA World Cup                                                        | EA Sports                  | Nintendo GameCube | 2002 | Europe
|       | 2006 FIFA World Cup                                                        | Electronic Arts            | Nintendo GameCube | 2006 | Europe
|       | Ace Golf                                                                   | Eidos Interactive          | Nintendo GameCube | 2002 | Europe
|       | Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies, The        | THQ                        | Nintendo GameCube | 2005 | Europe
|       | Aggressive Inline                                                          | Acclaim                    | Nintendo GameCube | 2002 | Europe
|       | Animal Crossing                                                            | Nintendo                   | Nintendo GameCube | 2004 | Europe
|       | Animaniacs: The Great Edgar Hunt                                           | Ignition Entertainment     | Nintendo GameCube | 2005 | Europe
|       | Asterix & Obelix XXL                                                       | Atari                      | Nintendo GameCube | 2004 | Europe
|       | ATV Quad Power Racing 2                                                    | Acclaim                    | Nintendo GameCube | 2003 | Europe
|       | Avatar: The Legend of Aang                                                 | THQ                        | Nintendo GameCube | 2007 | Europe
|       | Bad Boys II                                                                | Empire Interactive         | Nintendo GameCube | 2004 | Europe
|       | Baldur's Gate: Dark Alliance                                               | Interplay                  | Nintendo GameCube | 2003 | Europe
|       | Barbarian                                                                  | Virgin Interactive         | Nintendo GameCube | 2003 | Europe
|       | Barnyard                                                                   | THQ                        | Nintendo GameCube | 2006 | Europe
