|       | .hack//G.U. vol. 1//Rebirth                                                | Namco Bandai Games America             | PlayStation 2 | 2006 | North America
|       | .hack//G.U. vol. 2//Reminisce                                              | Namco Bandai Games America             | PlayStation 2 | 2007 | North America
|       | .hack//G.U. vol. 3//Redemption                                             | Namco Bandai Games America             | PlayStation 2 | 2007 | North America
|       | .hack//Infection Part 1                                                    | Bandai                                 | PlayStation 2 | 2003 | North America
|       | .hack//Mutation Part 2                                                     | Bandai                                 | PlayStation 2 | 2003 | North America
|       | .hack//Outbreak Part 3                                                     | Bandai                                 | PlayStation 2 | 2003 | North America
|       | .hack//Quarantine Part 4                                                   | Bandai                                 | PlayStation 2 | 2004 | North America
|       | 007: Everything or Nothing                                                 | EA Games                               | PlayStation 2 | 2004 | North America
|       | 007: NightFire                                                             | Electronic Arts                        | PlayStation 2 | 2002 | North America
|       | 18 Wheeler: American Pro Trucker                                           | Acclaim                                | PlayStation 2 | 2001 | North America
|       | 187 Ride or Die                                                            | Ubisoft                                | PlayStation 2 | 2005 | North America
|       | 2002 FIFA World Cup                                                        | EA Sports                              | PlayStation 2 | 2002 | North America
|       | 24: The Game                                                               | 2K Games                               | PlayStation 2 | 2006 | North America
|       | 25 to Life                                                                 | Eidos Interactive                      | PlayStation 2 | 2006 | North America
|       | 4X4 Evolution                                                              | Gathering                              | PlayStation 2 | 2001 | North America
|       | 50 Cent: Bulletproof                                                       | VU Games                               | PlayStation 2 | 2005 | North America
|       | 7 Wonders of the Ancient World                                             | MumboJumbo                             | PlayStation 2 | 2007 | North America
|       | 989 Sports Demo Disc                                                       | SCEA                                   | PlayStation 2 | 2002 | North America
|       | AC/DC LIVE: Rock Band Track Pack                                           | MTV Games                              | PlayStation 2 | 2008 | North America
|       | Ace Combat 04: Shattered Skies                                             | Namco                                  | PlayStation 2 | 2001 | North America
|       | Ace Combat 5: The Unsung War                                               | Namco                                  | PlayStation 2 | 2004 | North America
|       | Ace Combat Zero: The Belkan War                                            | Namco                                  | PlayStation 2 | 2006 | North America
