|       | 007 Legends                                                                             | Activision                             | PlayStation 3 | 2012 | Europe
|       | 007: Quantum of Solace                                                                  | Activision                             | PlayStation 3 | 2008 | Europe
|       | 2010 FIFA World Cup South Africa                                                        | EA Sports                              | PlayStation 3 | 2010 | Europe
|       | 2014 FIFA World Cup Brazil                                                              | EA Sports                              | PlayStation 3 | 2014 | Europe
|       | 3D Dot Game Heroes                                                                      | SouthPeak Games                        | PlayStation 3 | 2010 | Europe
|       | 4 in 1 Action Pack                                                                      | SouthPeak Games                        | PlayStation 3 | 2012 | Europe
|       | 50 Cent: Blood on the Sand                                                              | THQ                                    | PlayStation 3 | 2009 | Europe
|       | Absolute Supercars                                                                      | System 3                               | PlayStation 3 | 2012 | Europe
|       | AC/DC LIVE: Rock Band Track Pack                                                        | MTV Games                              | PlayStation 3 | 2008 | Europe
|       | Ace Combat: Assault Horizon                                                             | Namco Bandai Games                     | PlayStation 3 | 2011 | Europe
|       | Adam's Venture Chronicles                                                               | Soedesco                               | PlayStation 3 | 2015 | Europe
|       | Adidas miCoach                                                                          | 505 Games                              | PlayStation 3 | 2012 | Europe
|       | Adventure Time: Explore the Dungeon Because I DON'T KNOW!                               | D3Publisher                            | PlayStation 3 | 2013 | Europe
|       | Adventure Time: Finn and Jake Investigations                                            | Little Orbit                           | PlayStation 3 | 2015 | Europe
|       | Adventure Time: The Secret of the Nameless Kingdom                                      | Little Orbit                           | PlayStation 3 | 2014 | Europe
|       | Adventures of Tintin: The Secret of the Unicorn, The                                    | Ubisoft                                | PlayStation 3 | 2011 | Europe
|       | Aegis of Earth: Protonovus Assault                                                      | PQube                                  | PlayStation 3 | 2016 | Europe
|       | Afro Samurai                                                                            | Atari SA                               | PlayStation 3 | 2009 | Europe
|       | After Hours Athletes                                                                    | SCEE                                   | PlayStation 3 | 2011 | Europe
|       | Agarest: Generations of War                                                             | Ghostlight                             | PlayStation 3 | 2009 | Europe
|       | Agarest: Generations of War 2                                                           | Ghostlight                             | PlayStation 3 | 2012 | Europe
|       | Agarest: Generations of War Zero                                                        | Ghostlight                             | PlayStation 3 | 2011 | Europe
|       | Air Conflicts: Pacific Carriers                                                         | bitComposer                            | PlayStation 3 | 2012 | Europe
|       | Air Conflicts: Secret Wars                                                              | bitComposer                            | PlayStation 3 | 2011 | Europe
|       | Air Conflicts: Vietnam                                                                  | Kalypso                                | PlayStation 3 | 2013 | Europe
|       | Akiba's Trip: Undead & Undressed                                                        | NIS America                            | PlayStation 3 | 2014 | Europe
|       | Alice: Madness Returns                                                                  | Electronic Arts                        | PlayStation 3 | 2011 | Europe
|       | Alien: Isolation                                                                        | Sega                                   | PlayStation 3 | 2014 | Europe
|       | Aliens vs. Predator                                                                     | Sega                                   | PlayStation 3 | 2010 | Europe
|       | Aliens: Colonial Marines                                                                | Sega                                   | PlayStation 3 | 2013 | Europe
|       | Alone in the Dark: Inferno                                                              | Atari SA                               | PlayStation 3 | 2008 | Europe
|       | Alpha Protocol                                                                          | Sega                                   | PlayStation 3 | 2010 | Europe
|       | Amazing Spider-Man 2, The                                                               | Activision                             | PlayStation 3 | 2014 | Europe
|       | Amazing Spider-Man, The                                                                 | Activision                             | PlayStation 3 | 2012 | Europe
|       | Anarchy Reigns                                                                          | Sega                                   | PlayStation 3 | 2013 | Europe
|       | Angry Birds Star Wars                                                                   | Activision                             | PlayStation 3 | 2013 | Europe
|       | Angry Birds Trilogy                                                                     | Activision                             | PlayStation 3 | 2012 | Europe
|       | Apache: Air Assault                                                                     | Activision                             | PlayStation 3 | 2010 | Europe
|       | Ape Escape                                                                              | SCEE                                   | PlayStation 3 | 2011 | Europe
|       | Ar nosurge: Ode to an Unborn Star                                                       | Koei Tecmo Games                       | PlayStation 3 | 2014 | Europe
|       | Ar tonelico Qoga: Knell of Ar Ciel                                                      | NIS America                            | PlayStation 3 | 2011 | Europe
|       | Arcana Heart 3                                                                          | PQube                                  | PlayStation 3 | 2011 | Europe
|       | Arcana Heart 3: LOVEMAX!!!!!                                                            | NIS America                            | PlayStation 3 | 2014 | Europe
|       | Arcania: The Complete Tale                                                              | Nordic Games Publishing                | PlayStation 3 | 2013 | Europe
|       | Arland Atelier Trilogy, The                                                             | NIS America                            | PlayStation 3 | 2015 | Europe
|       | Armored Core 4                                                                          | Sega                                   | PlayStation 3 | 2007 | Europe
|       | Armored Core V                                                                          | Namco Bandai Games                     | PlayStation 3 | 2012 | Europe
|       | Armored Core: For Answer                                                                | Ubisoft                                | PlayStation 3 | 2008 | Europe
|       | Armored Core: Verdict Day                                                               | Namco Bandai Games                     | PlayStation 3 | 2013 | Europe
|       | Army of Two                                                                             | EA Games                               | PlayStation 3 | 2008 | Europe
|       | Army of Two: The 40th Day                                                               | Electronic Arts                        | PlayStation 3 | 2010 | Europe
|       | Army of Two: The Devil's Cartel                                                         | Electronic Arts                        | PlayStation 3 | 2013 | Europe
|       | Arthur and the Revenge of Maltazard                                                     | Ubisoft                                | PlayStation 3 | 2010 | Europe
|       | Ashes Cricket 2009                                                                      | Codemasters                            | PlayStation 3 | 2009 | Europe
|       | Assassin's Creed                                                                        | Ubisoft                                | PlayStation 3 | 2007 | Europe
|       | Assassin's Creed Anthology                                                              | Ubisoft                                | PlayStation 3 | 2012 | Europe
|       | Assassin's Creed Double Pack                                                            | Ubisoft                                | PlayStation 3 | 2012 | Europe
|       | Assassin's Creed II                                                                     | Ubisoft                                | PlayStation 3 | 2009 | Europe
