|       | -8                                                                                                                               | Idea Factory               | PlayStation Portable | 2014 | Japan
|       | .hack//Link                                                                                                                      | Bandai Namco Games         | PlayStation Portable | 2010 | Japan
|       | [Hg] Hydrium                                                                                                                     | SCEI                       | PlayStation Portable | 2005 | Japan
|       | 0-ji no Kane to Cinderella: Halloween Wedding                                                                                    | Quinrose                   | PlayStation Portable | 2013 | Japan
|       | 007: Russia Yori Ai o Komete                                                                                                     | Electronic Arts            | PlayStation Portable | 2006 | Japan
|       | 1/2 summer+                                                                                                                      | Alchemist                  | PlayStation Portable | 2013 | Japan
|       | 11 Eyes: CrossOver                                                                                                               | 5pb                        | PlayStation Portable | 2010 | Japan
|       | 12-Ji no Kane to Cinderella: Halloween Wedding                                                                                   | Quinrose                   | PlayStation Portable | 2012 | Japan
|       | 12Riven: The Psi-Climinal of Integral                                                                                            | CyberFront                 | PlayStation Portable | 2009 | Japan
|       | 2006 FIFA World Cup Deutsch Taikai                                                                                               | Electronic Arts            | PlayStation Portable | 2006 | Japan
|       | 2010 FIFA World Cup South Africa                                                                                                 | EA Sports                  | PlayStation Portable | 2010 | Japan
|       | 24-ji no Kane to Cinderella: Halloween Wedding                                                                                   | Quinrose                   | PlayStation Portable | 2012 | Japan
|       | 3rd Birthday, The                                                                                                                | Square Enix                | PlayStation Portable | 2010 | Japan
|       | 428: Fuusa Sareta Shibuya de                                                                                                     | Spike                      | PlayStation Portable | 2009 | Japan
|       | 77: Beyond the Milky Way                                                                                                         | GN Software                | PlayStation Portable | 2010 | Japan
|       | 7th Dragon 2020                                                                                                                  | Sega                       | PlayStation Portable | 2011 | Japan
|       | 7th Dragon 2020-II                                                                                                               | Sega                       | PlayStation Portable | 2013 | Japan
|       | Abunai: Koi no Sousa Shitsu                                                                                                      | Quinrose                   | PlayStation Portable | 2012 | Japan
|       | Accel World: Ginyoku no Kakusei                                                                                                  | Bandai Namco Games         | PlayStation Portable | 2012 | Japan
|       | Accel World: Kasoku no Chouten                                                                                                   | Bandai Namco Games         | PlayStation Portable | 2013 | Japan
|       | Ace Combat X: Skies of Deception                                                                                                 | Bandai Namco Games         | PlayStation Portable | 2006 | Japan
|       | Ace Combat X2: Joint Assault                                                                                                     | Bandai Namco Games         | PlayStation Portable | 2010 | Japan
|       | Adventure Player                                                                                                                 | From Software              | PlayStation Portable | 2005 | Japan
|       | Aedeus Memories Shinten Makai Generation of Chaos                                                                                | Idea Factory               | PlayStation Portable | 2006 | Japan
|       | Agarest Senki Mariage                                                                                                            | Compile Heart              | PlayStation Portable | 2012 | Japan
|       | AI Igo                                                                                                                           | Marvelous Entertainment    | PlayStation Portable | 2004 | Japan
|       | AI Mahjong                                                                                                                       | Marvelous Entertainment    | PlayStation Portable | 2004 | Japan
|       | AI Shogi                                                                                                                         | Marvelous Entertainment    | PlayStation Portable | 2005 | Japan
|       | Ailu de Puzzle                                                                                                                   | Capcom                     | PlayStation Portable | 2012 | Japan
|       | Air                                                                                                                              | Prototype                  | PlayStation Portable | 2007 | Japan
|       | Akane Iro ni Somaru Saka Portable                                                                                                | GN Software                | PlayStation Portable | 2009 | Japan
|       | Akatsuki no Amaneka to Aoi Kyojin                                                                                                | CyberFront                 | PlayStation Portable | 2010 | Japan
|       | Akatsuki no Goei Trinity                                                                                                         | 5pb                        | PlayStation Portable | 2012 | Japan
|       | Akaya Akashiya Ayakashino                                                                                                        | noctiluca                  | PlayStation Portable | 2014 | Japan
|       | AKB1/149: Renai Sousenkyo                                                                                                        | Bandai Namco Games         | PlayStation Portable | 2012 | Japan
