|       | 2006 FIFA World Cup                                                       | Electronic Arts                        | PlayStation Portable | 2006 | Europe
|       | 2010 FIFA World Cup South Africa                                          | EA Sports                              | PlayStation Portable | 2010 | Europe
|       | 300: March to Glory                                                       | Warner Bros. Interactive Entertainment | PlayStation Portable | 2007 | Europe
|       | 3rd Birthday, The                                                         | Square Enix                            | PlayStation Portable | 2011 | Europe
|       | 50 Cent: Bulletproof G Unit Edition                                       | VU Games                               | PlayStation Portable | 2006 | Europe
|       | 7 Wonders of the Ancient World                                            | MumboJumbo                             | PlayStation Portable | 2008 | Europe
|       | Ace Combat X: Skies of Deception                                          | SCEE                                   | PlayStation Portable | 2006 | Europe
|       | Ace Combat: Joint Assault                                                 | Namco Bandai Games                     | PlayStation Portable | 2010 | Europe
|       | Aces of War                                                               | 505 Game Street                        | PlayStation Portable | 2007 | Europe
|       | Action Pack: Prince of Persia Revelations / Rainbow Six Vegas / Driver 76 | Ubisoft                                | PlayStation Portable | 2009 | Europe
|       | Activision Hits Remixed                                                   | Activision                             | PlayStation Portable | 2007 | Europe
|       | Adventures to Go!                                                         | Zushi Games Ltd                        | PlayStation Portable | 2010 | Europe
|       | After Burner: Black Falcon                                                | Sega                                   | PlayStation Portable | 2007 | Europe
|       | Alien Syndrome                                                            | Sega                                   | PlayStation Portable | 2007 | Europe
|       | Aliens vs Predator: Requiem                                               | Sierra Entertainment                   | PlayStation Portable | 2007 | Europe
|       | Ape Academy                                                               | SCEE                                   | PlayStation Portable | 2005 | Europe
|       | Ape Academy 2                                                             | SCEE                                   | PlayStation Portable | 2006 | Europe
|       | Ape Escape P                                                              | SCEE                                   | PlayStation Portable | 2006 | Europe
|       | Archer Maclean's Mercury                                                  | Ignition Entertainment                 | PlayStation Portable | 2005 | Europe
|       | Armored Core: Formula Front - Extreme Battle                              | 505 Game Street                        | PlayStation Portable | 2006 | Europe
|       | Army of Two: The 40th Day                                                 | Electronic Arts                        | PlayStation Portable | 2010 | Europe
|       | Arthur and the Invisibles                                                 | Atari SA                               | PlayStation Portable | 2007 | Europe
|       | Asphalt: Urban GT 2                                                       | Ubisoft                                | PlayStation Portable | 2007 | Europe
|       | Assassin's Creed: Bloodlines                                              | Ubisoft                                | PlayStation Portable | 2009 | Europe
|       | Asterix & Obelix XXL 2: Mission: Wifix                                    | Atari SA                               | PlayStation Portable | 2006 | Europe
|       | Astonishia Story                                                          | Ubisoft                                | PlayStation Portable | 2006 | Europe
|       | Astro Boy: The Video Game                                                 | D3Publisher                            | PlayStation Portable | 2010 | Europe
|       | ATV Offroad Fury Pro                                                      | SCEE                                   | PlayStation Portable | 2008 | Europe
|       | ATV Offroad Fury: Blazin' Trails                                          | SouthPeak Games                        | PlayStation Portable | 2006 | Europe
|       | Avatar: The Legend of Aang                                                | THQ                                    | PlayStation Portable | 2007 | Europe
|       | B-Boy                                                                     | SCEE                                   | PlayStation Portable | 2006 | Europe
|       | Bakugan Battle Brawlers: Defenders of the Core                            | Activision                             | PlayStation Portable | 2010 | Europe
|       | Battlezone                                                                | Atari SA                               | PlayStation Portable | 2007 | Europe
|       | Beaterator                                                                | Rockstar Games                         | PlayStation Portable | 2009 | Europe
|       | Ben 10 Ultimate Alien: Cosmic Destruction                                 | D3Publisher                            | PlayStation Portable | 2011 | Europe
|       | Ben 10: Alien Force                                                       | D3Publisher                            | PlayStation Portable | 2009 | Europe
|       | Ben 10: Alien Force Vilgax Attacks                                        | D3Publisher                            | PlayStation Portable | 2010 | Europe
|       | Ben 10: Protector of Earth                                                | D3Publisher                            | PlayStation Portable | 2007 | Europe
|       | Beowulf: The Game                                                         | Ubisoft                                | PlayStation Portable | 2007 | Europe
|       | Beta Bloc                                                                 | Essential Games                        | PlayStation Portable | 2007 | Europe
|       | Blade Dancer: Lineage of Light                                            | Atari SA                               | PlayStation Portable | 2007 | Europe
|       | BlazBlue: Calamity Trigger                                                | PQube                                  | PlayStation Portable | 2010 | Europe
|       | BlazBlue: Continuum Shift II                                              | PQube                                  | PlayStation Portable | 2011 | Europe
|       | Blazing Souls: Accelate                                                   | Rising Star Games                      | PlayStation Portable | 2012 | Europe
|       | Bliss Island                                                              | Codemasters                            | PlayStation Portable | 2006 | Europe
|       | Blokus Portable: Steambot Championship                                    | Majesco                                | PlayStation Portable | 2008 | Europe
|       | Blood Bowl                                                                | Focus Home Interactive                 | PlayStation Portable | 2009 | Europe
|       | Bomberman                                                                 | Konami                                 | PlayStation Portable | 2007 | Europe
|       | Bomberman Land                                                            | Hudson                                 | PlayStation Portable | 2008 | Europe
|       | Breath of Fire III                                                        | Capcom                                 | PlayStation Portable | 2006 | Europe
|       | Brian Lara 2007 Pressure Play                                             | Codemasters                            | PlayStation Portable | 2007 | Europe
|       | Brothers in Arms D-Day                                                    | Ubisoft                                | PlayStation Portable | 2006 | Europe
|       | Brunswick Pro Bowling                                                     | 505 Games                              | PlayStation Portable | 2007 | Europe
|       | Bubble Bobble Evolution                                                   | Rising Star Games                      | PlayStation Portable | 2006 | Europe
|       | Burnout Dominator                                                         | Electronic Arts                        | PlayStation Portable | 2007 | Europe
|       | Burnout Legends                                                           | EA Games                               | PlayStation Portable | 2005 | Europe
|       | Bust-A-Move Ghost                                                         | 505 Game Street                        | PlayStation Portable | 2006 | Europe
|       | Buzz! Brain Bender                                                        | SCEE                                   | PlayStation Portable | 2008 | Europe
|       | Buzz! Master Quiz                                                         | SCEE                                   | PlayStation Portable | 2008 | Europe
|       | Buzz! Norgesmester                                                        | SCEE                                   | PlayStation Portable | 2009 | Europe
|       | Buzz! Quiz World                                                          | SCEE                                   | PlayStation Portable | 2009 | Europe
|       | Buzz! The Ultimate Music Quiz                                             | SCEE                                   | PlayStation Portable | 2011 | Europe
|       | Cabela's Dangerous Hunts 06: Kill or Be Killed                            | Activision                             | PlayStation Portable | 2017 | Europe
|       | Call of Duty: Roads to Victory                                            | Activision                             | PlayStation Portable | 2007 | Europe
|       | Capcom Classics Collection Reloaded                                       | Capcom                                 | PlayStation Portable | 2006 | Europe
|       | Capcom Classics Collection Remixed                                        | Capcom                                 | PlayStation Portable | 2006 | Europe
|       | Capcom Puzzle World                                                       | Capcom                                 | PlayStation Portable | 2007 | Europe
|       | Carol Vorderman's Sudoku                                                  | Empire Interactive                     | PlayStation Portable | 2006 | Europe
|       | Cars                                                                      | THQ                                    | PlayStation Portable | 2006 | Europe
|       | Cars 2: The Video Game                                                    | SCEE                                   | PlayStation Portable | 2011 | Europe
|       | Cars Race-O-Rama                                                          | THQ                                    | PlayStation Portable | 2009 | Europe
|       | Castlevania: The Dracula X Chronicles                                     | Konami                                 | PlayStation Portable | 2008 | Europe
|       | Championship Manager                                                      | Eidos Interactive                      | PlayStation Portable | 2005 | Europe
|       | Championship Manager 2006                                                 | Eidos Interactive                      | PlayStation Portable | 2006 | Europe
|       | Championship Manager 2007                                                 | Eidos Interactive                      | PlayStation Portable | 2007 | Europe
|       | Chandragupta: Warrior Prince                                              | SCEE                                   | PlayStation Portable | 2009 | Europe
|       | Chessmaster: The Art of Learning                                          | Ubisoft                                | PlayStation Portable | 2008 | Europe
|       | Chili Con Carnage                                                         | Eidos Interactive                      | PlayStation Portable | 2007 | Europe
|       | CID The Dummy                                                             | Oxygen Interactive                     | PlayStation Portable | 2009 | Europe
|       | Cloudy With a Chance of Meatballs                                         | Ubisoft                                | PlayStation Portable | 2009 | Europe
|       | Code Lyoko: Quest for Infinity                                            | The Game Factory                       | PlayStation Portable | 2008 | Europe
|       | Coded Arms                                                                | Konami                                 | PlayStation Portable | 2005 | Europe
|       | Coded Arms: Contagion                                                     | Konami                                 | PlayStation Portable | 2008 | Europe
|       | Colin McRae Rally 2005 Plus                                               | Codemasters                            | PlayStation Portable | 2005 | Europe
|       | Colin McRae: DiRT 2                                                       | SCEE                                   | PlayStation Portable | 2009 | Europe
|       | Con, The                                                                  | SCEE                                   | PlayStation Portable | 2007 | Europe
|       | Cover Girl                                                                | Ubisoft                                | PlayStation Portable | 2009 | Europe
|       | Crash of the Titans                                                       | Sierra Entertainment                   | PlayStation Portable | 2007 | Europe
|       | Crash Tag Team Racing                                                     | Sierra Entertainment                   | PlayStation Portable | 2005 | Europe
|       | Crash: Mind Over Mutant                                                   | Sierra Entertainment                   | PlayStation Portable | 2008 | Europe
|       | Crazy Taxi: Fare Wars                                                     | Sega                                   | PlayStation Portable | 2007 | Europe
|       | Crisis Core: Final Fantasy VII                                            | Square Enix                            | PlayStation Portable | 2008 | Europe
|       | Crush                                                                     | Sega                                   | PlayStation Portable | 2007 | Europe
|       | Cube: 3D Puzzle Mayhem                                                    | D3Publisher                            | PlayStation Portable | 2007 | Europe
|       | Dante's Inferno                                                           | Electronic Arts                        | PlayStation Portable | 2010 | Europe
|       | Darkstalkers Chronicle: The Chaos Tower                                   | Capcom                                 | PlayStation Portable | 2005 | Europe
|       | Dave Mirra BMX Challenge                                                  | Oxygen Interactive                     | PlayStation Portable | 2007 | Europe
|       | Daxter                                                                    | SCEE                                   | PlayStation Portable | 2006 | Europe
|       | Daxter / Ratchet & Clank: Size Matters                                    | SCEE                                   | PlayStation Portable | 2008 | Europe
|       | Dead Head Fred                                                            | D3Publisher                            | PlayStation Portable | 2007 | Europe
|       | Dead or Alive Paradise                                                    | Koei Tecmo Games                       | PlayStation Portable | 2010 | Europe
|       | Dead to Rights: Reckoning                                                 | Electronic Arts                        | PlayStation Portable | 2006 | Europe
|       | Death Jr.                                                                 | Konami                                 | PlayStation Portable | 2006 | Europe
|       | Death Jr. II: Root of Evil                                                | Konami                                 | PlayStation Portable | 2007 | Europe
|       | Def Jam: Fight for NY: The Takeover                                       | EA Games                               | PlayStation Portable | 2006 | Europe
|       | Despicable Me                                                             | D3Publisher                            | PlayStation Portable | 2010 | Europe
|       | Despicable Me                                                             | D3Publisher                            | PlayStation Portable | 2010 | Europe
|       | Diabolik: The Original Sin                                                | Black Bean Games                       | PlayStation Portable | 2009 | Europe
|       | Diner Dash                                                                | Eidos Interactive                      | PlayStation Portable | 2007 | Europe
|       | Disgaea 2: Dark Hero Days                                                 | NIS Europe                             | PlayStation Portable | 2010 | Europe
|       | Disgaea: Afternoon of Darkness                                            | Koei                                   | PlayStation Portable | 2007 | Europe
|       | Disney Hannah Montana: Rock Out the Show                                  | Disney Interactive Studios             | PlayStation Portable | 2009 | Europe
|       | Disney/Pixar Ratatouille                                                  | THQ                                    | PlayStation Portable | 2007 | Europe
|       | Disney/Pixar Toy Story 3                                                  | Disney Interactive Studios             | PlayStation Portable | 2010 | Europe
|       | Dissidia 012: Duodecim Final Fantasy                                      | Square Enix                            | PlayStation Portable | 2011 | Europe
|       | Dissidia: Final Fantasy                                                   | Square Enix                            | PlayStation Portable | 2009 | Europe
|       | Donkey Xote                                                               | Virgin Play                            | PlayStation Portable | 2008 | Europe
|       | Dragon Ball Z: Shin Budokai                                               | Atari SA                               | PlayStation Portable | 2006 | Europe
|       | Dragon Ball Z: Shin Budokai 2                                             | Atari SA                               | PlayStation Portable | 2007 | Europe
|       | Dragon Ball Z: Tenkaichi Tag Team                                         | Namco Bandai Games                     | PlayStation Portable | 2010 | Europe
|       | Dragon Ball: Evolution                                                    | Namco Bandai Games                     | PlayStation Portable | 2009 | Europe
|       | Dragoneer's Aria                                                          | Koei                                   | PlayStation Portable | 2008 | Europe
|       | DreamWorks Shrek Smash n' Crash Racing                                    | Activision                             | PlayStation Portable | 2007 | Europe
|       | DreamWorks Shrek the Third                                                | Activision                             | PlayStation Portable | 2007 | Europe
|       | Driver 76                                                                 | Ubisoft                                | PlayStation Portable | 2007 | Europe
|       | DTM Race Driver 2                                                         | Codemasters                            | PlayStation Portable | 2005 | Europe
|       | Dungeon Explorer                                                          | Rising Star Games                      | PlayStation Portable | 2008 | Europe
|       | Dungeon Siege: Throne of Agony                                            | 2K Games                               | PlayStation Portable | 2007 | Europe
|       | Dungeons & Dragons Tactics                                                | Atari SA                               | PlayStation Portable | 2007 | Europe
|       | Dynasty Warriors                                                          | Koei                                   | PlayStation Portable | 2005 | Europe
|       | Dynasty Warriors Vol. 2                                                   | Koei                                   | PlayStation Portable | 2006 | Europe
|       | Dynasty Warriors: Strikeforce                                             | Koei                                   | PlayStation Portable | 2009 | Europe
|       | EA Replay                                                                 | Electronic Arts                        | PlayStation Portable | 2007 | Europe
|       | echochrome                                                                | SCEE                                   | PlayStation Portable | 2008 | Europe
|       | echoshift                                                                 | SCEE                                   | PlayStation Portable | 2010 | Europe
|       | Elminage Original                                                         | Ghostlight                             | PlayStation Portable | 2013 | Europe
|       | Eragon                                                                    | Vivendi Games                          | PlayStation Portable | 2006 | Europe
