|       | A Rose in the Twilight                                    | NIS America                            | PlayStation Vita | 2017 | Europe
|       | Adventure Mega Pack                                       | SCEE                                   | PlayStation Vita | 2014 | Europe
|       | Aegis of Earth: Protonovus Assault                        | PQube                                  | PlayStation Vita | 2016 | Europe
|       | Akiba's Beat                                              | PQube                                  | PlayStation Vita | 2017 | Europe
|       | Akiba's Trip: Undead & Undressed                          | NIS America                            | PlayStation Vita | 2014 | Europe
|       | Amazing Spider-Man, The                                   | Activision                             | PlayStation Vita | 2013 | Europe
|       | Angry Birds Star Wars                                     | Activision                             | PlayStation Vita | 2013 | Europe
|       | Arcana Heart 3: LOVEMAX!!!!!                              | NIS America                            | PlayStation Vita | 2014 | Europe
|       | Army Corps of Hell                                        | Square Enix                            | PlayStation Vita | 2012 | Europe
|       | Asphalt: Injection                                        | Ubisoft                                | PlayStation Vita | 2012 | Europe
|       | Assassin's Creed Chronicles                               | Ubisoft                                | PlayStation Vita | 2016 | Europe
|       | Assassin's Creed III: Liberation                          | Ubisoft                                | PlayStation Vita | 2012 | Europe
|       | Atelier Escha & Logy Plus: Alchemists of the Dusk Sky     | Koei Tecmo Games                       | PlayStation Vita | 2016 | Europe
|       | Atelier Shallie Plus: Alchemists of the Dusk Sea          | NIS Europe                             | PlayStation Vita | 2017 | Europe
|       | Batman: Arkham Begins Blackgate                           | Warner Bros. Interactive Entertainment | PlayStation Vita | 2013 | Europe
|       | Ben 10: Galactic Racing                                   | D3Publisher                            | PlayStation Vita | 2012 | Europe
|       | Best of Arcade Games                                      | BigBen Interactive                     | PlayStation Vita | 2014 | Europe
|       | BlazBlue: Chrono Phantasma Extend                         | PQube                                  | PlayStation Vita | 2015 | Europe
|       | BlazBlue: Continuum Shift Extend                          | PQube                                  | PlayStation Vita | 2012 | Europe
|       | Borderlands 2                                             | SCEE                                   | PlayStation Vita | 2014 | Europe
|       | Call of Duty: Black Ops Declassified                      | Activision                             | PlayStation Vita | 2012 | Europe
|       | Chicken Range                                             | Funbox Media                           | PlayStation Vita | 2018 | Europe
|       | Child of Light                                            | Ubisoft                                | PlayStation Vita | 2014 | Europe
|       | Corpse Party: Blood Drive                                 | Marvelous Inc.                         | PlayStation Vita | 2015 | Europe
|       | Criminal Girls 2: Party Favors                            | NIS America                            | PlayStation Vita | 2016 | Europe
|       | Criminal Girls: Invite Only                               | NIS America                            | PlayStation Vita | 2015 | Europe
|       | Danganronpa 2: Goodbye Despair                            | NIS America                            | PlayStation Vita | 2014 | Europe
|       | Danganronpa Another Episode: Ultra Despair Girls          | NIS America                            | PlayStation Vita | 2015 | Europe
|       | Danganronpa V3: Killing Harmony                           | NIS America                            | PlayStation Vita | 2017 | Europe
|       | Danganronpa: Trigger Happy Havoc                          | NIS America                            | PlayStation Vita | 2014 | Europe
|       | Dead or Alive 5 Plus                                      | Koei Tecmo Games                       | PlayStation Vita | 2013 | Europe
|       | Deception IV: Blood Ties                                  | Tecmo Koei Games                       | PlayStation Vita | 2014 | Europe
|       | Demon Gaze                                                | NIS America                            | PlayStation Vita | 2014 | Europe
|       | Disgaea 3: Absence of Detention                           | NIS America                            | PlayStation Vita | 2012 | Europe
|       | Disgaea 4: A Promise Revisited                            | NIS America                            | PlayStation Vita | 2014 | Europe
|       | Disney Epic Mickey 2: The Power of Two                    | Disney Interactive Studios             | PlayStation Vita | 2013 | Europe
|       | Disney Infinity 2.0 Edition                               | Disney Interactive Studios             | PlayStation Vita | 2015 | Europe
|       | Dragon Ball Z: Battle of Z                                | Namco Bandai Games                     | PlayStation Vita | 2014 | Europe
|       | Dragon's Crown                                            | NIS America                            | PlayStation Vita | 2013 | Europe
|       | Drive Girls                                               | Rising Star Games                      | PlayStation Vita | 2017 | Europe
|       | Drive Girls                                               | Rising Star Games                      | PlayStation Vita | 2017 | Europe
|       | Dungeon Hunter: Alliance                                  | Ubisoft                                | PlayStation Vita | 2012 | Europe
|       | Dungeon Travelers 2: The Royal Library & the Monster Seal | NIS America                            | PlayStation Vita | 2015 | Europe
|       | Dynasty Warriors 8: Xtreme Legends Complete Edition       | Tecmo Koei Games                       | PlayStation Vita | 2014 | Europe
|       | Dynasty Warriors Next                                     | Koei Tecmo Games                       | PlayStation Vita | 2012 | Europe
|       | Earth Defense Force 2: Invaders From Planet Space         | PQube                                  | PlayStation Vita | 2016 | Europe
|       | Everybody's Golf                                          | SCEE                                   | PlayStation Vita | 2012 | Europe
|       | F1 2011                                                   | Codemasters                            | PlayStation Vita | 2012 | Europe
|       | Farming Simulator 14                                      | Focus Home Interactive                 | PlayStation Vita | 2014 | Europe
|       | Farming Simulator 16                                      | Focus Home Interactive                 | PlayStation Vita | 2015 | Europe
|       | Fate/Extella: The Umbral Star                             | Marvelous Inc.                         | PlayStation Vita | 2017 | Europe
|       | FIFA 13                                                   | EA Sports                              | PlayStation Vita | 2012 | Europe
|       | FIFA 14                                                   | EA Sports                              | PlayStation Vita | 2013 | Europe
|       | FIFA 15                                                   | Electronic Arts                        | PlayStation Vita | 2014 | Europe
|       | FIFA Football                                             | EA Sports                              | PlayStation Vita | 2012 | Europe
|       | Final Fantasy X / X-2 HD Remaster                         | Square Enix                            | PlayStation Vita | 2014 | Europe
|       | Football Manager Classic 2014                             | Sega                                   | PlayStation Vita | 2014 | Europe
|       | Freedom Wars                                              | SCEE                                   | PlayStation Vita | 2014 | Europe
|       | Gal*Gun: Double Peace                                     | PQube                                  | PlayStation Vita | 2016 | Europe
|       | God Eater 2: Rage Burst                                   | Bandai Namco Games                     | PlayStation Vita | 2016 | Europe
|       | God of War Collection                                     | SCEE                                   | PlayStation Vita | 2014 | Europe
|       | God Wars: Future Past                                     | NIS America                            | PlayStation Vita | 2017 | Europe
|       | Grand Kingdom                                             | NIS America                            | PlayStation Vita | 2016 | Europe
|       | Gravity Rush                                              | SCEE                                   | PlayStation Vita | 2012 | Europe
|       | Handball 16                                               | BigBen Interactive                     | PlayStation Vita | 2015 | Europe
|       | Hatsune Miku: Project Diva F 2nd                          | Sega                                   | PlayStation Vita | 2014 | Europe
|       | Hatsune Miku: Project DIVA X                              | Sega Games                             | PlayStation Vita | 2016 | Europe
|       | Hyperdevotion Noire: Goddess Black Heart                  | Idea Factory                           | PlayStation Vita | 2015 | Europe
|       | Hyperdimension Neptunia PP: Producing Perfection          | NIS America                            | PlayStation Vita | 2014 | Europe
|       | Hyperdimension Neptunia Re;Birth2: Sisters Generation     | Idea Factory                           | PlayStation Vita | 2015 | Europe
|       | Hyperdimension Neptunia Re;Birth3: V Generation           | Idea Factory                           | PlayStation Vita | 2015 | Europe
