|       | 18 Wheeler: American Pro Trucker                                       | Sega                          | Sega Dreamcast | 2000 | Japan
|       | 21: TwoOne                                                             | Princess Soft                 | Sega Dreamcast | 2001 | Japan
|       | Advanced Daisenryaku 2001                                              | Sega                          | Sega Dreamcast | 2001 | Japan
|       | Advanced Daisenryaku: Europe no Arashi - Doitsu Dengeki Sakusen        | Sega                          | Sega Dreamcast | 2000 | Japan
|       | Aero Dancing F                                                         | CRI                           | Sega Dreamcast | 2000 | Japan
|       | Aero Dancing F: Todoroki Tsubasa no Hatsu Hikou                        | CRI                           | Sega Dreamcast | 2000 | Japan
|       | Aero Dancing featuring Blue Impulse                                    | CRI                           | Sega Dreamcast | 1999 | Japan
|       | Aero Dancing i                                                         | CRI                           | Sega Dreamcast | 2001 | Japan
|       | Aero Dancing i: Jikai Sakuma de Machite Masen                          | CRI                           | Sega Dreamcast | 2001 | Japan
|       | Aero Dancing: Torodoki Taichou no Himitsu Disc                         | CRI                           | Sega Dreamcast | 2000 | Japan
|       | After... Wasureenu Kizuna                                              | Pione Soft                    | Sega Dreamcast | 2004 | Japan
|       | Aikagi                                                                 | NEC Interchannel              | Sega Dreamcast | 2003 | Japan
|       | Air                                                                    | NEC Interchannel              | Sega Dreamcast | 2001 | Japan
|       | AirForce Delta                                                         | Konami                        | Sega Dreamcast | 1999 | Japan
|       | Akihabara Dennou Kumi Peta Pies!                                       | Sega                          | Sega Dreamcast | 1999 | Japan
|       | Alabama Meets Will Vi                                                  | Will                          | Sega Dreamcast | 1999 | Japan
|       | Alice's Mom's Rescue                                                   | HUCAST                        | Sega Dreamcast | 2015 | Japan
|       | Angel Present                                                          | NEC Interchannel              | Sega Dreamcast | 2001 | Japan
|       | Angel Wish                                                             | Pione Soft                    | Sega Dreamcast | 2005 | Japan
|       | Animastar                                                              | Aki Corp.                     | Sega Dreamcast | 2000 | Japan
|       | Aoi Hagane no Kihei: Space Griffon                                     | Panther Software              | Sega Dreamcast | 1999 | Japan
|       | Atsumare! GuruGuru Onsen                                               | Sega                          | Sega Dreamcast | 1999 | Japan
|       | Atsumare! GuruGuru Onsen BB                                            | Sega                          | Sega Dreamcast | 2000 | Japan
|       | Bakumatsu Rouman Dai Ni Maku: Gekka no Kenshi Final Edition            | SNK                           | Sega Dreamcast | 2000 | Japan
|       | Bakuretsu Muteki Bangaioh                                              | ESP Software                  | Sega Dreamcast | 1999 | Japan
|       | Baldr Force EXE                                                        | Alchemist                     | Sega Dreamcast | 2004 | Japan
|       | BassRush Dream                                                         | Visco                         | Sega Dreamcast | 2000 | Japan
|       | Battle Beaster                                                         | Studio Wonder Effect          | Sega Dreamcast | 2001 | Japan
|       | Berserk Millennium Falcon Wasurebano No Akira - Trial Version          | ASCII Entertainment           | Sega Dreamcast | 1999 | Japan
|       | Berserk: Millennium Falcon Hen Wasurebana no Shou                      | ASCII Entertainment           | Sega Dreamcast | 1999 | Japan
|       | BikkuriMan 2000 Viva!  Festival!                                       | Sega                          | Sega Dreamcast | 2000 | Japan
|       | BioHazard 2                                                            | Capcom                        | Sega Dreamcast | 1999 | Japan
|       | BioHazard 3: Last Escape                                               | Capcom                        | Sega Dreamcast | 2000 | Japan
|       | BioHazard Code: Veronica Kanzenban                                     | Capcom                        | Sega Dreamcast | 2001 | Japan
|       | BioHazard Code: Veronica Trial Edition                                 | Capcom                        | Sega Dreamcast | 1999 | Japan
|       | BioHazard: Code Veronica                                               | Capcom                        | Sega Dreamcast | 2000 | Japan
|       | Black/Matrix AD                                                        | NEC Interchannel              | Sega Dreamcast | 1999 | Japan
|       | Blue Sky Blue                                                          | Reindeer                      | Sega Dreamcast | 2003 | Japan
|       | Blue Stinger                                                           | Sega                          | Sega Dreamcast | 1999 | Japan
|       | Blue Submarine No. 6: Saigetsu Fumahito- Time and Tide                 | Sega                          | Sega Dreamcast | 2000 | Japan
|       | Boko Yume no Tatsujin                                                  | Fujicom                       | Sega Dreamcast | 2002 | Japan
|       | Boku no Tennis Jinsei                                                  | Bimboosoft                    | Sega Dreamcast | 2001 | Japan
|       | Boku to Bokura no Natsu                                                | Kid                           | Sega Dreamcast | 2002 | Japan
|       | Boku, Doraemon                                                         | Sega Toys                     | Sega Dreamcast | 2001 | Japan
|       | Bomber Hehhe                                                           | Fujicom                       | Sega Dreamcast | 2002 | Japan
|       | Border Down                                                            | G.Rev                         | Sega Dreamcast | 2003 | Japan
|       | Bounty Hunter Sarah: Holy Mountain no Teiou                            | Capcom                        | Sega Dreamcast | 2001 | Japan
|       | Buggy Heat                                                             | CRI                           | Sega Dreamcast | 1999 | Japan
|       | Cafe Little Wish: Mahou no Recipe                                      | Princess Soft                 | Sega Dreamcast | 2003 | Japan
|       | Canaria: Kono Omoi o Uta ni Nosete                                     | NEC Interchannel              | Sega Dreamcast | 2001 | Japan
|       | Candy Stripe                                                           | Sega                          | Sega Dreamcast | 2001 | Japan
|       | Canvas                                                                 | NEC Interchannel              | Sega Dreamcast | 2001 | Japan
|       | Capcom vs. SNK 2: Millionaire Fighting 2001                            | Capcom                        | Sega Dreamcast | 2001 | Japan
|       | Capcom vs. SNK: Millennium Fight 2000                                  | Capcom                        | Sega Dreamcast | 2000 | Japan
|       | Capcom vs. SNK: Millennium Fight 2000 Pro                              | Capcom                        | Sega Dreamcast | 2001 | Japan
|       | Card Captor Sakura: Tomoyo no Video Daisakusen                         | Sega                          | Sega Dreamcast | 2000 | Japan
|       | Card of Destiny: Hikari to Yami no Tougoumono                          | Abel Software                 | Sega Dreamcast | 2002 | Japan
|       | Carrier                                                                | Jaleco Entertainment          | Sega Dreamcast | 2000 | Japan
|       | Castle Fantasia: Seima Taisen                                          | Studio e-go                   | Sega Dreamcast | 2002 | Japan
|       | Chaos Field                                                            | MileStone Inc.                | Sega Dreamcast | 2004 | Japan
