|       | 18 Wheeler: American Pro Trucker                          | Sega                      | Sega Dreamcast | 2001 | Europe
|       | 4-Wheel Thunder                                           | Midway                    | Sega Dreamcast | 2000 | Europe
|       | 90 Minutes: Sega Championship Football                    | Sega                      | Sega Dreamcast | 2001 | Europe
|       | AeroWings                                                 | Crave                     | Sega Dreamcast | 1999 | Europe
|       | AeroWings 2: Air Strike                                   | Ubisoft                   | Sega Dreamcast | 2000 | Europe
|       | Alice's Mom's Rescue                                      | HUCAST                    | Sega Dreamcast | 2015 | Europe
|       | Alone in the Dark: The New Nightmare                      | Infogrames                | Sega Dreamcast | 2001 | Europe
|       | Aqua GT                                                   | Take-Two Interactive      | Sega Dreamcast | 2000 | Europe
|       | Army Men: Sarge's Heroes                                  | Midway                    | Sega Dreamcast | 2000 | Europe
|       | Bangai-O                                                  | Swing! Deutschland        | Sega Dreamcast | 2000 | Europe
|       | Blue Stinger                                              | Activision                | Sega Dreamcast | 1999 | Europe
|       | Breakers                                                  | JoshProd                  | Sega Dreamcast | 2017 | Europe
|       | Buggy Heat                                                | Sega                      | Sega Dreamcast | 1999 | Europe
|       | Bust-A-Move 4                                             | Acclaim                   | Sega Dreamcast | 2000 | Europe
|       | Caesars Palace 2000: Millennium Gold Edition              | Interplay                 | Sega Dreamcast | 2000 | Europe
|       | Cannon Spike                                              | Capcom                    | Sega Dreamcast | 2002 | Europe
|       | Capcom vs. SNK                                            | Virgin Interactive        | Sega Dreamcast | 2000 | Europe
|       | Carrier                                                   | Xicat Interactive         | Sega Dreamcast | 2001 | Europe
|       | Championship Surfer                                       | Mattel                    | Sega Dreamcast | 2001 | Europe
|       | Charge 'n Blast                                           | Xicat Interactive         | Sega Dreamcast | 2001 | Europe
|       | Chicken Run                                               | Eidos Interactive         | Sega Dreamcast | 2000 | Europe
|       | ChuChu Rocket!                                            | Sega                      | Sega Dreamcast | 2000 | Europe
|       | Coaster Works                                             | Xicat Interactive         | Sega Dreamcast | 2001 | Europe
|       | Confidential Mission                                      | Sega                      | Sega Dreamcast | 2001 | Europe
|       | Conflict Zone                                             | Ubisoft                   | Sega Dreamcast | 2002 | Europe
|       | Crazy Taxi                                                | Sega                      | Sega Dreamcast | 2000 | Europe
|       | Crazy Taxi 2                                              | Sega                      | Sega Dreamcast | 2001 | Europe
|       | Dave Mirra Freestyle BMX                                  | Acclaim                   | Sega Dreamcast | 2000 | Europe
|       | Daytona USA 2001                                          | Sega                      | Sega Dreamcast | 2001 | Europe
|       | Dead or Alive 2                                           | Acclaim                   | Sega Dreamcast | 2000 | Europe
|       | Deadly Skies                                              | Konami                    | Sega Dreamcast | 2000 | Europe
|       | Deep Fighter                                              | Ubisoft                   | Sega Dreamcast | 2000 | Europe
|       | Dino Crisis                                               | Virgin Interactive        | Sega Dreamcast | 2000 | Europe
|       | Disney's 102 Dalmatians: Puppies to the Rescue            | Eidos Interactive         | Sega Dreamcast | 2000 | Europe
|       | Disney's Dinosaur                                         | Ubisoft                   | Sega Dreamcast | 2000 | Europe
|       | Disney's Donald Duck: Quack Attack                        | Ubisoft                   | Sega Dreamcast | 2000 | Europe
|       | Disney/Pixar Buzz Lightyear of Star Command               | Activision                | Sega Dreamcast | 2001 | Europe
|       | Disney/Pixar Toy Story 2: Buzz Lightyear to the Rescue!   | Activision                | Sega Dreamcast | 2000 | Europe
|       | Dragon Riders: Chronicles of Pern                         | Ubisoft                   | Sega Dreamcast | 2002 | Europe
|       | Dragon's Blood                                            | Interplay                 | Sega Dreamcast | 2000 | Europe
|       | DreamOn Volume 1                                          | Sega                      | Sega Dreamcast | 1999 | Europe
|       | DreamOn Volume 2                                          | Sega                      | Sega Dreamcast | 2000 | Europe
|       | Ducati World                                              | Acclaim                   | Sega Dreamcast | 2001 | Europe
|       | Dynamite Cop!                                             | Sega                      | Sega Dreamcast | 1999 | Europe
|       | Ecco the Dolphin: Defender of the Future                  | Sega                      | Sega Dreamcast | 2000 | Europe
|       | ECW Anarchy Rulz                                          | Acclaim                   | Sega Dreamcast | 2001 | Europe
|       | ECW Hardcore Revolution                                   | Acclaim                   | Sega Dreamcast | 2000 | Europe
|       | Elansar & Philia                                          | HUCAST                    | Sega Dreamcast | 2015 | Europe
|       | Escape 2042: The Truth Defenders                          | Orion Soft                | Sega Dreamcast | 2017 | Europe
|       | ESPN International Track & Field                          | Konami                    | Sega Dreamcast | 2000 | Europe
|       | European Super League                                     | Virgin Interactive        | Sega Dreamcast | 2001 | Europe
|       | Evil Dead: Hail to the King                               | THQ                       | Sega Dreamcast | 2001 | Europe
|       | Evil Twin: Cyprien's Chronicles                           | Ubisoft                   | Sega Dreamcast | 2002 | Europe
|       | Evolution 2: Far Off Promise                              | Ubisoft                   | Sega Dreamcast | 2001 | Europe
|       | Evolution: The World of Sacred Device                     | Ubisoft                   | Sega Dreamcast | 2000 | Europe
|       | Exhibition of Speed                                       | Titus Software            | Sega Dreamcast | 2001 | Europe
|       | F1 Racing Championship                                    | Ubisoft                   | Sega Dreamcast | 2001 | Europe
|       | F1 World Grand Prix                                       | Video System              | Sega Dreamcast | 1999 | Europe
|       | F1 World Grand Prix II                                    | Video System              | Sega Dreamcast | 2000 | Europe
|       | F355 Challenge: Passione Rossa                            | Acclaim                   | Sega Dreamcast | 2000 | Europe
|       | Fighting Force 2                                          | Eidos Interactive         | Sega Dreamcast | 1999 | Europe
|       | Fighting Vipers 2                                         | Sega                      | Sega Dreamcast | 2001 | Europe
|       | Floigan Bros. Episode 1                                   | Sega                      | Sega Dreamcast | 2001 | Europe
|       | Freestyle Scooter                                         | Ubisoft                   | Sega Dreamcast | 2002 | Europe
|       | Fruit'Y: Playing with Edibles                             | Retroguru                 | Sega Dreamcast | 2015 | Europe
|       | Fur Fighters                                              | Acclaim                   | Sega Dreamcast | 2000 | Europe
|       | Gauntlet Legends                                          | Midway                    | Sega Dreamcast | 2000 | Europe
|       | Ghost Blade                                               | HUCAST                    | Sega Dreamcast | 2015 | Europe
|       | Giant Killers                                             | AAA                       | Sega Dreamcast | 2001 | Europe
|       | Giga Wing                                                 | Virgin Interactive        | Sega Dreamcast | 2000 | Europe
|       | Grand Theft Auto 2                                        | Take-Two Interactive      | Sega Dreamcast | 2000 | Europe
|       | Grandia II                                                | Ubisoft                   | Sega Dreamcast | 2001 | Europe
|       | Grinch, The                                               | Universal Interactive     | Sega Dreamcast | 2000 | Europe
|       | Gunbird 2                                                 | Virgin Interactive        | Sega Dreamcast | 2001 | Europe
|       | GunLord                                                   | NG:DEV.TEAM               | Sega Dreamcast | 2012 | Europe
|       | Headhunter                                                | Sega                      | Sega Dreamcast | 2001 | Europe
