|       | Action Fighter                            | Sega      | Sega Master System | 1986 | Japan
|       | After Burner                              | Sega      | Sega Master System | 1987 | Japan
|       | Akai Koudan Zillion                       | Sega      | Sega Master System | 1987 | Japan
|       | Aleste                                    | Sega      | Sega Master System | 1988 | Japan
|       | Alex Kidd no Miracle World                | Sega      | Sega Master System | 1986 | Japan
|       | Alex Kidd: The Lost Stars                 | Sega      | Sega Master System | 1988 | Japan
|       | Alien Syndrome                            | Sega      | Sega Master System | 1987 | Japan
|       | Anmitsu Hime                              | Sega      | Sega Master System | 1987 | Japan
|       | Argos no Juujiken                         | Salio     | Sega Master System | 1988 | Japan
|       | Argos no Senshi                           | Salio     | Sega Master System | 1988 | Japan
|       | Ashura                                    | Sega      | Sega Master System | 1986 | Japan
|       | Astro Flash                               | Sega      | Sega Master System | 1985 | Japan
|       | Astro Warrior                             | Sega      | Sega Master System | 1986 | Japan
|       | Blade Eagle                               | Sega      | Sega Master System | 1988 | Japan
|       | BMX Trial: Alex Kidd                      | Sega      | Sega Master System | 1987 | Japan
|       | Bomber Raid                               | Sega      | Sega Master System | 1989 | Japan
|       | Captain Silver                            | Sega      | Sega Master System | 1988 | Japan
|       | Chou-on Senshi Borgman                    | Sega      | Sega Master System | 1988 | Japan
|       | Circuit, The                              | Sega      | Sega Master System | 1986 | Japan
|       | Comical MachineGun Joe                    | Sega      | Sega Master System | 1986 | Japan
|       | DokiDoki Penguin Land: Uchuu Daibouken    | Sega      | Sega Master System | 1987 | Japan
|       | Double Dragon                             | Sega      | Sega Master System | 1988 | Japan
|       | Double Target: Cynthia no Nemuri          | Sega      | Sega Master System | 1987 | Japan
|       | Enduro Racer                              | Sega      | Sega Master System | 1987 | Japan
|       | F-16 Fighting Falcon                      | Sega      | Sega Master System | 1985 | Japan
|       | Family Games                              | Sega      | Sega Master System | 1987 | Japan
|       | Fantasy Zone                              | Sega      | Sega Master System | 1986 | Japan
|       | Fantasy Zone II: Opa-Opa no Namida        | Sega      | Sega Master System | 1987 | Japan
|       | Final Bubble Bobble                       | Sega      | Sega Master System | 1988 | Japan
|       | Fushigi no Oshiro Pit Pot                 | Sega      | Sega Master System | 1985 | Japan
|       | Galactic Protector                        | Sega      | Sega Master System | 1988 | Japan
|       | Ghost House                               | Sega      | Sega Master System | 1986 | Japan
