|       | 688 Attack Sub                                                                                    | Sega                    | Sega Genesis | 1991 | Europe
|       | AAAHH!!! Real Monsters                                                                            | Viacom New Media        | Sega Genesis | 1995 | Europe
|       | Addams Family Values                                                                              | Ocean                   | Sega Genesis | 1995 | Europe
|       | Addams Family, The                                                                                | Flying Edge             | Sega Genesis | 1994 | Europe
|       | Adventures of Batman & Robin, The                                                                 | Sega                    | Sega Genesis | 1995 | Europe
|       | Adventures of Mighty Max, The                                                                     | Ocean                   | Sega Genesis | 1994 | Europe
|       | Aero the Acro-Bat                                                                                 | SunSoft                 | Sega Genesis | 1993 | Europe
|       | Aero the Acro-Bat 2                                                                               | SunSoft                 | Sega Genesis | 1994 | Europe
|       | After Burner II                                                                                   | Sega                    | Sega Genesis | 1990 | Europe
|       | Alex Kidd in the Enchanted Castle                                                                 | Sega                    | Sega Genesis | 1990 | Europe
|       | Alien 3                                                                                           | Arena                   | Sega Genesis | 1993 | Europe
|       | Alien Soldier                                                                                     | Sega                    | Sega Genesis | 1995 | Europe
|       | Alien Storm                                                                                       | Sega                    | Sega Genesis | 1991 | Europe
|       | Alisia Dragoon                                                                                    | Sega                    | Sega Genesis | 1992 | Europe
|       | Altered Beast                                                                                     | Sega                    | Sega Genesis | 1990 | Europe
|       | Andre Agassi Tennis                                                                               | TecMagik                | Sega Genesis | 1992 | Europe
|       | Animaniacs                                                                                        | Konami                  | Sega Genesis | 1994 | Europe
|       | Another World                                                                                     | Virgin Games            | Sega Genesis | 1993 | Europe
|       | Aquatic Games starring James Pond and the Aquabats, The                                           | Electronic Arts         | Sega Genesis | 1992 | Europe
|       | Arcade Classics                                                                                   | Sega                    | Sega Genesis | 1996 | Europe
|       | Arch Rivals: The Arcade Game                                                                      | Flying Edge             | Sega Genesis | 1992 | Europe
|       | Arnold Palmer Tournament Golf                                                                     | Sega                    | Sega Genesis | 1990 | Europe
|       | Arrow Flash                                                                                       | Sega                    | Sega Genesis | 1991 | Europe
|       | Art Alive                                                                                         | Sega                    | Sega Genesis | 1992 | Europe
|       | Art of Fighting                                                                                   | Sega                    | Sega Genesis | 1994 | Europe
|       | Asterix and the Great Rescue                                                                      | Sega                    | Sega Genesis | 1993 | Europe
|       | Asterix and the Power of the Gods                                                                 | Sega                    | Sega Genesis | 1995 | Europe
|       | Atomic Runner                                                                                     | Data East               | Sega Genesis | 1992 | Europe
|       | ATP Tour                                                                                          | Sega                    | Sega Genesis | 1995 | Europe
|       | Australian Rugby League                                                                           | Electronic Arts         | Sega Genesis | 1995 | Europe
|       | Ayrton Senna's Super Monaco GP II                                                                 | Sega                    | Sega Genesis | 1992 | Europe
|       | B.O.B.                                                                                            | Electronic Arts         | Sega Genesis | 1993 | Europe
|       | Back to the Future Part III                                                                       | Imageworks              | Sega Genesis | 1991 | Europe
|       | Ball Jacks                                                                                        | Namco                   | Sega Genesis | 1993 | Europe
|       | Ballz 3D: The Battle of the Ballz                                                                 | Accolade                | Sega Genesis | 1994 | Europe
|       | Barkley: Shut Up and Jam!                                                                         | Accolade                | Sega Genesis | 1994 | Europe
|       | Batman                                                                                            | Sega                    | Sega Genesis | 1992 | Europe
|       | Batman Forever                                                                                    | Acclaim                 | Sega Genesis | 1995 | Europe
|       | Batman Returns                                                                                    | Sega                    | Sega Genesis | 1992 | Europe
|       | Battle Frenzy                                                                                     | Acclaim                 | Sega Genesis | 1994 | Europe
|       | Battle Squadron                                                                                   | Electronic Arts         | Sega Genesis | 1990 | Europe
|       | Battletoads                                                                                       | Tradewest               | Sega Genesis | 1993 | Europe
|       | Beggar Prince                                                                                     | Super Fighter Team      | Sega Genesis | 2006 | Europe
|       | Bill Walsh College Football                                                                       | Electronic Arts         | Sega Genesis | 1993 | Europe
|       | Bio Hazard Battle                                                                                 | Sega                    | Sega Genesis | 1992 | Europe
|       | Blades of Vengeance                                                                               | Electronic Arts         | Sega Genesis | 1993 | Europe
|       | Blockout                                                                                          | Sega                    | Sega Genesis | 1991 | Europe
|       | Body Count                                                                                        | Sega                    | Sega Genesis | 1994 | Europe
|       | Bonanza Bros.                                                                                     | Sega                    | Sega Genesis | 1991 | Europe
|       | Boogerman: A Pick and Flick Adventure                                                             | Interplay               | Sega Genesis | 1994 | Europe
|       | Bram Stoker's Dracula                                                                             | Sony Imagesoft          | Sega Genesis | 1993 | Europe
|       | Brian Lara Cricket                                                                                | Codemasters             | Sega Genesis | 1995 | Europe
|       | Brian Lara Cricket 96                                                                             | Codemasters             | Sega Genesis | 1996 | Europe
|       | Brutal: Paws of Fury                                                                              | GameTek                 | Sega Genesis | 1994 | Europe
|       | Bubba 'n' Stix                                                                                    | Core Design Ltd.        | Sega Genesis | 1994 | Europe
|       | Bubble and Squeak                                                                                 | SunSoft                 | Sega Genesis | 1994 | Europe
|       | Bubsy II                                                                                          | Accolade                | Sega Genesis | 1994 | Europe
|       | Bubsy in: Claws Encounters of the Furred Kind                                                     | Accolade                | Sega Genesis | 1993 | Europe
|       | Buck Rogers: Countdown to Doomsday                                                                | Electronic Arts         | Sega Genesis | 1991 | Europe
|       | Budokan: The Martial Spirit                                                                       | Electronic Arts         | Sega Genesis | 1990 | Europe
|       | Bugs Bunny in Double Trouble                                                                      | Sega                    | Sega Genesis | 1996 | Europe
|       | Bulls versus Blazers and the NBA Playoffs                                                         | Electronic Arts         | Sega Genesis | 1993 | Europe
|       | Bulls vs Lakers and the NBA Playoffs                                                              | Electronic Arts         | Sega Genesis | 1991 | Europe
|       | Burning Force                                                                                     | Sega                    | Sega Genesis | 1991 | Europe
|       | California Games                                                                                  | Sega                    | Sega Genesis | 1991 | Europe
|       | Cannon Fodder                                                                                     | Virgin Interactive      | Sega Genesis | 1994 | Europe
|       | Captain America and the Avengers                                                                  | Sega                    | Sega Genesis | 1992 | Europe
|       | Captain Planet and the Planeteers                                                                 | Sega                    | Sega Genesis | 1993 | Europe
|       | Castle of Illusion starring Mickey Mouse                                                          | Sega                    | Sega Genesis | 1990 | Europe
|       | Castlevania: The New Generation                                                                   | Konami                  | Sega Genesis | 1994 | Europe
|       | Centurion: Defender of Rome                                                                       | Electronic Arts         | Sega Genesis | 1991 | Europe
|       | Chakan                                                                                            | Sega                    | Sega Genesis | 1992 | Europe
|       | Champions World Class Soccer                                                                      | Flying Edge             | Sega Genesis | 1993 | Europe
|       | Chaos Engine, The                                                                                 | MicroProse              | Sega Genesis | 1992 | Europe
|       | Cheese Cat-Astrophe Starring Speedy Gonzales                                                      | Sega                    | Sega Genesis | 1995 | Europe
|       | Chiki Chiki Boys                                                                                  | Sega                    | Sega Genesis | 1992 | Europe
|       | Chuck Rock                                                                                        | Virgin Games            | Sega Genesis | 1992 | Europe
|       | Chuck Rock II: Son of Chuck                                                                       | Core Design Ltd.        | Sega Genesis | 1993 | Europe
|       | Classic Collection                                                                                | Sega                    | Sega Genesis | 1994 | Europe
|       | ClayFighter                                                                                       | Interplay               | Sega Genesis | 1994 | Europe
