|       | 3D Baseball                                                    | Crystal Dynamics         | Sega Saturn | 1996 | North America
|       | Albert Odyssey: Legend of Eldean                               | Working Designs          | Sega Saturn | 1997 | North America
|       | Alien Trilogy                                                  | Acclaim                  | Sega Saturn | 1996 | North America
|       | All-Star Baseball                                              | Acclaim                  | Sega Saturn | 1997 | North America
|       | Alone in the Dark: One-Eyed Jack's Revenge                     | Kokopeli Digital Studios | Sega Saturn | 1996 | North America
|       | Amok                                                           | Scavenger                | Sega Saturn | 1997 | North America
|       | Andretti Racing                                                | Electronic Arts          | Sega Saturn | 1996 | North America
|       | Area 51                                                        | Midway                   | Sega Saturn | 1996 | North America
|       | Astal                                                          | Sega                     | Sega Saturn | 1995 | North America
|       | Baku Baku                                                      | Sega                     | Sega Saturn | 1996 | North America
|       | Bases Loaded '96: Double Header                                | Jaleco Entertainment     | Sega Saturn | 1995 | North America
|       | Batman Forever: The Arcade Game                                | Acclaim                  | Sega Saturn | 1996 | North America
|       | Battle Arena Toshinden Remix                                   | Sega                     | Sega Saturn | 1995 | North America
|       | Battle Arena Toshinden URA                                     | Sega                     | Sega Saturn | 1996 | North America
|       | Battle Monsters                                                | Acclaim                  | Sega Saturn | 1996 | North America
|       | Battle Stations                                                | Electronic Arts          | Sega Saturn | 1997 | North America
|       | BattleSport                                                    | Acclaim                  | Sega Saturn | 1997 | North America
|       | Black Dawn                                                     | Virgin Interactive       | Sega Saturn | 1997 | North America
|       | Black Fire                                                     | Sega                     | Sega Saturn | 1995 | North America
|       | Blast Chamber                                                  | Activision               | Sega Saturn | 1996 | North America
|       | Blazing Dragons                                                | Mindscape Inc.           | Sega Saturn | 1996 | North America
|       | Blazing Heroes                                                 | Sega                     | Sega Saturn | 1996 | North America
|       | Bottom of the 9th                                              | Konami                   | Sega Saturn | 1996 | North America
|       | Brain Dead 13                                                  | ReadySoft                | Sega Saturn | 1996 | North America
|       | Break Point Tennis                                             | Acclaim                  | Sega Saturn | 1996 | North America
|       | Bubble Bobble also featuring Rainbow Islands                   | Acclaim                  | Sega Saturn | 1996 | North America
|       | Bug Too!                                                       | Sega                     | Sega Saturn | 1996 | North America
|       | Bug!                                                           | Sega                     | Sega Saturn | 1995 | North America
|       | Burning Rangers                                                | Sega                     | Sega Saturn | 1998 | North America
|       | Bust-A-Move 2: Arcade Edition                                  | Acclaim                  | Sega Saturn | 1996 | North America
|       | Bust-A-Move 3                                                  | Natsume                  | Sega Saturn | 1997 | North America
|       | Casper                                                         | Interplay                | Sega Saturn | 1996 | North America
|       | Center Ring Boxing                                             | JVC Digital Studios      | Sega Saturn | 1995 | North America
|       | Christmas NiGHTS into Dreams...                                | Sega                     | Sega Saturn | 1996 | North America
|       | Clockwork Knight                                               | Sega                     | Sega Saturn | 1995 | North America
|       | Clockwork Knight 2                                             | Sega                     | Sega Saturn | 1995 | North America
|       | College Slam                                                   | Acclaim                  | Sega Saturn | 1996 | North America
|       | Command & Conquer                                              | Westwood Studios         | Sega Saturn | 1996 | North America
|       | Congo the Movie: The Lost City of Zinj                         | Sega                     | Sega Saturn | 1996 | North America
|       | Contra: Legacy of War                                          | Konami                   | Sega Saturn | 1997 | North America
|       | Corpse Killer: Graveyard Edition                               | Digital Pictures         | Sega Saturn | 1995 | North America
|       | Courier Crisis                                                 | GT Interactive           | Sega Saturn | 1997 | North America
|       | Creature Shock: Special Edition                                | Data East                | Sega Saturn | 1996 | North America
|       | CrimeWave                                                      | Eidos Interactive        | Sega Saturn | 1997 | North America
|       | Criticom                                                       | Vic Tokai                | Sega Saturn | 1997 | North America
|       | Croc: Legend of the Gobbos                                     | Fox Interactive          | Sega Saturn | 1997 | North America
|       | Crow: City of Angels, The                                      | Acclaim                  | Sega Saturn | 1997 | North America
|       | Crusader: No Remorse                                           | Electronic Arts          | Sega Saturn | 1996 | North America
|       | Crypt Killer                                                   | Konami                   | Sega Saturn | 1997 | North America
|       | Cyber Speedway                                                 | Sega                     | Sega Saturn | 1995 | North America
|       | Cyberia                                                        | Interplay                | Sega Saturn | 1995 | North America
|       | D                                                              | Acclaim                  | Sega Saturn | 1996 | North America
